year,seuls_ADJ arrêts_NOUN,seuls_ADJ marais_NOUN
1800,0.0,0.0
1801,0.0,1.1905912700171939e-08
1802,4.475680270843441e-09,0.0
1803,1.950339223455444e-09,5.851017448321727e-09
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,5.693910232196231e-09,5.693910232196231e-09
1808,4.5321479902327155e-09,4.5321479902327155e-09
1809,0.0,0.0
1810,1.8721014072298203e-08,0.0
1811,0.0,0.0
1812,2.400487453257938e-08,2.6672082320544632e-09
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,0.0,1.0729059418679299e-08
1819,0.0,1.0351049795076506e-08
1820,0.0,1.1866481131050932e-09
1821,3.94459531705138e-09,1.97229765852569e-09
1822,7.017931125119503e-09,2.606660132187244e-08
1823,2.174191138237802e-08,9.882686891060644e-10
1824,8.421112696055388e-10,0.0
1825,0.0,8.805443041381977e-10
1826,8.807984341885344e-10,4.403992281964975e-09
1827,9.217273055917019e-10,4.608636583469661e-09
1828,6.420610709767516e-09,9.172301251858528e-10
1829,2.0575622983187714e-08,5.143905745796928e-09
1830,6.262101504006523e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,1.8941957335982806e-08,0.0
1833,2.3167257001688313e-09,4.6334514003376626e-09
1834,0.0,5.600718555598405e-09
1835,1.5126175867408165e-09,3.025235173481633e-09
1836,1.3441500135158435e-09,4.032449929525228e-09
1837,4.87052354003481e-09,2.7831563720326358e-09
1838,6.312161904276081e-10,1.8936485712828244e-09
1839,6.9914751765765e-10,3.4957374772659477e-09
1840,1.2739377330817092e-09,0.0
1841,1.926164561183441e-09,1.926164561183441e-09
1842,6.708265054555795e-10,0.0
1843,5.906911071384968e-10,0.0
1844,3.841992946007622e-09,2.195424508855126e-09
1845,7.254296274794569e-09,5.580227946389016e-10
1846,8.196302303531411e-09,1.1709002656346001e-09
1847,7.550513103637968e-09,0.0
