year,deux_DET eaux_NOUN,deux_DET mots_NOUN
1800,3.8673223912155663e-07,5.624910045298748e-06
1801,3.119349116786907e-07,5.181453133218383e-06
1802,7.250602038766374e-07,5.361864907627023e-06
1803,2.554944273924775e-07,5.06113046583323e-06
1804,2.644880510160874e-07,5.331782361395199e-06
1805,3.0703080255989335e-07,6.043957853307802e-06
1806,1.556101381083863e-07,4.498285633758314e-06
1807,1.9074599322266295e-07,3.407805330368774e-06
1808,3.580396992219903e-07,5.0216200975228276e-06
1809,4.947276579514437e-07,3.55345509461813e-06
1810,2.0593115834799391e-07,6.528953747420019e-06
1811,2.1310152220621603e-07,4.675698164646747e-06
1812,1.2802598803318688e-07,5.081031844156314e-06
1813,3.077043686516845e-07,4.149694987631847e-06
1814,9.125363931161701e-08,3.6123852993341643e-06
1815,1.4834729711310501e-07,3.4146850538263607e-06
1816,3.383701709935849e-07,4.3756362089197864e-06
1817,1.977229260319291e-07,5.2124120486496395e-06
1818,2.84916149784209e-07,4.803042529033519e-06
1819,2.6291667154509923e-07,4.5037416782633954e-06
1820,1.96983592104516e-07,5.103773446535342e-06
1821,2.1202200173320307e-07,5.680217270764842e-06
1822,1.5539704634193185e-07,4.881472548845522e-06
1823,1.9765373338032077e-07,4.987792053157136e-06
1824,1.8779081756292726e-07,3.89644894482899e-06
1825,2.606411271255382e-07,4.35693338118881e-06
1826,3.805049288985174e-07,3.814737993934614e-06
1827,2.562401846262219e-07,4.153303265752584e-06
1828,1.742737225640667e-07,3.982613378639144e-06
1829,2.734843072005333e-07,4.608939278227808e-06
1830,2.2752301731543412e-07,4.377209165795648e-06
1831,2.229542468423773e-07,3.974198506284665e-06
1832,2.1783250758744543e-07,4.926261624405015e-06
1833,2.6294836175111413e-07,4.663569001195356e-06
1834,2.5016544213940506e-07,4.311620031671737e-06
1835,2.9269151013977535e-07,4.388859821347069e-06
1836,2.1371985781115654e-07,3.7642920602820595e-06
1837,3.082345728655511e-07,4.049492446256409e-06
1838,2.379685055675651e-07,3.4817886103155615e-06
1839,1.8177836125232716e-07,3.7019861593989845e-06
1840,1.9554944685751252e-07,4.2409389067188386e-06
1841,2.3370796498056734e-07,4.91171959993153e-06
1842,1.9319803179485007e-07,4.2127904436028984e-06
1843,1.9374668625005143e-07,4.281919956383717e-06
1844,1.877087925095111e-07,4.235522936824054e-06
1845,2.2209307815046486e-07,4.31909634812655e-06
1846,2.3944911009543546e-07,4.644961450139817e-06
1847,1.65032645327301e-07,3.7730993511786437e-06
1848,1.5125016261663404e-07,5.661422363800739e-06
1849,1.5585712276333652e-07,6.150490463596725e-06
1850,1.6904599853262425e-07,5.186113924082747e-06
1851,1.5027193001060368e-07,4.168917229208091e-06
1852,2.0833745395520964e-07,4.3881074134333176e-06
1853,2.538071157687227e-07,4.2490296721098275e-06
1854,1.8964175563240815e-07,4.877170113104512e-06
1855,2.3668939874710304e-07,4.451989639164822e-06
1856,1.8275478141926982e-07,4.6967460036739794e-06
1857,2.7580525463477557e-07,5.024049045232459e-06
1858,2.025981833408963e-07,5.382554405741757e-06
1859,2.597008528226752e-07,5.045834370775992e-06
1860,2.4716792201839866e-07,4.7762915187377075e-06
1861,2.1316155418560356e-07,4.7112478114286205e-06
1862,2.512000492060906e-07,4.995537494778546e-06
1863,2.2625632700723486e-07,5.183917181739162e-06
1864,3.1932889443808676e-07,4.971173780177196e-06
1865,3.0406213258338255e-07,4.889469892077614e-06
1866,3.0604706369175005e-07,4.7478651197252475e-06
1867,2.0964146330015865e-07,4.8926044939889834e-06
1868,3.7197252522602753e-07,5.207615373592489e-06
1869,2.500361775403803e-07,5.295199883903479e-06
1870,2.9645032917358094e-07,5.046536131203538e-06
1871,3.313807326321694e-07,5.5941741265996825e-06
