year,certains_DET auteurs_NOUN
1800,4.4961552703171037e-07
1801,5.833897276374955e-07
1802,6.579249998139858e-07
1803,5.34392945894524e-07
1804,6.080753500725677e-07
1805,7.192480637741028e-07
1806,7.031272843960323e-07
1807,3.786450371023875e-07
1808,1.155697759713803e-06
1809,1.1724368391696771e-06
1810,9.032889067839278e-07
1811,5.239790468181127e-07
1812,9.388572692614616e-07
1813,1.0582729146335623e-06
1814,8.527495225507664e-07
1815,8.22653161591802e-07
1816,8.853246740159193e-07
1817,7.068205505333935e-07
1818,7.116942697393824e-07
1819,5.27903537772545e-07
1820,7.808144601995082e-07
1821,7.110133211085667e-07
1822,6.245958843464905e-07
1823,5.988908071685728e-07
1824,4.193714104872015e-07
1825,5.86442528316411e-07
1826,5.769229964869282e-07
1827,6.230876579138567e-07
1828,5.75103314304215e-07
1829,7.338638710052692e-07
1830,5.771570315005192e-07
1831,4.864456144559881e-07
1832,6.967934282897659e-07
1833,8.143291125861651e-07
1834,6.030107044807664e-07
1835,8.531163189218205e-07
1836,7.480194526010564e-07
1837,9.657552695330196e-07
1838,7.688213372603059e-07
1839,8.249940535165479e-07
1840,7.567189967971899e-07
1841,9.95827065253252e-07
1842,9.498903352778143e-07
1843,1.0744671428142283e-06
1844,1.0488640498351742e-06
1845,9.75981876649712e-07
1846,1.362927903869604e-06
1847,1.0311843468002735e-06
1848,1.2349415783319273e-06
1849,1.154683431536796e-06
1850,1.0475420708644378e-06
1851,1.0448091103398838e-06
1852,1.3385680830424462e-06
1853,1.1764705902805872e-06
1854,1.201757171997997e-06
1855,1.0804924244212089e-06
1856,9.36035817744596e-07
1857,1.1788844034299473e-06
1858,1.229780792755264e-06
1859,1.180365785558024e-06
1860,1.1369724717269492e-06
1861,1.3440496502425958e-06
1862,1.231603064866249e-06
1863,1.166743430758288e-06
1864,1.285945998574789e-06
1865,1.3414506838671514e-06
1866,1.7238866973912081e-06
1867,1.6373385562928888e-06
1868,1.4666486549685942e-06
1869,1.987592327168386e-06
1870,1.6244560470113356e-06
1871,1.6207916928578925e-06
1872,1.4930880922747747e-06
1873,2.1058764048120793e-06
1874,1.9668413528961537e-06
1875,1.8926811549135891e-06
1876,2.148753679875881e-06
1877,2.3830095301491383e-06
1878,2.4663637532285065e-06
1879,2.254340984109149e-06
1880,2.2860368744659354e-06
1881,2.512891740025225e-06
1882,2.535036117023992e-06
1883,2.6579138534543745e-06
1884,2.62483467849961e-06
1885,2.7748461661758483e-06
1886,3.0854010333314363e-06
1887,2.9549913165283215e-06
1888,3.20391262675912e-06
1889,3.2478468483532197e-06
1890,3.0785953981649072e-06
1891,3.1195432370623166e-06
1892,3.1298683325076126e-06
1893,3.352026112679596e-06
1894,3.401570950245514e-06
1895,3.643669174380193e-06
1896,3.586572915992292e-06
1897,3.931283572455868e-06
1898,3.550051872025506e-06
1899,3.839455871457176e-06
1900,3.95142978959484e-06
1901,4.1261658907387755e-06
1902,3.5462070400171797e-06
1903,4.073386207892327e-06
1904,4.715158638646244e-06
1905,4.5708842435487895e-06
1906,4.2650433442759095e-06
1907,4.6079877620286425e-06
1908,4.290098445380863e-06
1909,4.831513933822862e-06
1910,4.588487854562118e-06
1911,4.893148002338421e-06
1912,4.7885000640235376e-06
1913,4.832614422412007e-06
1914,5.041978397457569e-06
1915,3.509488976760622e-06
1916,3.426989337640407e-06
1917,3.320633368275594e-06
1918,3.397670070626191e-06
1919,3.416111724163784e-06
1920,4.840170504394337e-06
1921,5.245642000772932e-06
1922,5.204395620239666e-06
1923,4.805839694199676e-06
1924,5.057384328210901e-06
1925,5.1823415105900494e-06
1926,5.678957563759468e-06
1927,5.553428763960255e-06
1928,5.38166557362274e-06
1929,5.96791585394385e-06
1930,6.20973014520132e-06
1931,5.724348397961876e-06
1932,5.763620265497593e-06
1933,6.3214818055712385e-06
1934,6.404154646588722e-06
1935,6.8518427269737e-06
1936,7.4736740316438954e-06
1937,6.042477707524085e-06
1938,7.091972292982973e-06
1939,6.76149988976249e-06
1940,6.296349056356121e-06
1941,6.177494810799544e-06
1942,6.830010761404992e-06
1943,7.223249440357904e-06
1944,8.004047003851156e-06
1945,5.271979716781061e-06
1946,6.6417590005585225e-06
1947,5.3286294132703915e-06
1948,7.37113987270277e-06
1949,6.134648401712184e-06
1950,6.284435130510246e-06
1951,6.3424677136936225e-06
1952,7.798937076586299e-06
1953,6.640987294304068e-06
1954,6.680505748590804e-06
1955,6.388783276634058e-06
1956,6.72923283673299e-06
1957,6.7137448240828235e-06
1958,6.807228828620282e-06
1959,6.030856866345857e-06
1960,6.449524789786665e-06
1961,6.324909463728545e-06
1962,6.211311983861378e-06
1963,6.256553206185345e-06
1964,5.761518082181283e-06
1965,5.382301878853468e-06
1966,5.893021580050117e-06
1967,5.546627676267235e-06
1968,5.083833571006835e-06
1969,4.706623599304294e-06
1970,4.934891876473557e-06
1971,4.881991458205448e-06
1972,5.108600362291327e-06
1973,4.713238013209775e-06
1974,4.813239115719625e-06
1975,4.707402013082174e-06
1976,4.574820991365414e-06
1977,4.342354145592253e-06
1978,4.334849450060574e-06
1979,4.919754019283573e-06
1980,4.760745127896371e-06
1981,4.910524125989468e-06
1982,4.434018819665653e-06
1983,4.777536560141016e-06
1984,4.627028829418123e-06
1985,4.456926944840234e-06
1986,4.411941176840628e-06
1987,4.62466630324343e-06
1988,4.742074793284701e-06
1989,4.0112685155691e-06
1990,4.648244157579029e-06
1991,4.436543008523586e-06
1992,4.4536877794598695e-06
1993,4.308949542064511e-06
1994,4.398233727442857e-06
1995,4.499549731917796e-06
1996,4.671364536079636e-06
1997,4.89702563299943e-06
1998,4.811519261238573e-06
1999,5.283609652906307e-06
2000,5.485869678523159e-06
2001,5.331058559931989e-06
2002,5.612344693872728e-06
