year,nos_DET airs_NOUN,nos_DET mères_NOUN
1800,3.772997558826319e-08,1.0375742665047483e-07
1801,6.191074786165984e-08,2.1430643215580858e-07
1802,4.475680270843441e-09,1.1636768704192946e-07
1803,7.021221204439598e-08,2.0478561246761728e-07
1804,8.404293261321527e-08,1.8044512017922898e-07
1805,1.8762992382015398e-07,6.254331030852711e-08
1806,1.2391177506287931e-07,2.1036184794098745e-07
1807,3.131650672116848e-08,9.679647128280067e-08
1808,7.478043961839376e-08,2.084788111034186e-07
1809,1.8072244145628247e-08,1.0165637265302507e-07
1810,6.786367467981336e-08,1.8955026526157326e-07
1811,4.763445815569867e-08,1.3036799551002787e-07
1812,2.9339290108509886e-08,2.453831609017243e-07
1813,5.463909147351842e-08,2.415623090445962e-07
1814,3.461344899591268e-08,1.604805350829963e-07
1815,8.091670444798638e-09,2.1308066577852003e-07
1816,9.270415546325239e-09,1.8540831447921846e-07
1817,8.095742032310227e-08,1.1987925252476828e-07
1818,3.099506074022429e-08,2.7895554954859847e-07
1819,1.0040518816367694e-07,2.3807414706311647e-07
1820,5.93324074316115e-08,1.981702322240153e-07
1821,5.719663320746804e-08,2.623155852532477e-07
1822,5.413832582235045e-08,2.2156611123591574e-07
1823,2.8659792761231984e-08,1.5515818285738447e-07
1824,3.621078548121659e-08,1.6168535932337136e-07
1825,6.95629991387392e-08,3.073099712480598e-07
1826,4.4039921931471326e-08,2.237228008405978e-07
1827,3.3182182335167454e-08,2.3043182711957044e-07
1828,4.769596628761974e-08,1.9078386037651995e-07
1829,3.172075158097698e-08,2.0575622206031596e-07
1830,9.706257486641334e-08,2.097803990519509e-07
1831,5.1450980143030733e-08,3.055876511837141e-07
1832,3.111892965534935e-08,2.5842241058171567e-07
1833,3.8225973497674204e-08,2.4904801687597455e-07
1834,8.681113605746305e-08,4.26588057989008e-07
1835,5.52105419160398e-08,2.851284151006439e-07
1836,3.1587525484155776e-08,3.891314399595558e-07
1837,1.8090515530033713e-08,2.9431877812680085e-07
1838,4.86036455527028e-08,2.714229485611952e-07
1839,5.593180230079042e-08,1.7688431697138185e-07
1840,4.58617570586739e-08,2.3440454643974817e-07
1841,5.3290552415319326e-08,2.1637248837080847e-07
1842,1.8783141708667017e-08,2.3747258692807804e-07
1843,3.839492035417891e-08,3.1720111692834507e-07
1844,4.390849023261367e-08,3.8859014450665086e-07
1845,1.7298706467272496e-08,4.190751071719845e-07
1846,4.5665111247927825e-08,3.2082668233179845e-07
1847,2.6426796750911308e-08,3.0795307726094734e-07
1848,2.172209789819135e-08,3.419219316014299e-07
1849,2.1786478399121734e-08,4.642195945425698e-07
1850,2.308258650884909e-08,2.6748643922047677e-07
1851,1.1608989325395669e-08,2.624921644489575e-07
1852,3.8412219849348617e-08,4.309980976557881e-07
1853,3.1054046445433414e-08,3.021797538860227e-07
1854,3.273268500691984e-08,3.460312390513032e-07
1855,3.980202833986368e-08,3.242538539893758e-07
1856,5.539592606851329e-08,3.836297093329222e-07
1857,3.954022459451423e-08,3.797813938888339e-07
1858,4.9426128856389084e-08,2.9655676581086254e-07
1859,4.277425569298998e-08,3.854775145750722e-07
1860,1.51047069019139e-08,4.600069956894881e-07
1861,5.470517772110384e-08,3.60299619917015e-07
1862,3.343309987191567e-08,3.388489688838092e-07
1863,1.9978482868054925e-08,5.898647241764365e-07
1864,2.4453112201783256e-08,3.5864563852072706e-07
1865,2.8241066374334878e-08,3.883146468819376e-07
1866,3.2113044667880786e-08,5.726826266538865e-07
1867,1.8925964795357686e-08,3.8676908786783315e-07
1868,2.7663294210888978e-08,3.0479023038765263e-07
1869,4.102156014873515e-08,3.9409999330608514e-07
1870,1.3188312220080434e-08,2.70647101174859e-07
1871,1.6993883855676017e-08,4.0360474562461945e-07
1872,3.4469832321804006e-08,3.422793923846257e-07
1873,2.7535620894525437e-08,2.5201078912573394e-07
1874,2.509335778055899e-08,2.4077674892764023e-07
1875,1.94531928343622e-08,2.6204594466561204e-07
1876,3.0834675479596285e-08,4.6796154551387303e-07
1877,3.834585893258691e-08,2.7955368508969514e-07
1878,5.4955707762260886e-08,5.700899592397946e-07
1879,4.4598075343849075e-08,3.1463024352529345e-07
1880,2.3104245627791897e-08,2.945791512942719e-07
1881,4.671580100534811e-08,3.1167109298957385e-07
1882,1.3976308999019693e-08,6.668696030942556e-07
1883,3.6652167523243406e-08,1.9653144561759817e-07
1884,2.772712726084592e-08,2.0201193340341206e-07
1885,2.707166935067562e-08,2.1528423377326078e-07
1886,2.774989482645651e-08,2.6975479172630656e-07
1887,2.3504128421336645e-08,3.7214869585966426e-07
1888,2.346027505595316e-08,4.0072684548420057e-07
1889,4.322944491264025e-08,3.0072656964641453e-07
1890,1.7696843102044113e-08,3.0084633656501936e-07
1891,1.9122660899206778e-08,2.2947191835598346e-07
1892,1.817868566789116e-08,3.2345524569876716e-07
1893,2.894455697344256e-08,2.7589706885766674e-07
1894,4.2220313245522334e-08,2.753772616603811e-07
1895,2.8889349357186234e-08,2.9190279438040534e-07
1896,2.8895442705234586e-08,2.9485144725782675e-07
1897,2.097616802476665e-08,2.546273814019173e-07
1898,1.2448381103702388e-08,3.7571475797193443e-07
1899,8.844125432005967e-09,3.205995326993616e-07
1900,1.5573159761750333e-08,2.564380310321468e-07
1901,2.4590450786732276e-08,2.2746167671616746e-07
1902,2.356936334990678e-08,2.9707218174301886e-07
1903,2.1060859722865644e-08,2.0088819274732828e-07
1904,1.8811189050893518e-08,2.5583216878288795e-07
1905,2.5287720029076866e-08,2.771327585193717e-07
1906,2.006231891726884e-08,2.819013036337026e-07
1907,1.5942813902380948e-08,2.4274221099851445e-07
1908,3.14328898465277e-08,2.273973109812033e-07
1909,1.870334465081669e-08,2.7669947622044333e-07
1910,1.4963622119168463e-08,3.2759645129942783e-07
1911,1.7025197585063268e-08,2.771914902055528e-07
1912,2.344239469209697e-08,2.3286113215448268e-07
1913,1.909076252637476e-08,2.6833127769743115e-07
1914,4.754688076591407e-08,3.4220360811687556e-07
1915,2.1205371680821372e-08,4.311758763364537e-07
1916,2.307367052978293e-08,3.812649445045224e-07
1917,4.496233962925089e-08,4.00274501988207e-07
1918,2.5270027848023346e-08,3.0898351521813083e-07
1919,3.4069039145379065e-08,3.093837068202099e-07
1920,2.953170330499688e-08,3.5513767526751394e-07
1921,3.7863738422405646e-08,2.1809513178761009e-07
1922,3.6889677090812256e-08,2.42734076394413e-07
1923,2.653987030143412e-08,2.2930448206892606e-07
1924,5.156649840465377e-08,3.2615810841019055e-07
1925,2.969508017258704e-08,2.969507972849783e-07
1926,1.0031524944054127e-08,2.931434345265771e-07
1927,1.8953683067479687e-08,3.132932291372015e-07
1928,2.2852082337543322e-08,2.4223207417684023e-07
1929,1.7824650200282122e-08,3.275279487624516e-07
1930,2.625900974440043e-08,1.6385622103598507e-07
1931,3.5356604755065746e-08,2.9767980969097607e-07
1932,1.53433514782364e-08,1.9288784969262451e-07
1933,2.408839039347299e-08,1.7664819229601392e-07
1934,2.6359476379411717e-08,2.1806476269148334e-07
