year,certains_DET arbres_NOUN,certains_DET marbres_NOUN
1800,6.351212236133108e-07,7.860410988769218e-08
1801,3.64320925427819e-07,2.6193008650921e-08
1802,5.258924602458137e-07,2.6854081625060644e-08
1803,6.475126355098837e-07,1.950339267864365e-08
1804,5.561664870867844e-07,1.4831105232815389e-08
1805,4.6623195792960814e-07,1.421438877713399e-08
1806,3.515636342044104e-07,4.610670600868616e-08
1807,3.3024679169102455e-07,3.9857372513552036e-08
1808,2.583324487659411e-07,7.931259204951857e-08
1809,7.522571898732622e-07,2.25903047379461e-08
1810,3.744202925481943e-07,0.0
1811,4.061464267124393e-07,0.0
1812,2.453831484672264e-07,1.600324850414836e-08
1813,3.7097067218105906e-07,0.0
1814,3.2410775929747615e-07,3.1466771410748606e-09
1815,3.128779439975915e-07,1.3486118000116676e-08
1816,5.098728657060292e-07,3.708166040894412e-08
1817,4.18798954626709e-07,7.161617610051962e-08
1818,2.0862059635362584e-07,2.8610825708597076e-08
1819,3.0535598405379005e-07,2.898294049202832e-08
1820,2.2664978782671596e-07,3.5599443393152796e-09
1821,2.3766187062790323e-07,4.141825016290568e-08
1822,1.73443154949382e-07,6.015369535816717e-08
1823,1.7294702114867277e-07,6.324919610278812e-08
1824,1.7515914851884418e-07,4.210556259209852e-08
1825,2.8001307939007347e-07,3.522177394188475e-08
1826,1.6294770999181196e-07,4.227832661740649e-08
1827,3.438042822656584e-07,2.0278000334439383e-08
1828,2.0729400773689122e-07,3.485474309172787e-08
1829,1.6117571455254165e-07,1.2002446148073886e-08
1830,2.285667008994352e-07,1.982998831806526e-08
1831,3.398883023919552e-07,1.5591206548037917e-08
1832,5.209038348441553e-07,3.3824925083081325e-08
1833,3.6835939365431614e-07,2.0850531967653296e-08
1834,2.5296580030698124e-07,1.8669061851994684e-09
1835,3.3731372894862943e-07,2.949604294144592e-08
1836,2.231288966925149e-07,2.2178475944656384e-08
1837,3.931208238938666e-07,2.6439986200443855e-08
1838,1.7547809605389375e-07,2.0830134062066463e-08
1839,2.5309139850548945e-07,2.6567605004856887e-08
1840,1.560573705816637e-07,1.3376346252869098e-08
1841,1.8555385672414104e-07,3.5955071808757566e-08
1842,2.2204357508215367e-07,1.2074877542289641e-08
1843,2.0556050372988466e-07,1.8311423488626133e-08
1844,1.8167138371438796e-07,1.975882035765153e-08
1845,1.6796485891035218e-07,1.0044410636567136e-08
1846,2.417909072960356e-07,1.5221703009160592e-08
1847,2.0170656700457812e-07,2.48088296572746e-08
1848,2.904324976071848e-07,2.333114274000181e-08
1849,2.2624420470407358e-07,2.513824481908955e-09
1850,2.2607356697790237e-07,2.1724787302446202e-08
1851,2.444337354745585e-07,1.6768541222234035e-08
1852,2.617239314162134e-07,1.5625309268685328e-08
1853,2.753060570626076e-07,2.9859659633757474e-08
1854,2.1925704274394775e-07,9.352196350675968e-09
1855,2.1758442869668215e-07,2.0166361025530932e-08
1856,1.7809531271950618e-07,2.070875682047557e-08
1857,2.274783241773548e-07,2.3431243667548785e-08
1858,2.4468380210862506e-07,1.2723557318849998e-08
1859,2.2609249139549092e-07,6.110608019582742e-09
1860,2.9797467249181864e-07,4.57718396518203e-09
1861,2.395709550739866e-07,2.4051415081771665e-08
1862,2.2544751576702993e-07,4.9697850279528666e-09
1863,2.0527891209098925e-07,4.7448899920254917e-08
1864,2.838479034039665e-07,1.8699438886216058e-08
1865,2.617005439020659e-07,1.1767111340876824e-08
1866,2.311166085178229e-07,8.271541951376804e-09
1867,2.004211090422814e-07,1.844068364675877e-08
1868,2.8503072257990425e-07,2.2723419923487143e-08
1869,2.402691432479287e-07,9.767038289254515e-09
1870,2.5172474948931267e-07,6.880858549607183e-09
1871,2.3791436554176926e-07,8.496941816815706e-09
1872,2.261704832307032e-07,6.047339518033823e-09
1873,2.5260939651161607e-07,1.2570609442263958e-08
1874,2.2106053876314036e-07,1.9118749250424116e-08
1875,2.54035816382725e-07,1.4875970677508121e-08
1876,3.168111781803873e-07,3.3253080289341597e-08
1877,2.863569843469804e-07,3.0305599030278074e-08
1878,3.6415704851577857e-07,3.4422805050837724e-08
