year,tels_ADJ arbres_NOUN,tels_ADJ marbres_NOUN
1800,1.5720821977538435e-08,0.0
1801,2.1430643926123594e-08,0.0
1802,5.594600338554301e-08,0.0
1803,3.315576790896557e-08,0.0
1804,7.909923027682453e-08,0.0
1805,2.1890159018767008e-07,0.0
1806,2.0171682990621775e-08,0.0
1807,2.2775640928784924e-08,0.0
1808,1.8128591960930862e-08,0.0
1809,1.197286110254936e-07,0.0
1810,3.7442028144596406e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,1.8670457180292033e-08,0.0
1813,1.4378708002027452e-08,0.0
1814,1.8880061958270744e-08,0.0
1815,5.394447111228828e-09,0.0
1816,2.3176038865813098e-08,0.0
1817,6.538868291272593e-08,0.0
1818,9.536941902865692e-09,0.0
1819,2.070210003424222e-09,0.0
1820,2.3732962262101864e-08,0.0
1821,8.875339574387908e-09,0.0
1822,1.4035862250239006e-08,0.0
1823,1.680056804787e-08,0.0
1824,5.052667617633233e-09,0.0
1825,5.899646993157148e-08,0.0
1826,1.2331177856594877e-08,0.0
1827,3.6869092667757286e-08,0.0
1828,1.9261833017480967e-08,0.0
1829,2.5719527840806222e-08,0.0
1830,1.7742621594152297e-08,0.0
1831,1.091384405071949e-08,0.0
1832,1.0823975493678972e-08,0.0
1833,8.108539617524002e-09,0.0
1834,1.9602515166639023e-08,0.0
1835,1.5882484660778573e-08,0.0
1836,2.4866775305554256e-08,0.0
1837,2.99189295560609e-08,0.0
1838,2.3354999711955315e-08,0.0
1839,1.3283802502428443e-08,0.0
1840,9.554533164646273e-09,0.0
1841,1.733548060656176e-08,0.0
1842,9.391571076378114e-09,0.0
1843,2.4809025944705354e-08,0.0
1844,1.920996517412732e-08,0.0
1845,3.906159662392383e-08,0.0
1846,1.6392604607062822e-08,0.0
1847,3.775256551818984e-09,0.0
1848,1.126331028444838e-08,0.0
1849,1.508294644736452e-08,0.0
1850,1.6972489191857676e-08,0.0
1851,1.2253933867611977e-08,0.0
1852,6.510545436100301e-09,0.0
1853,7.166318205520383e-09,0.0
1854,1.2469595134234623e-08,0.0
1855,1.4859423913549108e-08,0.0
1856,1.2942972915652717e-08,0.0
1857,5.857811125054013e-09,0.0
1858,1.0276719919488642e-08,0.0
1859,1.3748867822016564e-08,0.0
1860,1.0069804545764782e-08,0.0
1861,1.2733101684148096e-08,2.357981809808507e-09
1862,2.3945327498609004e-08,0.0
1863,3.096664968893492e-08,0.0
1864,9.589456340108882e-09,0.0
1865,1.4120533187167439e-08,0.0
1866,1.1190909532388105e-08,0.0
1867,2.8631587767335986e-08,0.0
1868,3.359114231216154e-08,0.0
1869,1.1720445947105418e-08,0.0
1870,2.121598008386627e-08,0.0
1871,1.0621176826930423e-08,0.0
1872,2.1770421909650395e-08,1.2094678591978436e-09
1873,2.1549615425442425e-08,0.0
1874,7.169530746864439e-09,0.0
1875,1.0298748520654044e-08,0.0
1876,1.1487427897804992e-08,0.0
1877,1.0514186854493346e-08,0.0
1878,1.3889904337816006e-08,0.0
1879,2.1382637882538802e-08,0.0
1880,7.059631101924424e-09,0.0
1881,3.4862537301449947e-09,2.091752326904839e-09
1882,1.1314154946262533e-08,0.0
1883,8.21514056781325e-09,1.2638677882037541e-09
1884,1.0562715146988921e-08,6.601696966868076e-10
1885,5.80107206715752e-09,0.0
1886,6.453463874400711e-10,0.0
1887,1.3710741875172516e-08,3.9173548849191775e-09
1888,9.510921827882157e-09,0.0
1889,1.0024218788373673e-08,0.0
1890,9.176140736144589e-09,0.0
1891,7.0116419337296065e-09,0.0
1892,1.191017329205124e-08,0.0
1893,3.079208221734575e-09,0.0
1894,8.192000855444803e-09,0.0
1895,9.629783193076946e-09,0.0
1896,1.3563166589847242e-08,0.0
1897,4.078699600285063e-09,0.0
1898,6.7900258748920805e-09,0.0
1899,2.2110313580014918e-08,0.0
1900,8.824790675987515e-09,0.0
1901,4.470991132876634e-09,1.1177477832191585e-09
1902,5.892340837476695e-09,0.0
1903,1.296052865029651e-08,0.0
1904,7.524475265086039e-09,0.0
1905,1.1353670004154992e-08,0.0
1906,1.4403716441790948e-08,5.144184522798412e-10
1907,1.2857108266928208e-08,2.057137349353866e-09
1908,6.875944702500192e-09,0.0
1909,2.0353638774395222e-08,5.500983557560346e-10
1910,2.778958396731923e-08,0.0
1911,1.1172785363555704e-08,0.0
1912,1.1981668990301841e-08,5.209421227725386e-10
1913,1.9090762748419365e-08,0.0
1914,7.366418142140674e-09,1.3393487430235496e-09
1915,7.068456930880984e-09,0.0
1916,1.2086208478478966e-08,1.0987462051303964e-09
1917,1.4256351654751143e-08,0.0
1918,1.033773866510046e-08,0.0
1919,4.051453217357448e-08,0.0
1920,2.6502810612782923e-08,1.514446346106979e-09
1921,1.6660044011018726e-08,0.0
1922,1.4018077365562931e-08,0.0
1923,5.307974060286824e-09,2.1231896241147297e-09
1924,1.933743654092268e-08,3.867487219366694e-09
1925,1.4297631523163545e-08,0.0
