year,des_DET êtres_NOUN,des_DET etres_NOUN,des_DET mètres_NOUN
1800,7.93272672439116e-06,6.917161599062638e-08,3.45858084394024e-08
1801,7.01020158544452e-06,2.143064325998978e-08,7.857902772911984e-08
1802,6.612817713858021e-06,5.594600338554301e-08,6.713520406265161e-08
1803,7.3449775896961e-06,2.7304748240197796e-08,4.8758479920252285e-08
1804,6.661638281002524e-06,1.2359254508709228e-08,2.1010733064485976e-07
1805,6.0951295921540805e-06,6.538618801954499e-08,4.264316499913434e-08
1806,5.645189638414649e-06,4.639487212187987e-07,2.881669214360727e-08
1807,4.293208480277144e-06,4.4412499144996787e-07,7.686778502602465e-08
1808,5.0578773453935355e-06,1.1556977286275583e-07,9.064296024874352e-08
1809,4.827548366392875e-06,4.292158006791169e-08,1.8298146642337088e-07
1810,5.145938587247656e-06,1.8721014072298203e-08,1.3104709584155216e-07
1811,3.6252330914976483e-06,7.019814773912003e-08,7.521230127593981e-08
1812,5.107703927365037e-06,5.3344164641089264e-09,1.4669645187481706e-07
1813,4.762228329013851e-06,3.163315653864629e-08,3.393375216376171e-07
1814,4.090680079116282e-06,6.293354282149721e-09,8.810695817373926e-08
1815,5.890736176183964e-06,8.091670666843243e-09,6.203614288935455e-08
1816,6.6306648491831766e-06,2.5493642752394408e-08,5.7940097164532745e-08
1817,7.153833522011155e-06,4.0478708385194295e-08,9.808302792180257e-08
1818,7.1777409260675995e-06,8.34482416500748e-09,2.026600220972341e-08
1819,5.983942173770629e-06,1.0351050239165716e-08,6.003609076543626e-08
1820,7.398751023401928e-06,3.5599445169509636e-08,2.610625848831205e-08
1821,6.970099988734546e-06,1.2819935113483893e-08,1.676452932031225e-08
1822,6.20986637045462e-06,1.7043547018147365e-08,7.118187284049782e-08
1823,4.721947661323611e-06,1.087095569118901e-08,4.842516754255399e-08
1824,5.269932259466259e-06,7.66321237577472e-08,2.6947560627377243e-08
1825,5.81071181926518e-06,5.283265824829186e-09,4.402721387464226e-08
1826,5.317380342262368e-06,4.40399205992037e-09,6.605988289720699e-08
1827,4.979170892482898e-06,3.6869092223668076e-09,4.7929820112813104e-08
1828,5.893203720575002e-06,1.8344602503717056e-09,4.1275356466030644e-08
