year,différents_DET âges_NOUN
1800,6.288328968651058e-09
1801,1.904946067554647e-08
1802,0.0
1803,0.0
1804,2.4718509461507665e-09
1805,5.685755422035754e-09
1806,0.0
1807,0.0
1808,2.2660739951163578e-09
1809,9.036122072814123e-09
1810,0.0
1811,2.5070768572277302e-08
1812,0.0
1813,8.627225156487839e-09
1814,3.4613449884091096e-08
1815,5.394447111228828e-09
1816,4.6352077731626196e-09
1817,1.71256075987003e-08
1818,2.1458118837358597e-08
1819,1.5526575580793178e-08
1820,1.4239777357261119e-08
1821,8.875339574387908e-09
1822,1.303330066093622e-08
1823,1.4824030003524058e-08
1824,3.2000230021367315e-08
1825,3.434122675116669e-08
1826,2.6423952803611428e-08
1827,1.935627302884768e-08
1828,2.4765213879618386e-08
1829,2.1432940755516938e-08
1830,3.444155893816969e-08
1831,1.5591206548037917e-08
1832,1.0823975493678972e-08
1833,3.1275796175123105e-08
1834,2.9870498963191494e-08
1835,4.61348363955949e-08
1836,2.688300071440608e-08
1837,7.792837664055696e-08
1838,4.1660268124132926e-08
1839,5.733009800223954e-08
1840,4.0766007458614695e-08
1841,8.475124246842825e-08
1842,5.0982812638267205e-08
1843,1.0868716060485895e-07
1844,6.256959750317037e-08
1845,3.906159662392383e-08
1846,1.0186832355429942e-07
1847,8.359496916909848e-08
1848,9.97607472186246e-08
1849,7.960444037280467e-08
1850,7.87523504186538e-08
1851,8.384270699934859e-08
1852,5.1433307390880145e-08
1853,7.703791737867505e-08
1854,5.351534326791807e-08
1855,8.225752878843196e-08
1856,5.228961086345407e-08
1857,7.956860059721294e-08
1858,4.061751113226819e-08
1859,9.929738098435337e-08
1860,7.872756668803049e-08
1861,5.3761986862355116e-08
1862,9.307051840323766e-08
1863,3.8958042125614156e-08
1864,5.801620872603053e-08
1865,4.753912818955541e-08
1866,5.838735361862746e-08
1867,7.036576477048584e-08
1868,5.9278487896108345e-08
1869,8.448488131307386e-08
1870,6.250112960515253e-08
1871,6.372706451429622e-08
1872,7.196333484671413e-08
1873,6.105724281724179e-08
1874,5.974609251779839e-08
1875,1.0127102711976477e-07
1876,7.557518699741195e-08
1877,1.0514187209764714e-07
1878,1.050801401447643e-07
1879,8.064309042765672e-08
1880,8.279021557200394e-08
1881,4.9504802035471585e-08
1882,6.921600714804299e-08
1883,5.434631589196215e-08
1884,8.780256877116699e-08
1885,8.766064496512627e-08
1886,4.4528899678653033e-08
1887,6.790081386043312e-08
1888,7.101488108673948e-08
1889,8.332632006613494e-08
1890,5.177965434199905e-08
1891,6.565446852846435e-08
1892,7.584900174606446e-08
1893,8.313862309705655e-08
1894,7.750893615821042e-08
1895,6.500103921780465e-08
1896,5.955999426987546e-08
1897,7.225124676324413e-08
1898,4.7530182456512193e-08
1899,7.130576307190495e-08
1900,7.94231098666387e-08
1901,4.973977496547377e-08
1902,4.615666782115113e-08
1903,6.75027536090056e-08
1904,8.545654139879844e-08
1905,8.928113004458282e-08
1906,8.487904779030941e-08
1907,5.657127744029822e-08
1908,4.7640472899956876e-08
1909,5.3909637642846064e-08
1910,1.2238105284723133e-07
1911,3.405039450399272e-08
1912,4.8968558985507116e-08
1913,4.295421618394357e-08
1914,6.29493897008615e-08
1915,6.479419312199752e-08
1916,2.197492321442951e-08
1917,4.386569685266295e-08
1918,6.891825421462272e-08
1919,2.762354434082681e-08
1920,3.028892692213958e-08
1921,5.376650591415455e-08
1922,5.5334517412575224e-08
1923,4.140219900250486e-08
1924,4.1253198190815965e-08
1925,8.248633776020142e-08
1926,5.795991953050361e-08
1927,8.58490309951776e-08
1928,7.655447831211859e-08
1929,4.67897081080082e-08
1930,6.617270287279098e-08
1931,8.097803316786667e-08
1932,8.658033578967661e-08
1933,5.850037609889114e-08
1934,5.6313425034204556e-08
1935,8.018750463634206e-08
1936,4.9711328387047615e-08
1937,5.9178255185088346e-08
1938,8.297737252860315e-08
1939,4.5882153187903896e-08
1940,6.593035806190528e-08
1941,4.7224041566096275e-08
1942,9.406056733496371e-08
1943,3.4838823381733164e-08
1944,4.819779064746399e-08
1945,5.664110602765504e-08
1946,7.9350293447078e-08
1947,3.2186353138285995e-08
1948,7.392883816237372e-08
1949,3.5341230386620737e-08
1950,5.7430952438153327e-08
1951,6.503454841322309e-08
1952,4.2179216563908994e-08
1953,3.663101466599983e-08
1954,4.9839933069506515e-08
1955,5.9129330765017585e-08
1956,4.971050771018781e-08
1957,7.509782307124624e-08
1958,6.700517474200751e-08
1959,5.425523497137874e-08
1960,5.605874875413974e-08
1961,7.017640513140577e-08
1962,5.327243357555744e-08
1963,6.336732383260824e-08
1964,6.38816644027429e-08
1965,6.566452270817535e-08
1966,6.314544975793979e-08
1967,6.45873967641819e-08
1968,7.859977557700404e-08
1969,5.223021304345821e-08
1970,5.426495519600394e-08
1971,5.806389324902739e-08
1972,5.284051241005727e-08
1973,6.395316631824244e-08
1974,6.863197654638498e-08
1975,5.711480355330423e-08
1976,4.513686135965145e-08
1977,4.642657813747064e-08
1978,4.217819693508318e-08
1979,4.6815785026410595e-08
1980,5.6851508389854644e-08
1981,4.933928465788995e-08
1982,4.96600165433847e-08
1983,4.7996401519867504e-08
1984,5.277097869793579e-08
1985,6.196025026383722e-08
1986,5.8146508052914214e-08
1987,5.866384356068011e-08
1988,6.11648474091453e-08
1989,4.006329135108899e-08
1990,4.9582723704588716e-08
1991,5.1580894222524876e-08
1992,7.273126101381422e-08
1993,4.5421501226883265e-08
1994,5.063929364723663e-08
1995,5.1513282528503623e-08
1996,6.138805730415697e-08
1997,5.322332796708906e-08
1998,4.91117297940491e-08
1999,5.347135356714716e-08
2000,4.859834490389403e-08
2001,6.440381383754357e-08
2002,5.0384048932983205e-08
2003,6.667076490884938e-08
2004,5.7702767009004674e-08
2005,5.6296869388461346e-08
2006,6.259192986135531e-08
2007,5.432492145018841e-08
2008,6.428734167229777e-08
2009,5.912558620480013e-08
2010,6.991214007712188e-08
2011,6.11835488939505e-08
2012,6.365952742726222e-08
2013,5.80137999861563e-08
2014,6.193172907842381e-08
2015,5.253283674733211e-08
2016,4.287673860403629e-08
2017,4.1507586701072796e-08
2018,5.782485601457665e-08
2019,7.652963063264906e-08
