year,petits_ADJ auteurs_NOUN,petits_ADJ moteurs_NOUN
1800,7.231578180721954e-08,0.0
1801,9.762848884875552e-08,0.0
1802,5.147032311469957e-08,0.0
1803,3.12054273532425e-08,0.0
1804,1.285362465353046e-07,0.0
1805,3.695740935505398e-08,0.0
1806,5.763338339903612e-08,0.0
1807,1.451947113650931e-07,0.0
1808,2.288734766153766e-07,0.0
1809,1.1295152457790891e-07,0.0
1810,2.901757065743027e-07,0.0
1811,1.1532553045867644e-07,0.0
1812,1.5469807124190993e-07,0.0
1813,2.041776572259124e-07,0.0
1814,7.86669280827823e-08,0.0
1815,1.5643896444927918e-07,0.0
1816,7.416332259424507e-08,2.3176038865813098e-09
1817,1.3700486434231607e-07,0.0
1818,1.9073884383047357e-07,0.0
1819,1.8010826363656918e-07,0.0
1820,1.317179476600927e-07,0.0
1821,8.480879909456007e-08,0.0
1822,1.0426640528748976e-07,0.0
1823,7.906149690484199e-08,0.0
1824,1.6252747769840425e-07,0.0
1825,1.373649087810236e-07,0.0
1826,1.241925724482229e-07,0.0
1827,4.7008091641487226e-08,0.0
1828,5.7785497831197574e-08,4.586150570418113e-09
1829,1.337415524993446e-07,0.0
1830,8.34946831673733e-08,0.0
1831,1.3408437893325242e-07,0.0
1832,5.0060888323599784e-08,1.3529969367098715e-09
1833,5.096796695802652e-08,9.266902800675325e-09
1834,7.187588835222414e-08,0.0
1835,4.61348363955949e-08,0.0
1836,6.250297746035471e-08,0.0
1837,2.922314168429807e-08,0.0
1838,3.0298377362569795e-08,1.8936485712828244e-09
1839,5.243606460147987e-08,0.0
1840,9.554532720557063e-09,0.0
1841,2.43980835534785e-08,0.0
1842,2.2808102073668124e-08,0.0
1843,7.560846004839306e-08,5.906911071384968e-10
1844,2.6345093440127698e-08,0.0
1845,1.4508592383055685e-08,2.2320911785556063e-09
1846,4.976326195560432e-08,0.0
1847,4.260646591092154e-08,0.0
1848,2.5744709697406165e-08,0.0
1849,2.0948537349241292e-08,8.379414939696517e-10
1850,1.4935791270431764e-08,3.394498016007219e-09
1851,2.9022474423712197e-08,6.449438760824933e-10
1852,3.580799901037324e-08,0.0
1853,5.912212319714172e-08,0.0
1854,2.6497889216159365e-08,4.676098175337984e-09
1855,2.865746040470185e-08,4.2455496895854594e-09
1856,5.332504837696206e-08,9.318940286107136e-09
1857,5.662550428553459e-08,1.9526036343364694e-09
1858,5.480917297795429e-08,6.361778659424999e-09
1859,8.453007538378188e-08,3.055304009791371e-09
1860,3.570203332969868e-08,1.1900677776566226e-08
1861,3.7727709512047625e-08,5.187560159214399e-09
1862,3.6595690089402666e-08,5.873382225018986e-09
1863,3.3463958992729914e-08,1.0988165932701577e-08
1864,3.6439931183629426e-08,7.1920918109924514e-09
1865,5.459939300678229e-08,8.943004559114343e-09
1866,2.7247432754506917e-08,1.4596839292835284e-09
1867,3.1543274658929477e-08,2.8631587767335986e-08
1868,3.309715523869272e-08,2.7169306693330952e-08
1869,3.1742874995188686e-08,8.30198221279943e-09
1870,4.529898722793746e-08,1.9495766334642894e-08
1871,4.248470863998932e-08,1.805600158277798e-08
1872,3.5679300403046454e-08,2.297988943578133e-08
1873,3.172582285770886e-08,3.5317425428615934e-08
1874,2.808066240644891e-08,6.094101490106141e-08
1875,4.0622842589765895e-08,4.80608276509642e-08
1876,7.799359091897884e-08,2.7207065933509966e-08
1877,6.865145651957505e-08,2.350230088321581e-08
1878,4.287753085918666e-08,5.857915974516459e-08
1879,8.675241813804746e-08,6.842444510990475e-08
1880,4.556670996080925e-08,8.150664809747354e-08
1881,2.4403776777148778e-08,1.8546870639291058e-07
1882,5.257754143173088e-08,1.3510431839947046e-07
1883,4.2339570072158494e-08,1.2638678548171356e-07
1884,2.5746618170785496e-08,9.902545450302114e-08
1885,1.3535834730848961e-08,2.520243527204258e-07
1886,2.4523162389655795e-08,1.6908075339827633e-07
1887,1.109917185937448e-08,1.4755370014718494e-07
1888,3.0434951225899454e-08,1.7309877686777497e-07
1889,2.6313574763570102e-08,1.9860483541078722e-07
1890,3.080561788992853e-08,2.4120142505523745e-07
1891,1.529812720946211e-08,3.238103726266317e-07
1892,2.820830502514582e-08,3.447681711232775e-07
1893,2.4017824229449758e-08,2.943723138582044e-07
1894,1.7014156084016463e-08,2.5710281548185776e-07
1895,2.166701307260155e-08,2.846804605383113e-07
1896,2.7126333179694484e-08,3.2610568911906057e-07
1897,4.836172351474488e-08,2.7502086696884476e-07
1898,3.508179891031915e-08,3.9212399016719246e-07
1899,1.3818945987509323e-08,2.8522303274769456e-07
1900,2.2321527737290126e-08,2.579953441994576e-07
1901,7.824234593556412e-09,3.487373065880206e-07
1902,1.7677021180162455e-08,3.388095821676984e-07
1903,1.5660638563730345e-08,3.6775501399688437e-07
1904,1.5586413049106795e-08,3.525753990984981e-07
1905,1.5998352864698973e-08,3.1996705640580103e-07
1906,1.3374879592742417e-08,4.4342870147984215e-07
1907,1.7485667580530162e-08,3.944560940105646e-07
1908,2.2101251495598717e-08,2.946833379535718e-07
1909,1.5952851484257735e-08,3.460118600528972e-07
1910,2.992724390527002e-08,2.7789584033932613e-07
