year,les_DET âges_NOUN,les_DET ages_NOUN,les_DET mages_NOUN
1800,4.665940068093732e-06,2.0437069014889175e-07,9.369610083354019e-07
1801,5.462432925540384e-06,5.238601819002042e-08,8.048397290849607e-07
1802,4.965767089970541e-06,4.699464284385613e-08,2.4034402485995088e-06
1803,5.644281493744074e-06,1.1311967385019273e-07,1.148749781521019e-06
1804,5.386163351772666e-06,4.9437018700970725e-08,9.566063141619452e-07
1805,5.694284274326833e-06,2.2743021688143017e-08,9.068780002507992e-07
1806,4.829677632045559e-06,9.221341379372916e-08,9.221341414900053e-07
1807,4.327371735612928e-06,1.19572113099764e-07,6.975040243162312e-07
1808,4.896985794644593e-06,6.345007141916881e-08,1.6542340404157585e-06
1809,4.368964847678569e-06,3.388545821714217e-08,8.855399613594273e-07
1810,4.918946551413228e-06,1.0296557739764012e-07,1.3947155537152867e-06
1811,3.5450065478670467e-06,8.524061101411462e-08,1.195875640291888e-06
1812,5.438437618465741e-06,9.601949235715779e-08,9.735309802749725e-07
1813,4.678831608373457e-06,5.1763349162570194e-08,9.144858452714288e-07
1814,5.003216866583671e-06,8.18136065561248e-08,8.621895304372629e-07
1815,5.5427945504504805e-06,7.2825036667723e-08,1.469986841584614e-06
1816,5.678129348041239e-06,1.0429217667251578e-07,1.1240378938737194e-06
1817,5.544025981407685e-06,6.850243117195731e-08,1.0353208530489155e-06
1818,4.624224864357984e-06,4.530047448270125e-08,1.2684132641993529e-06
1819,4.743886410807363e-06,2.5877624487691264e-08,1.5982021182026074e-06
1820,5.265157511757934e-06,6.763894067063347e-08,7.487749655865628e-07
1821,5.670355704978647e-06,1.0749022016920406e-07,1.7326634917935735e-06
1822,4.948644132696245e-06,5.6143449000956025e-08,1.4827885337354019e-06
1823,4.215954415798251e-06,2.865979298327659e-08,1.0139636685835285e-06
1824,4.558348194905193e-06,3.789500802042767e-08,8.08426843690313e-07
1825,4.83418807561975e-06,4.314667090277169e-08,1.947763998089158e-06
1826,3.974162375186552e-06,5.901349353631957e-08,1.0525541114247972e-06
1827,4.422447450025402e-06,6.636436677975865e-08,1.1051510568904632e-06
1828,4.836554538201199e-06,5.228211635843749e-08,1.2226677483795356e-06
1829,4.706673472298917e-06,4.886710325280319e-08,1.3399874170261228e-06
1830,4.9929822836247695e-06,8.558205366604454e-08,1.255551367762564e-06
1831,4.819241720355194e-06,6.392394413801128e-08,1.3751443788123652e-06
1832,5.652821140955666e-06,3.247192603694771e-08,1.0391016687094634e-06
1833,5.724629140502202e-06,7.761030995645513e-08,1.032101323517054e-06
1834,5.47376898651919e-06,6.627516802026889e-08,9.773253850653418e-07
1835,4.816174183019939e-06,4.9160071569076536e-08,1.4037091418117598e-06
1836,4.917572923091029e-06,6.586335044023173e-08,1.3938835863314125e-06
1837,4.771025746919122e-06,4.661787011972507e-08,1.0207226264213887e-06
1838,4.973983681821892e-06,5.365337751861432e-08,9.61973466218069e-07
1839,5.013586640956191e-06,5.5931801412612003e-08,1.0752888890408485e-06
1840,4.884277146288696e-06,8.153201597194126e-08,9.458987548782716e-07
1841,5.444625280404125e-06,7.383630817869857e-08,1.1955061296475833e-06
1842,5.23244681005508e-06,9.123240563013724e-08,1.136380092248146e-06
1843,5.550724374359106e-06,7.324569645250634e-08,1.3692220051098047e-06
1844,5.129060426156684e-06,1.136132175005855e-07,1.277188223625103e-06
1845,4.589179532388243e-06,7.812319202660234e-08,1.254435247233232e-06
1846,5.089903304167365e-06,8.37193687708293e-08,1.2066127190735187e-06
1847,4.52545380369429e-06,6.040410482910374e-08,8.769381629747386e-07
1848,4.985623881736956e-06,6.43617756312942e-08,1.0836913801881565e-06
1849,4.952234100130681e-06,6.954914533174872e-08,6.100213987281222e-07
1850,4.848700971393782e-06,7.467895635215882e-08,1.4827167618136627e-06
1851,4.9067332277275e-06,9.480675022821572e-08,1.1770225931684308e-06
1852,5.317813577931929e-06,9.049658289406182e-08,1.2415610086691231e-06
1853,5.411167634861158e-06,1.039116110934657e-07,1.0247835362520163e-06
1854,5.172284105015024e-06,1.0183502335836536e-07,1.6859931051271815e-06
1855,5.324449809052112e-06,9.817833657166375e-08,1.5644850890339512e-06
1856,5.657114549251219e-06,9.422484165133582e-08,1.2606455754848866e-06
1857,5.266172131257463e-06,7.956859537916472e-08,1.0544059882988677e-06
1858,4.616204655860656e-06,6.99795659198088e-08,9.650329459987006e-07
1859,5.104903927133364e-06,7.12904275612658e-08,1.0428771304304973e-06
1860,5.277035356243687e-06,9.38322714250095e-08,1.1108825574979164e-06
1861,4.886681601590226e-06,9.29044859931949e-08,9.488518770695009e-07
1862,4.754276766050225e-06,6.867339152893948e-08,1.0255829145933149e-06
1863,4.5750728574489585e-06,9.539725898122242e-08,1.1602504201846386e-06
1864,5.300571899624629e-06,9.589455862712981e-08,1.378004817809142e-06
1865,5.033499434148325e-06,9.978510345787228e-08,1.041624678066455e-06
1866,4.8247416941649135e-06,1.5715929935211648e-07,1.1385534293140154e-06
1867,4.717417837696303e-06,1.1258522825130513e-07,1.1190583606435212e-06
1868,5.1552525022202644e-06,1.1411109390735419e-07,1.1277732241410376e-06
1869,5.3171757983250245e-06,7.667124912735801e-08,1.2687382664466895e-06
1870,4.9811682529821155e-06,1.0206607115037514e-07,1.169172541892749e-06
1871,4.0902152029786976e-06,6.478918024299674e-08,6.648857002744535e-07
1872,5.1196773611650315e-06,8.950062146961812e-08,8.998440819141251e-07
1873,4.820529291293951e-06,9.218446744840847e-08,8.278644187953432e-07
1874,4.520986536249438e-06,7.468261342680194e-08,9.350263141527648e-07
1875,4.5314495622506e-06,8.982797339296411e-08,8.702442819696898e-07
1876,4.643339281074077e-06,1.0036384590073055e-07,1.1626486724480856e-06
1877,4.91569185356866e-06,1.2431479901042763e-07,1.0835797681352233e-06
1878,4.667007850400751e-06,1.3467167780945033e-07,1.4119389462052823e-06
1879,5.098843082862459e-06,1.1363344876169634e-07,8.571383212085948e-07
1880,4.3609263684629695e-06,1.7520720185792982e-07,9.267370018051224e-07
1881,4.537010752869719e-06,2.1335873312544607e-07,9.684813093713274e-07
1882,4.42915887788331e-06,1.60394778792039e-07,1.0082908517006217e-06
1883,4.335698477575534e-06,1.3144224991767928e-07,7.823341796608929e-07
1884,4.1960386525374815e-06,1.3005342847094425e-07,4.112857112659185e-07
1885,4.584136313212639e-06,1.482496198024208e-07,6.45208132254993e-07
1886,4.501936459178069e-06,1.6843540850963734e-07,5.027248413114194e-07
1887,4.300602682860699e-06,1.540826208845658e-07,5.686693391737663e-07
1888,4.125838074742205e-06,1.3695727485441012e-07,5.934815341390731e-07
1889,4.177593254439671e-06,1.3282089683652742e-07,6.340318421393931e-07
1890,4.188252809456117e-06,1.435410640349133e-07,6.823116400767049e-07
1891,4.317896497241236e-06,1.3067150628209845e-07,7.317604477918849e-07
1892,4.082682032446883e-06,1.3790727249052281e-07,7.114761544357862e-07
1893,4.174174826232502e-06,1.7489902692791048e-07,5.339347168842323e-07
1894,4.218880398809688e-06,1.304418684178188e-07,5.249182173372446e-07
1895,4.057147968694608e-06,1.1736298133335765e-07,4.826928794443575e-07
1896,4.37028819533225e-06,1.8929462769490257e-07,5.779088390056586e-07
1897,3.6853964289207397e-06,1.561559218599129e-07,5.762619572635685e-07
1898,3.631532223380418e-06,1.6635563382383367e-07,4.153232584513944e-07
1899,3.7128744025949345e-06,1.625108030367528e-07,5.184868641094909e-07
1900,4.036043826260993e-06,1.8376327515223778e-07,5.725731533345879e-07
1901,4.067484070446881e-06,1.782807702577216e-07,4.728073026427637e-07
1902,3.375329093557866e-06,1.689137661964324e-07,5.892340624313874e-07
