year,quelques_DET êtres_NOUN,quelques_DET etres_NOUN
1800,2.7668648883150126e-07,0.0
1801,2.9050428418386787e-07,0.0
1802,2.886813774694019e-07,0.0
1803,1.5992782209650613e-07,0.0
1804,2.3976953755777686e-07,0.0
1805,2.1890158263815351e-07,0.0
1806,1.123850950079941e-07,0.0
1807,1.1387820109121094e-07,1.1387820908481672e-08
1808,1.6089124699192325e-07,4.5321479902327155e-09
1809,7.228897658251299e-08,0.0
1810,1.1232608132516475e-07,0.0
1811,1.0028306718368185e-07,0.0
1812,1.4669645054254943e-07,0.0
1813,1.380355929558874e-07,0.0
1814,2.1397404736944736e-07,0.0
1815,1.6722785622924619e-07,0.0
1816,1.0892738089296472e-07,0.0
1817,1.3389111330752712e-07,0.0
1818,1.9550730434580998e-07,0.0
1819,1.23177498423388e-07,0.0
1820,2.6699582988953807e-07,1.1866481131050932e-09
1821,2.6034328914903426e-07,0.0
1822,2.315917271289436e-07,0.0
1823,1.976537351566776e-07,0.0
1824,1.0779024606222265e-07,0.0
1825,1.2239565294613897e-07,0.0
1826,1.1450379844291092e-07,0.0
1827,1.1890282003435004e-07,0.0
1828,1.5868081471026585e-07,0.0
1829,1.723208384873942e-07,0.0
1830,1.5342148751429363e-07,0.0
1831,1.4187998065295915e-07,0.0
1832,1.2853471087481694e-07,0.0
1833,1.44795358480998e-07,0.0
1834,1.4841904660833904e-07,0.0
1835,1.3916082508558247e-07,0.0
1836,1.6264215663142068e-07,0.0
1837,8.488626601632632e-08,0.0
1838,1.0288823837356631e-07,0.0
1839,1.0766871572087666e-07,6.9914751765765e-10
1840,1.273937768608846e-07,0.0
1841,1.4703055839504486e-07,0.0
1842,9.861149630197019e-08,0.0
1843,1.4885416588228395e-07,5.906911071384968e-10
1844,9.38543984752016e-08,0.0
1845,1.450859303808727e-07,0.0
1846,1.1006462230511715e-07,0.0
1847,1.472350064091188e-07,1.0786447290911383e-09
1848,1.1826476153942167e-07,1.6090443422100975e-09
1849,1.0641857306481484e-07,8.379414939696517e-10
1850,8.078905100461498e-08,0.0
1851,7.094382525885123e-08,0.0
1852,1.015645090252093e-07,0.0
1853,1.1286950840627696e-07,5.971931837933653e-10
1854,7.273930435758302e-08,0.0
1855,9.340208961816643e-08,0.0
1856,1.0509694448046503e-07,5.177189232874468e-10
1857,1.0055908639117206e-07,1.4644527812635033e-09
1858,6.019221521214035e-08,9.787352039936081e-10
1859,1.0133424765967902e-07,5.092173349652285e-10
1860,6.911547778543081e-08,0.0
1861,8.394415473844674e-08,9.431927461278633e-10
