year,trois_DET effets_NOUN,trois_DET méfaits_NOUN
1800,1.760732146749433e-07,0.0
1801,1.2620267608731695e-07,0.0
1802,6.489736392722989e-08,0.0
1803,1.09218993626925e-07,0.0
1804,9.39303390623536e-08,0.0
1805,9.097208675257207e-08,0.0
1806,6.916005901302924e-08,0.0
1807,1.8789904210336772e-07,0.0
1808,1.0650547466184435e-07,0.0
1809,1.1746958450409295e-07,0.0
1810,8.892481773159489e-08,0.0
1811,7.019814773912003e-08,0.0
1812,1.6803411284627146e-07,0.0
1813,1.00650957790549e-07,0.0
1814,2.5173417128598885e-08,0.0
1815,4.315557688983063e-08,0.0
1816,2.5261881830829225e-07,0.0
1817,7.161617787687646e-08,0.0
1818,2.2650237241350624e-08,0.0
1819,3.622867339458935e-08,0.0
1820,1.1866481131050932e-08,0.0
1821,5.226588761786388e-08,0.0
1822,5.213320264374488e-08,0.0
1823,8.004976592701496e-08,0.0
1824,6.400045471366411e-08,0.0
1825,8.893497671635942e-08,0.0
1826,7.398706802774768e-08,0.0
1827,7.742509167130152e-08,0.0
1828,6.053718815124398e-08,0.0
1829,3.6864655328372464e-08,0.0
1830,7.827626857803693e-08,0.0
1831,4.3655377757190195e-08,0.0
1832,4.058990699107312e-08,0.0
1833,7.761030929032131e-08,0.0
1834,3.8271577906812126e-08,0.0
1835,4.9916380362446944e-08,0.0
1836,7.191202877621095e-08,0.0
1837,5.148839132829153e-08,0.0
1838,4.039783796372376e-08,0.0
1839,4.544458864774725e-08,0.0
1840,7.13405121643973e-08,0.0
1841,7.640452581725299e-08,0.0
1842,8.452414013149223e-08,0.0
1843,7.088293163537429e-08,0.0
1844,8.562155429103768e-08,0.0
1845,7.254296541248095e-08,0.0
1846,7.201036922310777e-08,0.0
1847,7.226919507274943e-08,0.0
1848,3.459445352405055e-08,0.0
1849,7.625267928190738e-08,0.0
1850,7.603675555856171e-08,0.0
1851,4.256629737575679e-08,0.0
1852,5.33864739082901e-08,0.0
1853,6.62884460655988e-08,0.0
1854,1.0235458880458737e-07,5.195664454227256e-10
1855,5.73149208094037e-08,0.0
1856,7.248064815001953e-08,0.0
1857,5.613735365450623e-08,0.0
1858,5.3341068229073585e-08,0.0
1859,6.16152957544358e-08,0.0
1860,5.538392411352788e-08,0.0
1861,4.6688042765197224e-08,0.0
1862,6.325181090005572e-08,0.0
1863,8.890425162721982e-08,9.989241656072068e-10
1864,5.7057262026205535e-08,1.9178911792039344e-09
1865,3.6242699952282464e-08,0.0
1866,6.568577193277747e-08,0.0
1867,6.260126994561688e-08,4.85281148598915e-10
1868,6.17484268161661e-08,0.0
1869,5.9578932454229516e-08,0.0
1870,5.963410787401813e-08,0.0
1871,6.691341525311145e-08,0.0
1872,4.475031190054324e-08,2.4189357183956872e-09
1873,6.285304499087374e-08,2.9930022904522957e-09
1874,9.499628861320275e-08,0.0
1875,7.09469343274094e-08,0.0
1876,4.3531305449207025e-08,0.0
1877,5.00970109840182e-08,0.0
1878,3.5026715750063886e-08,0.0
1879,4.215434479259983e-08,0.0
1880,4.620849236580682e-08,0.0
1881,5.508280992438941e-08,0.0
1882,5.657077251086662e-08,0.0
1883,3.9179900490626807e-08,0.0
1884,3.8289840631478e-08,0.0
1885,3.2228179347448815e-08,0.0
1886,4.323820768092901e-08,0.0
1887,5.353718068867863e-08,0.0
1888,4.375024076352929e-08,6.974675947901687e-09
1889,4.1349901724885285e-08,1.8795409673089125e-09
1890,4.260351271767604e-08,0.0
