year,grands_ADJ yeux_NOUN
1800,1.2953958048456116e-06
1801,1.37156121127191e-06
1802,1.2688553852058249e-06
1803,1.4978604667703621e-06
1804,1.1568262152650277e-06
1805,1.0888221595450887e-06
1806,9.307791515311692e-07
1807,8.654743623992545e-07
1808,8.86034911218303e-07
1809,7.183717229963804e-07
1810,1.1162404689457617e-06
1811,9.777598961591139e-07
1812,1.24558619063464e-06
1813,9.83503696261323e-07
1814,7.048556653899141e-07
1815,5.556280484597664e-07
1816,7.369980608018523e-07
1817,1.138074480877549e-06
1818,9.393887694386649e-07
1819,7.514862545576761e-07
1820,1.0406904493720504e-06
1821,1.025594769998861e-06
1822,1.0075743830384454e-06
1823,1.0317525038772146e-06
1824,8.303217100547045e-07
1825,9.782846746020368e-07
1826,9.23076754588692e-07
1827,6.82999939272122e-07
1828,9.465815082876361e-07
1829,1.357991095574107e-06
1830,1.4976859574744594e-06
1831,1.7633653897064505e-06
1832,2.0673792278103065e-06
1833,2.002809424084262e-06
1834,1.4356508017954184e-06
1835,1.9943863662774675e-06
1836,1.5955060916894581e-06
1837,1.7485180023868452e-06
1838,1.3842570751876337e-06
1839,1.3102024922773126e-06
1840,1.3936878531239927e-06
1841,1.3406105381363886e-06
1842,1.6220584484472056e-06
1843,1.664567548687046e-06
1844,1.8145183275919408e-06
1845,1.7421472193746013e-06
1846,1.5731045550637646e-06
1847,1.050599962582055e-06
1848,1.3451610811898718e-06
1849,1.2543983984869556e-06
1850,1.3876707498639007e-06
1851,1.2989169135835255e-06
1852,1.4498984910460422e-06
1853,1.8292026879862533e-06
1854,1.3991924561196356e-06
1855,1.6976891856756993e-06
1856,1.6753384670664673e-06
1857,1.9540680114005227e-06
1858,2.129238509951392e-06
1859,2.3637869617232354e-06
1860,2.371438995396602e-06
1861,2.1627408841595752e-06
1862,2.0733039036713308e-06
1863,2.3190025331132347e-06
1864,2.1691348592867143e-06
1865,2.231514827144565e-06
1866,2.252778813272016e-06
1867,2.4996832053147955e-06
1868,2.189846100009163e-06
1869,2.470572326274123e-06
1870,1.9272138160886243e-06
1871,2.0382040020194836e-06
1872,2.4388918973272666e-06
1873,2.2232020455703605e-06
1874,2.3151610548666213e-06
1875,2.298337449246901e-06
1876,2.437753209960647e-06
1877,2.381772674198146e-06
1878,1.952437287400244e-06
1879,2.2518972855323227e-06
1880,2.3399468318530126e-06
1881,2.620965688038268e-06
1882,2.832531890817336e-06
1883,2.5252079467463773e-06
1884,2.8466517960623605e-06
1885,2.71812450591824e-06
1886,2.5794495286390884e-06
1887,2.6337681902077748e-06
1888,2.6541813440417172e-06
1889,2.29554621000716e-06
1890,2.454617742841947e-06
1891,2.362923396503902e-06
1892,2.5475235361227533e-06
1893,2.4738358206377598e-06
1894,2.531328391341958e-06
1895,2.2834624360257294e-06
1896,2.1636199107888388e-06
1897,2.183269543820643e-06
1898,2.2967262793827103e-06
1899,2.2712820282322355e-06
1900,2.243054041173309e-06
1901,2.0885117919533513e-06
1902,1.97982649297046e-06
1903,2.2605322556046303e-06
1904,2.000972926907707e-06
1905,1.8712912606133614e-06
1906,2.212513663835125e-06
1907,2.1131943412910914e-06
1908,2.2459782940131845e-06
1909,2.2510025701194536e-06
1910,2.671540869414457e-06
1911,2.0111015146540012e-06
1912,1.908211061163456e-06
1913,2.048544956778642e-06
1914,1.8945088413602207e-06
1915,1.869606876425678e-06
1916,2.1238763565634144e-06
1917,2.181221816499601e-06
1918,1.8630902332006372e-06
1919,2.1325377019820735e-06
1920,2.1800456124765333e-06
1921,1.9878461898770183e-06
1922,2.5719482437125407e-06
1923,2.4416681299044285e-06
1924,2.3630348096048692e-06
1925,2.492187149982783e-06
1926,2.4042219592956826e-06
1927,3.1619201763533056e-06
1928,2.6337024792155717e-06
1929,2.2993799575488083e-06
1930,2.1112243757670512e-06
1931,1.8009058067036676e-06
1932,1.9244946543039987e-06
1933,1.736658305162564e-06
1934,1.8942878341476899e-06
1935,1.7354011561110383e-06
1936,1.7471713817940326e-06
1937,1.7715702824716573e-06
1938,1.8436535356158856e-06
1939,1.989755901377066e-06
1940,1.4022879213371198e-06
1941,2.31397802963329e-06
1942,1.71432964179985e-06
1943,2.0845229755650507e-06
1944,2.345625944144558e-06
1945,2.2700012323184637e-06
1946,2.1466341877385275e-06
1947,1.937141632879502e-06
1948,2.0852280613326e-06
1949,1.825963522605889e-06
1950,1.804820840334287e-06
1951,1.812438313208986e-06
1952,1.903337079056655e-06
1953,1.5406573083964759e-06
1954,1.8988038164025056e-06
1955,1.5983690673238016e-06
1956,1.8314397038921015e-06
1957,1.8836300341718015e-06
1958,1.9175060970155755e-06
1959,1.7803467926569283e-06
1960,1.9869712559739128e-06
1961,1.8919837430075859e-06
1962,2.0205472992529394e-06
1963,1.8732156377154752e-06
1964,1.8355332258579438e-06
1965,1.5770428944961168e-06
1966,2.011237938859267e-06
1967,1.9573433291952824e-06
1968,1.93804589798674e-06
1969,1.5078635442478117e-06
1970,1.4909066976542817e-06
1971,1.7645256775722373e-06
1972,1.5595646800647955e-06
1973,1.4637555523222545e-06
1974,1.1386157439119415e-06
1975,1.1554324146345607e-06
1976,1.1027107120753499e-06
1977,1.258806719306449e-06
1978,1.327128074990469e-06
1979,1.5654028402423137e-06
1980,1.4229932503440068e-06
1981,1.447285740141524e-06
1982,1.3935842844148283e-06
1983,1.5175704675129964e-06
1984,1.4033601019036723e-06
1985,1.4822335288044997e-06
1986,1.446469354959845e-06
1987,1.4140430266706971e-06
1988,1.3072486808596295e-06
1989,1.5042943459775415e-06
1990,1.3741497468799935e-06
1991,1.3991317473482923e-06
1992,1.4766650338060572e-06
1993,1.5471006236111862e-06
1994,1.4057679891266162e-06
1995,1.4917162616256974e-06
1996,1.3868364021618618e-06
1997,1.4140143775875913e-06
1998,1.4943317410143209e-06
1999,1.3596348935607239e-06
2000,1.3969815881864633e-06
2001,1.3993590073368978e-06
2002,1.6688072719261982e-06
2003,1.6401008906541392e-06
2004,1.7337258668703726e-06
2005,1.582617642270634e-06
2006,1.965056981134694e-06
2007,3.0162314033077564e-06
2008,3.3884962249430828e-06
2009,3.812646809819853e-06
2010,5.382289600674994e-06
2011,5.742458597524092e-06
2012,7.177186034823535e-06
2013,8.037142833927646e-06
2014,8.458228876406793e-06
2015,9.086628779186867e-06
2016,9.488187060924247e-06
2017,8.571190846851096e-06
2018,1.0049649972643238e-05
2019,9.264932486985344e-06
