year,quelques_DET airs_NOUN,quelques_DET mères_NOUN
1800,3.4585809238762977e-07,3.458580977167003e-08
1801,2.809795489611133e-07,2.8574191901498125e-08
1802,2.0140561218795483e-07,5.594600338554301e-08
1803,1.8918289867997373e-07,3.900678358093046e-08
1804,4.202146612897195e-07,9.39303390623536e-08
1805,3.041879172993589e-07,5.685755422035754e-08
1806,3.429186392622796e-07,2.305335211616466e-08
1807,1.992868590150465e-07,3.98573707371952e-08
1808,1.450287356874469e-07,2.2660739951163578e-08
1809,1.8524050737767084e-07,7.228897480615615e-08
1810,2.948559623128233e-07,1.4040760110134443e-08
1811,1.5293167621166504e-07,2.5070768128188092e-08
1812,5.521121124729689e-07,1.1202274663446588e-07
1813,5.665210984773239e-07,2.300593315851529e-08
1814,2.6117418938653714e-07,3.776012391654149e-08
1815,1.8071397800412115e-07,8.091670666843243e-09
1816,1.2515060632267705e-07,1.0892738089296472e-07
1817,2.6933909857973504e-07,4.670620334934483e-09
1818,2.0266001610202977e-07,3.0995061850447314e-08
1819,1.9977527188075328e-07,5.382546020005208e-08
1820,2.254631459308598e-07,3.79727405075414e-08
1821,2.1004970562898961e-07,2.3667571014129862e-08
1822,1.9148926355683216e-07,6.015369535816717e-08
1823,1.8381797417532653e-07,2.3718448982634754e-08
1824,1.1957980028398651e-07,5.557934379396556e-08
1825,2.932212508355292e-07,6.604081992378497e-08
1826,1.1186140369545683e-07,2.8185549894033102e-08
1827,1.4931982822430356e-07,1.6591091500650634e-08
1828,1.6051527040872315e-07,3.393751413227619e-08
1829,1.8603791507310063e-07,3.600733899933317e-08
1830,3.1832348135196753e-07,6.575206512593468e-08
1831,1.38761739654214e-07,6.236482441579483e-09
1832,1.4882965615470312e-07,4.19429042608499e-08
1833,3.104412300558579e-07,3.3592521320180424e-08
1834,2.2962945855908856e-07,1.586870257419548e-08
1835,2.1101014624491654e-07,1.8151411040889798e-08
1836,1.8885307717653177e-07,3.024337613677375e-08
1837,2.0456199401053254e-07,4.313892265628283e-08
1838,1.6979716122023092e-07,2.2723782855393893e-08
1839,1.7059198764712846e-07,4.4046292835275835e-08
1840,1.7389249640231697e-07,2.5478754661634184e-08
1841,1.489567313939233e-07,2.8892468861840825e-08
1842,1.2678621041928295e-07,4.159124422642435e-08
