year,les_DET arrêts_NOUN,les_DET marais_NOUN
1800,2.0248419829727027e-06,5.024374942763643e-06
1801,1.7358820691981691e-06,4.833800780090769e-06
1802,2.083429137655912e-06,6.15853628005425e-06
1803,2.560795365980084e-06,9.061275939359348e-06
1804,2.637464916688259e-06,6.187042934868714e-06
1805,3.4029246620548292e-06,6.9650501899332085e-06
1806,3.774986623739096e-06,5.815208439230446e-06
1807,7.641227654175964e-06,5.275407822580291e-06
1808,6.832212953611361e-06,5.658386896811862e-06
1809,8.121214591483294e-06,7.115946200286771e-06
1810,7.413521402099832e-06,4.106922375513022e-06
1811,4.595471807533613e-06,5.477962929489877e-06
1812,1.1442323483379369e-05,4.683617465417456e-06
1813,7.626466668853027e-06,4.698961802773738e-06
1814,4.235427496723787e-06,3.294570952050435e-06
1815,6.0822390501868995e-06,5.2434024340186625e-06
1816,5.200702972274485e-06,4.547138747312829e-06
1817,3.9684703949660616e-06,5.866298899093181e-06
1818,4.314273915895228e-06,5.670904016596978e-06
1819,6.479757157507038e-06,4.6879906179242425e-06
1820,4.173441546129197e-06,4.034603563241035e-06
1821,4.593481321535364e-06,3.4091164238247984e-06
1822,6.010356912611314e-06,5.175223080300384e-06
1823,5.202246185831427e-06,4.398783907788584e-06
1824,5.359196286747192e-06,3.870343419976052e-06
1825,7.09190370429269e-06,4.385110571547557e-06
1826,8.953316267934497e-06,4.3071041773146135e-06
1827,1.2247912650309445e-05,4.609558459378604e-06
1828,9.727225730671307e-06,4.302726626548292e-06
1829,9.912306389026071e-06,3.7533365464526014e-06
1830,9.617543891948799e-06,4.007745051382017e-06
1831,7.594476606698208e-06,4.513654189963745e-06
1832,1.1158166000058145e-05,3.1808957245971214e-06
1833,6.33624496337859e-06,4.617234154125072e-06
1834,6.055310070252062e-06,4.324688241297281e-06
1835,5.46584367810965e-06,4.506087805111747e-06
1836,4.888673711178626e-06,3.885265602576737e-06
1837,4.805119598216834e-06,3.8825031296596535e-06
1838,5.502942784119114e-06,3.963406449258855e-06
1839,7.157872385477049e-06,3.569847198292564e-06
1840,6.670975057687656e-06,3.760664142760106e-06
1841,5.669344268710574e-06,3.6937416041382676e-06
1842,6.1125709649445525e-06,3.42389843766e-06
1843,5.224662734448771e-06,3.357488274957632e-06
1844,5.957284516355799e-06,4.419389377119387e-06
1845,6.318492269841158e-06,4.341417124464897e-06
1846,5.59339067862652e-06,3.3370656815634447e-06
1847,8.648033887226347e-06,3.704065896670272e-06
1848,6.359747871442778e-06,4.4256763693795165e-06
1849,6.572812967675645e-06,3.6257727913380222e-06
1850,5.924756720787627e-06,3.2451401459354656e-06
1851,6.337218618313045e-06,3.47947230494583e-06
1852,6.518357992035817e-06,3.4284531835737653e-06
1853,5.1328753478685485e-06,4.075843534678825e-06
1854,6.105944809320363e-06,3.845830754301005e-06
1855,6.132696483973632e-06,3.804543226237911e-06
1856,5.610519863807895e-06,3.4516319864508205e-06
1857,5.719176126461889e-06,3.631842844242783e-06
1858,5.232318418535442e-06,3.4730418221329273e-06
1859,5.5514872094875045e-06,3.2645922374285874e-06
1860,4.739673919118559e-06,3.1719883892833423e-06
1861,4.593348869263991e-06,3.1285703734340586e-06
1862,4.668435320098752e-06,3.3171053992475663e-06
