year,deux_DET airs_NOUN,deux_DET mères_NOUN
1800,1.131899196593622e-07,8.174827748064217e-08
1801,4.286128785224719e-08,5.000483316308646e-08
1802,3.1329761895904085e-08,4.923248297927785e-08
1803,9.166594594489652e-08,3.315576679874255e-08
1804,6.921182338359699e-08,2.2246657849223084e-08
1805,1.2224374312808095e-07,1.0518647197699238e-07
1806,4.8988376022407465e-08,4.3225035106786436e-08
1807,6.547996633798903e-08,5.693910054560547e-08
1808,1.1556977064230978e-07,2.945896104833423e-08
1809,6.09938268780752e-08,1.242466789452834e-07
1810,3.97821557918121e-08,1.0530570593303423e-07
1811,8.77476873384353e-08,4.262030373070047e-08
1812,5.3344166417446104e-08,3.7340915692851695e-08
1813,1.5241430628698538e-07,1.2653262970729884e-07
1814,8.81069599500961e-08,9.440031423224582e-09
1815,5.664169400176888e-08,4.045835222399319e-08
1816,4.6352077731626196e-09,4.4034473845044886e-08
1817,3.42512151974006e-08,5.1376821907922476e-08
1818,6.079800130009971e-08,2.980294322441068e-08
1819,4.5544620519422097e-08,4.7614828524444874e-08
1820,5.3399165977907614e-08,8.425201780681846e-08
1821,1.4792232327920374e-08,8.678109963966563e-08
1822,5.514088741165324e-08,7.118187284049782e-08
1823,1.680056804787e-08,5.731958419019634e-08
1824,6.06320114115988e-08,5.64214550635711e-08
1825,3.78634048558979e-08,7.836844417852262e-08
1826,2.9947145208097936e-08,4.7563116112314674e-08
1827,5.7147091836462494e-08,5.7147094167930845e-08
1828,7.888178754633657e-08,3.5771975603893225e-08
1829,6.086954873474326e-08,5.658296231558779e-08
1830,4.5922077696047836e-08,4.487839366795754e-08
1831,5.145097770054008e-08,3.4300654316865575e-08
1832,2.8412935559885e-08,4.058990699107312e-08
1833,4.865123881536704e-08,6.370995730975437e-08
1834,4.853956059314157e-08,5.13399209811638e-08
1835,4.0840674842002045e-08,7.411826175030001e-08
1836,5.578222345148376e-08,8.132107520708587e-08
1837,6.88831186534955e-08,2.9223142017364978e-08
1838,4.229148320433751e-08,5.9334323232462793e-08
1839,3.2859933885021064e-08,7.131304524676807e-08
1840,4.33138822586443e-08,6.879263603210006e-08
1841,7.512042010660025e-08,4.879617021558147e-08
1842,3.8237111255057243e-08,7.110761046646985e-08
1843,6.143187425422525e-08,6.143187603058209e-08
1844,3.45779343491337e-08,6.366731170048823e-08
1845,4.7431936656128215e-08,5.412821213468533e-08
1846,2.2832555401919308e-08,8.781751792419357e-08
1847,1.941560512364049e-08,4.422443211637983e-08
1848,3.298541073615269e-08,6.114368644727364e-08
1849,3.686942506853086e-08,3.351765798242923e-08
1850,5.838536765168101e-08,4.209177362213268e-08
1851,3.353708155628965e-08,5.933483615550017e-08
1852,6.445439737490233e-08,9.179869153719267e-08
1853,4.598387448595531e-08,6.330247881436435e-08
1854,7.118060402211412e-08,3.585008540030188e-08
1855,6.156047405170284e-08,6.899018245576372e-08
1856,5.694908311593139e-08,6.93743368307409e-08
1857,7.175818117488575e-08,7.175818456106597e-08
1858,8.172439253106845e-08,7.487324316102217e-08
1859,3.97189512391094e-08,5.092173283038903e-08
1860,5.8130236957332215e-08,7.369265930812219e-08
1861,5.847795042646098e-08,5.5176773927634315e-08
1862,8.177555432808958e-08,6.415540820814414e-08
1863,2.2975256364077268e-08,8.690640473929534e-08
1864,7.096197229827794e-08,7.096197540690241e-08
1865,4.2832282387550435e-08,5.1304604398172415e-08
1866,5.1088934416299026e-08,6.130672147719451e-08
1867,6.939520247328801e-08,5.532205094027631e-08
1868,4.6434817546625595e-08,6.86642491753986e-08
1869,8.399653195212409e-08,6.934597329699699e-08
1870,4.587238944253613e-08,8.199689549570621e-08
1871,2.1242353653860846e-08,6.372706451429622e-08
1872,5.019291648977742e-08,8.647695326491345e-08
1873,6.105724315030869e-08,5.507124267722929e-08
1874,4.779687134970345e-08,8.483945279635918e-08
1875,5.893172794202428e-08,1.1214193307296227e-07
1876,6.287855258690911e-08,6.59015586546019e-08
1877,7.050690165044671e-08,1.2431480023167296e-07
1878,1.316521327510145e-07,9.17941508915554e-08
1879,3.6655949942066e-08,7.3311899884132e-08
1880,5.005920211686998e-08,7.059630702244135e-08
1881,9.41288524902717e-08,8.436734422190284e-08
1882,7.587138917131142e-08,6.522277584686265e-08
1883,7.140853064413477e-08,1.1311616843201477e-07
1884,4.291103117282091e-08,7.195849960339729e-08
1885,4.318576085626802e-08,9.668453643252306e-08
1886,4.9046325889534614e-08,8.13136420418914e-08
1887,5.35371814103236e-08,5.810743053391576e-08
1888,4.755461202599065e-08,6.657645612584417e-08
1889,5.889228527067303e-08,6.954301728923085e-08
1890,2.9494738484903138e-08,7.603087992524848e-08
1891,4.653180718516836e-08,6.82041532140687e-08
1892,2.820830502514582e-08,3.259626502050139e-08
1893,5.4194064402768305e-08,9.11445647844289e-08
1894,4.2850465620247746e-08,7.750893304958595e-08
1895,6.43991759918805e-08,6.319545065025522e-08
1896,4.0099797649073565e-08,5.130415153820067e-08
1897,4.3700353113962365e-08,4.1369664693924335e-08
1898,4.413516951906615e-08,4.639850859078365e-08
1899,4.5878900678530954e-08,6.301439370304251e-08
1900,4.412395127051383e-08,6.02162156804198e-08
1901,3.5767929285057676e-08,4.973977596467449e-08
1902,2.995273185035785e-08,4.271946885125999e-08
1903,4.6981915247101824e-08,5.9402421426213436e-08
