year,mes_DET effets_NOUN,mes_DET méfaits_NOUN
1800,9.904118045689358e-07,6.288328968651058e-09
1801,3.905139465132379e-07,9.524730337773235e-09
1802,4.296653060009703e-07,0.0
1803,2.242890082548854e-07,0.0
1804,4.7212353271319785e-07,2.4718509461507665e-09
1805,2.757591308633067e-07,0.0
1806,3.4003696214313095e-07,0.0
1807,2.6761377558415234e-07,0.0
1808,2.877914084820077e-07,0.0
1809,4.0436646386865505e-07,0.0
1810,3.9548142671819164e-07,0.0
1811,2.3817229077849333e-07,0.0
1812,3.6274030890126596e-07,0.0
1813,1.5241430162404868e-07,0.0
1814,5.412284735939465e-07,0.0
1815,2.5623623400861106e-07,0.0
1816,3.0592371658144657e-07,0.0
1817,3.7209275394189945e-07,9.341240669868967e-09
1818,3.326008384263446e-07,4.768470951432846e-09
1819,2.277230941594155e-07,5.175524897538253e-09
1820,3.0140861717598e-07,0.0
1821,5.660494153403306e-07,1.3806083387635226e-08
1822,5.413832724343592e-07,1.0025615893027862e-09
1823,6.107500780672126e-07,0.0
1824,3.671605171007286e-07,8.421112696055388e-09
1825,3.786340583289416e-07,5.283265824829186e-09
1826,3.664121432933598e-07,4.403992281964975e-09
1827,3.3827391732188516e-07,2.7651818612639545e-09
1828,4.86131990218297e-07,4.586150570418113e-09
1829,4.766685993695674e-07,1.714635211591542e-09
1830,6.220354418218221e-07,3.1310507520032616e-09
1831,3.383291788949805e-07,4.677361609140007e-09
1832,2.787173711826796e-07,9.470978667991403e-09
1833,5.455889136030123e-07,2.3167257001688313e-09
1834,3.6404669323530925e-07,1.8669062740173104e-08
1835,3.6680975767922064e-07,5.294161553592858e-09
1836,3.6829711369534834e-07,1.0753200108126748e-08
1837,2.2821882383894376e-07,2.7831563720326358e-09
1838,2.6258594720829365e-07,6.312161904276081e-09
1839,2.2372720609453722e-07,7.690622361167243e-09
1840,2.3950029959252106e-07,7.0066574764382494e-09
1841,3.505619465826726e-07,3.852329122366882e-09
1842,2.435100183717509e-07,2.0124795163667386e-09
1843,3.0243385507056075e-07,2.3627644285539873e-09
1844,1.9978362519879056e-07,4.390849073221403e-09
1845,2.6450280010692495e-07,6.696273757711424e-09
1846,2.640380092344685e-07,5.269050973311096e-09
1847,2.0008859369369247e-07,5.9325460100012606e-09
1848,1.496411203838477e-07,3.218088684420195e-09
1849,1.675882923546368e-07,3.3517659758786067e-09
1850,2.165689698685469e-07,6.788996032014438e-10
1851,2.870000201937728e-07,3.2247193804124663e-09
1852,1.790400006029813e-07,2.6042181744401205e-09
1853,2.2096147356265305e-07,4.180352064508952e-09
1854,2.0886571006073495e-07,3.63696517347023e-09
1855,2.3191314824089204e-07,6.8990182455763716e-09
1856,1.1441588121385848e-07,2.0708756931497874e-09
1857,2.1332195121459563e-07,3.4170564155999728e-09
1858,4.2085613571885006e-07,5.3830437884982985e-09
1859,2.754865835452591e-07,1.2221216039165483e-08
1860,2.6868069724628185e-07,1.8308735638683515e-09
1861,2.598495876249274e-07,1.8863854922557266e-09
1862,2.561698200231888e-07,1.0391368654438793e-08
1863,2.752035936914865e-07,1.2486552236623538e-08
1864,2.4644901652770557e-07,2.3973640850272204e-09
1865,2.0051157445521994e-07,8.47231973466478e-09
1866,1.985170028362404e-07,8.271541673821048e-09
1867,1.9847999155331308e-07,8.249779526181555e-09
1868,2.361259794358972e-07,8.397785578040384e-09
1869,2.5784981350085445e-07,3.906815315701806e-09
1870,2.2993534987136854e-07,7.454262984651905e-09
1871,2.6234307881622954e-07,1.3807530230280918e-08
1872,2.346367660166493e-07,1.1489944995446422e-08
1873,1.7179832445535226e-07,1.7958012854535355e-09
1874,1.7266620577771619e-07,6.572069999322139e-09
1875,2.2485601469668381e-07,8.010138330405425e-09
1876,1.5538258235636704e-07,3.627608879952504e-09
1877,2.603807658374535e-07,4.9478527941460015e-09
1878,1.2802867721539712e-07,5.435179861734696e-09
1879,1.906109443616799e-07,1.1607718342077078e-08
1880,2.464452946160378e-07,8.343199908722454e-09
1881,1.624594281324221e-07,1.1853263259808955e-08
1882,1.6971231753259985e-07,2.6621540527571597e-09
1883,1.643028149089787e-07,6.951272890631799e-09
1884,1.7428480614256614e-07,1.4523733327109767e-08
1885,1.540506997521618e-07,3.2228177904158883e-09
1886,1.4391224567589234e-07,8.38950331427668e-09
1887,2.2198343518908814e-07,7.1818169189441505e-09
1888,1.4900443812138064e-07,1.1413106904001324e-08
1889,2.0299043401728056e-07,1.0650732740202784e-08
1890,1.7500211368925989e-07,1.9007721618891082e-08
1891,1.7720332112780568e-07,1.5935549768641977e-08
1892,1.8429426140720295e-07,6.268512375839919e-09
1893,1.1824159473761142e-07,1.970693297437265e-08
1894,1.9849849142161702e-07,1.2603078580752936e-09
1895,2.1546639938918588e-07,8.426059849853118e-09
1896,1.7160354870426886e-07,8.255840455717589e-09
1897,1.2760502920983186e-07,9.322741689743452e-09
1898,1.465513880249958e-07,9.05336783318944e-09
1899,2.393441373982341e-07,1.4371703827009696e-08
1900,1.479450086883105e-07,7.26747462209687e-09
