year,six_DET êtres_NOUN,six_DET mètres_NOUN
1800,0.0,3.7729972746092244e-07
1801,0.0,2.0954406210194065e-07
1802,0.0,2.6854081625060644e-07
1803,3.900678446910888e-09,3.998195530208193e-07
1804,0.0,7.736893534726619e-07
1805,1.9900143755080535e-08,4.008457494819595e-07
1806,0.0,9.394241260451963e-07
1807,0.0,3.814919864453259e-07
1808,0.0,3.7390219631561195e-07
1809,0.0,9.081302891900123e-07
1810,4.680253518074551e-09,4.376037168185576e-07
1811,0.0,7.89729199368594e-07
1812,0.0,4.987679176338133e-07
1813,0.0,5.722725973100751e-07
1814,3.1466771410748606e-09,5.506685170075798e-07
1815,0.0,2.8860290846033365e-07
1816,4.6352077731626196e-09,4.1485108681627025e-07
1817,0.0,5.355644248083991e-07
1818,0.0,4.613495718785998e-07
1819,0.0,4.1404200601391494e-07
1820,3.5599443393152796e-09,2.77675667348376e-07
1821,6.903041693817613e-09,5.857723976987472e-07
1822,0.0,2.987633536122303e-07
1823,9.882686891060644e-10,3.755421005280368e-07
1824,4.210556348027694e-09,4.5137162807407094e-07
1825,3.522177216552791e-09,2.6240220440953976e-07
1826,2.642395191543301e-09,4.236640345212095e-07
1827,9.217273055917019e-10,4.2399454969199724e-07
1828,9.172301251858528e-10,2.604933513339347e-07
1829,0.0,4.080831672581553e-07
1830,0.0,2.8075087943335575e-07
1831,1.5591206103948707e-09,4.084895977030101e-07
1832,0.0,4.491949709972687e-07
1833,0.0,4.3786115000443715e-07
1834,3.733812370398937e-09,5.152660946805554e-07
1835,1.5126175867408165e-09,4.280707912585058e-07
1836,3.36037508930076e-09,4.744849575466503e-07
1837,1.461157062010443e-08,5.468902521954533e-07
1838,2.5248647617104325e-09,3.4338159893287923e-07
1839,2.7965900706306e-09,3.2440445352222014e-07
1840,3.1848443882154243e-09,3.1084079948895393e-07
1841,0.0,4.584271664498374e-07
1842,8.049918065466954e-09,3.843835942873852e-07
1843,3.5441467538532834e-09,5.050409206397433e-07
1844,5.488561161115513e-09,4.36889464383583e-07
1845,3.3481367678334095e-09,4.514404294830854e-07
1846,0.0,4.1040055265284536e-07
1847,0.0,4.0880635410189825e-07
1848,9.65426583121598e-09,3.8053899537038305e-07
1849,8.379414939696517e-10,3.7958748877464643e-07
1850,0.0,4.3110124536838157e-07
1851,3.8696632564949596e-09,4.21793285187988e-07
1852,5.859490670445666e-09,4.7266558866887465e-07
1853,1.1943863675867306e-09,5.918184342590393e-07
1854,3.117398783558656e-09,3.221312067092086e-07
1855,2.1227748447927297e-09,3.231924701196931e-07
1856,4.659470143053568e-09,3.4583624797246415e-07
1857,4.881509085841174e-10,3.7782880935033347e-07
1858,1.2234189661342043e-08,4.482607314226783e-07
1859,5.092173349652285e-10,4.4658361142424496e-07
1860,4.57718396518203e-09,4.668727665579908e-07
1861,1.4147891747029462e-09,5.39034661795057e-07
1862,0.0,6.673065727769156e-07
1863,9.989241656072068e-10,5.334255144262556e-07
1864,9.589455896019672e-10,6.928381708348752e-07
