year,ses_DET êtres_NOUN,ses_DET maîtres_NOUN
1800,6.288328968651058e-09,2.9177845348726805e-06
1801,9.524730337773235e-09,2.4264250058081416e-06
1802,5.370816325012129e-08,2.4235807529748854e-06
1803,4.4857802805609026e-08,3.3097256384451157e-06
1804,9.887403784603066e-09,3.2875616930994056e-06
1805,1.421438877713399e-08,3.7497557938692694e-06
1806,4.3225035994964855e-08,3.354262755550508e-06
1807,2.8469551160981155e-09,2.5565656596171493e-06
1808,1.8128591960930862e-08,3.6143879569294768e-06
1809,2.259030518203531e-09,2.6024032262483843e-06
1810,2.574139479349924e-08,3.1006680565326405e-06
1811,8.022645436867037e-08,3.923575079056718e-06
1812,2.6672083208723052e-08,3.272664609532683e-06
1813,4.888760685162197e-08,3.235209263152683e-06
1814,3.1466771410748606e-09,3.2316374003471537e-06
1815,5.394447111228828e-09,2.767351482191316e-06
1816,8.806894413737609e-08,3.840269584998168e-06
1817,5.7604317760251433e-08,3.571467566132469e-06
1818,2.384235386898581e-08,3.5787373544593493e-06
1819,1.2421260464634543e-08,4.065892252214098e-06
1820,0.0,3.694035685342101e-06
1821,1.2819934336327776e-08,4.0175705233735926e-06
1822,2.4061478143266868e-08,3.925028693174681e-06
1823,3.9530747564242574e-09,3.660547289285887e-06
1824,5.052667617633233e-09,3.282549838168336e-06
1825,2.641632912414593e-09,3.7035693232212452e-06
1826,2.6423953247700638e-08,3.134761556111698e-06
1827,1.6591091167583727e-08,3.351400424733697e-06
1828,2.659967357487858e-08,3.5854525322065456e-06
1829,3.5150023336427694e-08,3.491854685844231e-06
1830,2.087367234615556e-08,3.1738418713178618e-06
1831,3.585977381703742e-08,3.0044253218619588e-06
1832,3.2471927369215337e-08,3.0131240773556556e-06
1833,1.7375443306377747e-08,3.1217879090661427e-06
1834,9.334531148041947e-09,3.020654230079245e-06
1835,2.4201881387853064e-08,3.5395250677083823e-06
1836,1.5457725766054864e-08,2.9914057622093537e-06
1837,1.3219993100221927e-08,2.5772027968384847e-06
1838,1.2624323808552163e-08,2.9092755320370145e-06
1839,9.088917396482543e-09,2.9531990457520862e-06
1840,3.821813199245128e-09,2.9491657782543257e-06
1841,8.346713542550788e-09,3.000964492017033e-06
1842,6.708265054555795e-09,3.7619950354894627e-06
1843,1.2404513027863828e-08,3.2724286946894665e-06
1844,1.2623690648361219e-08,3.3332032693955682e-06
1845,1.562463802784464e-08,2.8085286771784013e-06
1846,4.0981509297211005e-09,2.8253822401680395e-06
1847,1.4022381478184798e-08,3.2294622878126233e-06
1848,3.057184372323718e-08,2.7924965400050183e-06
1849,6.703531951757213e-09,2.5917529340446777e-06
1850,1.629359136501307e-08,2.9192683177470258e-06
1851,1.483370937194195e-08,2.7403665825431744e-06
1852,1.3021090872200602e-08,3.2702468972800602e-06
1853,7.166318205520383e-09,3.1042102808243044e-06
1854,4.1565315633818045e-09,3.2452119309578364e-06
1855,1.539011762474729e-08,3.608186556647297e-06
1856,2.1226476576430287e-08,3.1073490167621287e-06
1857,8.298565390418844e-09,3.362871605405715e-06
1858,3.229826006645453e-08,3.2244432270900347e-06
1859,6.619825576592575e-09,3.6836780876736697e-06
1860,1.6020144405493042e-08,3.2969454766273998e-06
1861,4.2443675241088386e-09,3.246940933010478e-06
1862,1.2650361647104091e-08,3.1648493039604375e-06
1863,2.996772607843923e-08,3.446288383779361e-06
1864,3.452203989340319e-08,3.2206187547956233e-06
1865,2.118079933666195e-08,3.3380940509530888e-06
1866,2.0922136301226857e-08,3.2555816922297254e-06
1867,1.4073153309368536e-08,3.1310340720125396e-06
1868,2.5687344473723783e-08,2.985659783405481e-06
1869,2.1487483792270723e-08,3.178682542959166e-06
1870,3.096386436141074e-08,3.009802294506869e-06
1871,7.434824311758348e-09,2.4141936307842116e-06
1872,1.9351485747165498e-08,2.8247122649815992e-06
1873,1.0176207432266438e-08,2.6122924081661836e-06
1874,7.169530746864439e-09,2.8875286393059696e-06
1875,1.2587359377036478e-08,2.7228748251673096e-06
1876,2.1161051577678336e-08,2.881530699383461e-06
1877,9.89570592135891e-09,2.711423267687252e-06
1878,2.959153455606156e-08,2.912048460146366e-06
1879,2.932476128592043e-08,2.8622189667260045e-06
1880,1.7328185109022343e-08,2.8809711567490126e-06
1881,1.1853263259808955e-08,2.5484515928653195e-06
1882,9.317538740560849e-09,2.9856058461064094e-06
1883,7.58320695126713e-09,2.65728210990801e-06
1884,1.1883054540362536e-08,3.1292043658481816e-06
1885,1.9981470755769948e-08,2.7690451087636347e-06
1886,1.7424352183326164e-08,2.982145634433664e-06
1887,5.876032105334161e-09,2.723867416065673e-06
1888,2.3460273723685532e-08,2.786700239454376e-06
1889,1.5036328404605115e-08,2.826203147066053e-06
1890,5.898947996740844e-09,2.7829924551525664e-06
1891,2.995883363610119e-08,2.525465998104437e-06
1892,2.6327752422616868e-08,2.8559342393208453e-06
1893,1.539604177480669e-08,2.6616677448743076e-06
1894,1.6384001710889606e-08,2.6674415423144637e-06
1895,1.745398137131815e-08,2.900972194908036e-06
1896,1.9460195621601173e-08,2.62653671256885e-06
1897,9.905413378419325e-09,2.497329466777387e-06
1898,2.4330926606808134e-08,2.593789922400447e-06
1899,3.592926134388108e-08,2.9312747820142704e-06
1900,1.868779131442011e-08,2.8197799686324743e-06
1901,1.8442838423116115e-08,2.690419016460055e-06
1902,2.062319276463498e-08,2.2543112550010846e-06
1903,1.2420506401156217e-08,2.60506620719525e-06
1904,3.439760121182189e-08,2.6701137834095334e-06
1905,2.0126959654476195e-08,2.6319870300994808e-06
1906,2.160557543984254e-08,2.563347186068654e-06
1907,1.5942813902380948e-08,2.7241640943032053e-06
1908,3.2415166772992166e-08,2.782793124822547e-06
1909,2.3654228797909127e-08,2.8885664420386092e-06
1910,2.93928290595602e-08,2.9318011378620668e-06
1911,1.702519725199636e-08,2.7054101501278183e-06
1912,2.0837685354990754e-08,2.773495772601109e-06
1913,2.651494823702194e-08,3.0444465046741698e-06
1914,1.0714789944188396e-08,2.927146752540466e-06
1915,3.652036184575991e-08,2.7649449272360016e-06
1916,2.0876177231343718e-08,3.0589095381117204e-06
1917,9.869782324756216e-09,2.9390017779462596e-06
1918,9.189101035644853e-09,2.8210539468886964e-06
1919,2.1178050924053338e-08,3.2476081450738548e-06
1920,3.256059510903242e-08,2.9834593071598192e-06
1921,1.9689142760626055e-08,3.0730209363838412e-06
1922,2.2133805899215986e-08,2.9755213759585786e-06
1923,1.6985516992917837e-08,3.479907910275415e-06
1924,1.4180787100137593e-08,3.060471733817849e-06
1925,1.7597084678300234e-08,3.026698635721914e-06
1926,2.5636118672345276e-08,2.9960820082663986e-06
1927,3.1217830098739796e-08,2.9913371371037556e-06
1928,3.999114450703445e-08,3.0918866897877706e-06
1929,2.5622935329039365e-08,2.804040317272438e-06
1930,3.676261295382233e-08,2.8044622126799368e-06
