year,cents_ADJ eaux_NOUN,cents_ADJ mots_NOUN
1800,0.0,1.1633408547595536e-07
1801,0.0,5.000483582762172e-08
1802,0.0,6.265952379180817e-08
1803,0.0,2.7304748684287006e-08
1804,0.0,2.2246657849223084e-08
1805,0.0,9.950071699904584e-08
1806,0.0,3.1698359492793315e-08
1807,0.0,1.9928686256776018e-08
1808,0.0,2.4926814390369145e-08
1809,2.259030518203531e-09,4.518061036407062e-09
1810,0.0,5.616304221689461e-08
1811,0.0,4.011322829455821e-08
1812,0.0,9.068507722531649e-08
1813,0.0,4.026038169513413e-08
1814,0.0,3.4613449884091096e-08
1815,0.0,8.631115377966125e-08
1816,0.0,3.7081662185300956e-08
1817,0.0,9.341240669868967e-09
1818,0.0,5.841376804482934e-08
1819,0.0,6.83169290027763e-08
1820,2.3732962262101864e-09,3.441279616822612e-08
1821,1.97229765852569e-09,5.5224333550540905e-08
1822,0.0,3.107940926838637e-08
1823,0.0,8.004976592701496e-08
1824,0.0,4.21055617039201e-08
1825,0.0,9.509878395874694e-08
1826,0.0,5.813269510213104e-08
1827,0.0,3.7790819362726324e-08
1828,0.0,7.154395120778645e-08
1829,0.0,1.3288422451296356e-07
1830,0.0,5.740259823028282e-08
1831,0.0,4.677361609140007e-09
1832,0.0,9.741577855493233e-08
1833,0.0,4.40177885252524e-08
1834,6.534171426153534e-09,3.827157613045529e-08
1835,0.0,3.781543966852041e-08
1836,0.0,8.132107609526429e-08
1837,0.0,1.6698937344017395e-08
1838,0.0,2.4617431648721322e-08
1839,0.0,4.47454411300896e-08
1840,0.0,2.293087852933695e-08
1841,2.5682194149112547e-09,5.072233477676491e-08
1842,0.0,3.085801836277824e-08
1843,0.0,5.1390127708828004e-08
1844,0.0,5.54344694592146e-08
1845,0.0,5.0780073479472776e-08
1846,0.0,6.732676638421253e-08
1847,0.0,2.588747349818732e-08
1848,0.0,3.781254065415851e-08
1849,0.0,2.8490010350878947e-08
1850,0.0,2.2403686017469226e-08
1851,0.0,2.4507867735223954e-08
1852,0.0,2.539112742283578e-08
1853,0.0,3.702597695109944e-08
1854,0.0,3.4291385730966795e-08
1855,0.0,3.980202833986368e-08
1856,0.0,4.34883880018333e-08
1857,2.9289055625270066e-09,2.880090299584026e-08
1858,1.9574704079872163e-09,3.3766365703513657e-08
1859,0.0,3.666364989385329e-08
1860,0.0,2.5632230560290736e-08
1861,0.0,5.046081241744105e-08
1862,0.0,5.69266269678792e-08
1863,9.989241656072068e-10,3.596127129412707e-08
1864,0.0,4.027571520737183e-08
1865,4.706844358715045e-10,2.9653119071326728e-08
1866,0.0,4.5736761933312664e-08
1867,4.85281148598915e-10,7.667442503134225e-08
1868,0.0,6.718228462432307e-08
1869,0.0,3.7603097524652185e-08
