year,plus_ADV hérité_VERB,plus_ADV mérité_VERB
1800,9.432493897065797e-09,1.2576657937302116e-08
1801,0.0,2.6193008650921e-08
1802,1.3427040812530322e-08,2.4616241489638924e-08
1803,1.950339223455444e-09,3.315576790896557e-08
1804,1.730295728918918e-08,9.887403784603066e-09
1805,0.0,2.55858996212055e-08
1806,0.0,0.0
1807,1.1387820464392462e-08,0.0
1808,9.064295980465431e-09,6.798221985349073e-09
1809,1.8072244145628247e-08,6.7770917766551975e-09
1810,4.680253518074551e-09,4.212228077449254e-08
1811,0.0,3.760615285841595e-08
1812,0.0,4.000812481308458e-08
1813,8.627225156487839e-09,1.1502966579257645e-08
1814,1.8880061958270744e-08,3.1466771410748606e-09
1815,2.6972236000233352e-08,8.091670444798638e-09
1816,2.3176038865813098e-09,1.3905623319487859e-08
1817,3.113746815941454e-09,2.6466848268569265e-08
1818,1.1921177378582115e-09,4.2916237674717195e-08
1819,1.0351049795076506e-08,1.5526575580793178e-08
1820,8.306536791735653e-09,2.3732962262101864e-08
1821,6.903041693817613e-09,3.747365440176509e-08
1822,2.0051231786055723e-09,1.604098542884458e-08
1823,5.929612356680991e-09,8.894418535021487e-09
1824,8.421112696055388e-10,5.894778887238772e-09
1825,8.805443041381977e-10,6.516027895031584e-08
1826,0.0,4.227832306469281e-08
1827,2.7651818612639545e-09,2.6730091917670507e-08
1828,3.668920500743411e-09,6.420610709767516e-09
1829,8.573175946935407e-09,1.2002446148073886e-08
1830,9.39315203396518e-09,6.262101504006523e-09
1831,3.1182412207897414e-09,1.4032085715598441e-08
1832,4.058990921151917e-09,6.764984572527055e-09
1833,2.3167257001688313e-09,1.6217079235048004e-08
1834,1.120143711119681e-08,1.8669062740173104e-08
1835,3.781543966852041e-09,2.4201881387853064e-08
1836,2.016224964762614e-09,1.747394939854985e-08
1837,4.174734336004349e-09,1.1828414692161004e-08
1838,0.0,9.468243078458727e-09
1839,6.9914751765765e-10,2.1673573158409454e-08
1840,1.9109065441114126e-09,2.93005673057678e-08
1841,6.420548537278137e-10,7.704658244733764e-09
1842,9.391571076378114e-09,9.391571076378114e-09
1843,2.3627644285539873e-09,7.678984559333912e-09
1844,0.0,1.0428266250528395e-08
1845,7.812318791877715e-09,1.3950569588416784e-08
1846,5.854501328173001e-09,1.8148954339380907e-08
1847,5.9325460100012606e-09,1.0247124926365814e-08
1848,3.218088684420195e-09,5.63165514222419e-09
1849,0.0,4.1897072478036534e-09
1850,8.146795238417326e-09,6.1100964288129944e-09
1851,5.159551008659946e-09,1.2898877521649865e-08
1852,0.0,1.4323200403509873e-08
1853,2.388772735173461e-09,1.6124216628554677e-08
1854,2.5978321716024766e-09,1.1430461910322265e-08
1855,1.0613874223963649e-09,1.326734277995456e-08
1856,4.659470143053568e-09,9.318940286107136e-09
1857,2.9289055625270066e-09,1.3180074809326925e-08
1858,9.787352039936081e-10,3.4255731584664773e-09
1859,6.110608019582742e-09,8.147477359443656e-09
1860,4.577183909670879e-10,8.238931314963338e-09
1861,9.431927461278633e-10,1.0375120318428799e-08
1862,8.584174260306554e-09,1.0391368654438793e-08
1863,1.4983863039219614e-09,1.3485475847119233e-08
1864,2.8768367688059016e-09,2.3973640850272204e-09
1865,2.8241067262513297e-09,4.23615986733239e-09
