year,beaux_ADJ arbres_NOUN,beaux_ADJ marbres_NOUN
1800,9.27528503780195e-07,1.540640539587912e-07
1801,1.2667891269302345e-06,2.1430643926123594e-07
1802,9.667469385021832e-07,3.9162202369880106e-07
1803,1.1741042271751212e-06,6.533636565109191e-07
1804,9.986277973439428e-07,2.8920655381625693e-07
1805,1.0490218755876413e-06,1.7341554325867037e-07
1806,7.146539360292081e-07,5.187004603612877e-07
1807,1.2925175951750134e-06,1.9359295322374237e-07
1808,1.1602298854995752e-06,5.211970233176544e-07
1809,1.402857947141456e-06,5.715347128898429e-07
1810,7.605411838085274e-07,1.0530570193623134e-07
1811,1.0830572136910632e-06,2.131015293116434e-07
1812,9.841998007686925e-07,1.6269970615212515e-07
1813,8.282136150228325e-07,4.3711273178814736e-07
1814,4.216547324631392e-07,4.971749945070769e-07
1815,3.37152954443809e-07,1.9959453823048534e-07
1816,7.624916520398983e-07,4.4266235477152804e-07
1817,1.113164444177528e-06,1.899385608794546e-07
1818,7.009652449596615e-07,3.9220674352691276e-07
1819,6.076066370042099e-07,2.5877625375869684e-07
1820,8.1522728123673e-07,1.886770490955314e-07
1821,6.883319088046846e-07,2.4555106392654125e-07
1822,6.175779390105163e-07,2.4863527414709097e-07
1823,6.077852390262706e-07,3.2019906370805984e-07
1824,6.560046585946111e-07,2.1979104758429457e-07
1825,7.317323138522625e-07,1.576174355477633e-07
1826,1.0596005495244754e-06,1.8849085847705283e-07
1827,6.44287410977995e-07,1.4102427314810484e-07
1828,7.48459797250689e-07,2.641622813825961e-07
1829,7.75872422309476e-07,2.649111365826684e-07
1830,9.006989216686634e-07,2.2126091892005206e-07
1831,1.0508473451409373e-06,1.0602020239502963e-07
1832,8.537410849385196e-07,2.3136247762067796e-07
1833,1.3483343082043575e-06,2.2008893552083464e-07
1834,1.063203058038198e-06,2.8283628239478276e-07
1835,9.612684834792162e-07,2.1706063080273452e-07
1836,7.5877267136093e-07,1.7003497987388982e-07
1837,8.286847901217698e-07,1.899504269431418e-07
1838,8.376238724849827e-07,2.202944529017259e-07
1839,9.396542850481637e-07,2.467990611876303e-07
