year,tes_DET effets_NOUN,tes_DET méfaits_NOUN
1800,9.118077182179718e-08,0.0
1801,3.809892001882531e-08,0.0
1802,4.0281122437590966e-08,0.0
1803,2.5354409682876167e-08,0.0
1804,1.7302956178966156e-08,0.0
1805,6.254330742194725e-08,0.0
1806,9.22134111291939e-08,0.0
1807,2.562259560079383e-08,0.0
1808,3.17250354875398e-08,2.2660739951163578e-09
1809,2.484933525614963e-08,0.0
1810,2.8081521108447305e-08,0.0
1811,4.763445815569867e-08,0.0
1812,4.000812481308458e-08,0.0
1813,4.601186631703058e-08,0.0
1814,4.405347864278042e-08,3.1466771410748606e-09
1815,4.0458352890127e-08,0.0
1816,4.4034472068688046e-08,0.0
1817,2.1796228488746294e-08,0.0
1818,3.2187179588305526e-08,0.0
1819,5.279035630856299e-08,0.0
1820,3.4412794391869284e-08,1.1866481131050932e-09
1821,5.818278125957477e-08,5.9168927535324656e-09
1822,1.1028177482330648e-07,2.0051231786055723e-09
1823,6.226093063332883e-08,9.882686669016039e-09
1824,4.968456401854837e-08,1.6842225392110777e-09
1825,4.490775884491427e-08,0.0
1826,2.201995996653494e-08,8.807984341885344e-10
1827,2.673009252829317e-08,0.0
1828,3.118582486694166e-08,2.7516904310687096e-09
1829,4.629515065746048e-08,1.5431716349212365e-08
1830,1.878630406793036e-08,0.0
1831,3.1182412651986624e-08,1.7150327380477393e-08
1832,4.058990654698391e-08,4.058990921151917e-09
1833,5.444305328783372e-08,6.950177322551099e-09
1834,3.2670858240990697e-08,1.3068342852307069e-08
1835,3.403389570166837e-08,1.5126175867408165e-08
1836,2.3522624514882295e-08,2.016224964762614e-09
1837,2.2961039292113128e-08,1.2524203896191466e-08
1838,1.9567702347345062e-08,1.3886756633496589e-08
1839,3.146163773948274e-08,6.9914749545318955e-09
1840,2.1656942184034023e-08,1.2102408852854296e-08
1841,3.788123503767338e-08,6.420548537278137e-10
1842,3.152884442414461e-08,1.0733224087289273e-08
1843,3.18973185642335e-08,3.5441467538532834e-09
1844,2.030767648486531e-08,7.1351298203126134e-09
1845,2.511102614732863e-08,5.580227835366713e-09
1846,2.3418005312692003e-08,2.9272506640865004e-09
1847,3.775256463001142e-08,7.550513103637968e-09
1848,1.3676877297363887e-08,5.63165514222419e-09
1849,2.0948537127196687e-08,1.6758829879393033e-09
1850,2.5798185809833285e-08,7.467895635215882e-09
1851,2.9022475311890616e-08,2.579775504329973e-09
1852,3.3854835823632357e-08,2.6042181744401205e-09
1853,2.5679306236980892e-08,4.777545248302317e-09
1854,2.7017454606870217e-08,8.832629738719788e-09
1855,1.963566731433275e-08,9.021793090369101e-09
1856,3.934663739268984e-08,9.318940286107136e-09
1857,2.636014878598658e-08,1.0251168802710708e-08
1858,2.2021542589456544e-08,7.34051397444091e-09
1859,2.8006952978998356e-08,1.476730293603623e-08
1860,2.1512764902809067e-08,1.5104706818647173e-08
1861,3.678451721000897e-08,6.13075279431996e-09
1862,2.9366910903050325e-08,1.7620147119146168e-08
1863,2.047794495085853e-08,1.1987090098308784e-08
1864,2.5412058901608248e-08,1.3425238143405238e-08
1865,3.3418593725631496e-08,1.2708479601997169e-08
1866,3.1139921974343565e-08,1.216403244796993e-08
1867,2.6690463172940326e-08,1.358787216076962e-08
1868,2.2723421366777075e-08,6.915823469455518e-09
1869,2.392924380867356e-08,1.70923168951731e-08
1870,2.121598097204469e-08,0.0
1871,1.1683295220166201e-08,4.248470908407853e-09
1872,1.8746751373477366e-08,1.1489944995446422e-08
1873,1.7958013909247228e-08,4.190203295451056e-09
1874,1.732636717433067e-08,1.3144139998644278e-08
1875,1.8881038954532414e-08,1.2587359599081083e-08
1876,1.813804395567331e-08,1.813804395567331e-08
1877,1.9172929910382663e-08,4.329371083855449e-09
1878,1.751335776400964e-08,2.5364171873931696e-08
1879,2.3215435684953434e-08,6.720257683667796e-09
1880,2.0537107792151232e-08,8.343200352811664e-09
1881,2.161477374862386e-08,1.045876096839038e-08
1882,9.317538740560849e-09,1.3976308999019693e-08
1883,1.2006744043446815e-08,5.687405213450347e-09
1884,1.4523733327109767e-08,9.242375753615306e-09
1885,1.933690718658454e-08,9.023890135129164e-09
1886,1.4842966744588182e-08,3.2267319927115068e-09
1887,1.3710741486594458e-08,1.9586774424595887e-09
1888,6.340614699951175e-09,1.9021844099853524e-09
1889,1.3783300445435742e-08,8.144677710042458e-09
1890,5.898947996740844e-09,1.0487018364813139e-08
1891,1.5935549213530464e-08,3.824531802365527e-09
1892,1.1283322498556458e-08,6.268512375839919e-09
1893,1.6627724974682678e-08,3.079208221734575e-09
1894,5.671385139294216e-09,1.2603078580752936e-09
1895,1.3240951446391591e-08,1.2037228991346183e-09
