year,mêmes_ADJ ondes_NOUN,mêmes_ADJ mondes_NOUN
1800,1.2576657937302116e-08,0.0
1801,1.904946067554647e-08,0.0
1802,0.0,0.0
1803,7.801356893821776e-09,7.801356893821776e-09
1804,0.0,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,8.00162425207418e-09,1.3336041604361526e-08
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,0.0,1.556873407970727e-09
1818,1.1921177378582115e-09,0.0
1819,0.0,0.0
1820,1.1866481131050932e-09,1.1866481131050932e-09
1821,0.0,0.0
1822,0.0,0.0
1823,1.9765373782121287e-09,2.9648061783404955e-09
1824,0.0,0.0
1825,1.7610886082763955e-09,0.0
1826,3.5231937367541377e-09,0.0
1827,2.3043183361437514e-08,0.0
1828,9.172301251858528e-10,9.172301251858528e-10
1829,7.715858174606183e-09,2.571952872898464e-09
1830,3.1310507520032616e-09,1.0436835840010872e-09
1831,3.897801548191637e-08,4.677361609140007e-09
1832,0.0,0.0
1833,1.1583628500844156e-09,0.0
1834,0.0,9.334530925997342e-10
1835,6.050470346963266e-09,0.0
1836,6.72075017860152e-09,0.0
1837,6.262101948095733e-09,0.0
1838,6.312161904276081e-09,1.2624323808552163e-09
1839,6.9914749545318955e-09,3.4957374772659477e-09
1840,3.184844388215424e-08,1.2739377330817092e-09
1841,1.0914932957462042e-08,0.0
1842,1.609983613093391e-08,3.3541325272778977e-09
1843,6.497602011990011e-09,1.1813822142769936e-09
1844,5.488561161115513e-09,0.0
1845,1.4508592549589139e-08,0.0
1846,4.0981511517657054e-09,4.0981511517657054e-09
1847,1.9954928376364478e-08,2.6966118227278457e-09
1848,4.82713291560799e-09,3.218088684420195e-09
1849,1.4245005175439474e-08,0.0
1850,2.7155984128057753e-08,0.0
1851,1.2898877521649865e-08,3.8696632564949596e-09
1852,5.208436348880241e-09,1.9531636308300904e-09
1853,1.3735443005202796e-08,0.0
1854,1.4028294081924741e-08,1.0391328908454511e-09
1855,1.1675261646360013e-08,3.714855978387277e-09
1856,1.1907535402144731e-08,4.141751386299575e-09
1857,1.9526036343364694e-09,3.4170564155999728e-09
1858,7.34051397444091e-09,5.3830437884982985e-09
1859,1.1202780925145817e-08,1.018434669930457e-09
1860,9.612086238064421e-09,0.0
1861,6.13075279431996e-09,0.0
1862,4.9697850279528666e-09,9.035972525772706e-10
1863,4.994620717013731e-09,0.0
1864,4.315255264231155e-09,1.4384183844029508e-09
1865,5.6482134525026595e-09,9.41368871743009e-10
1866,2.3354942868536455e-08,8.75810357570117e-09
1867,1.1161466417775046e-08,0.0
1868,1.8277534152844055e-08,0.0
1869,2.0510780629479086e-08,2.9301114867763545e-09
1870,6.880858549607183e-09,0.0
1871,1.0621177271019633e-09,0.0
1872,2.4189357183956872e-09,0.0
1873,6.584604861359367e-09,5.986004469882289e-10
1874,6.572069999322139e-09,0.0
1875,5.149374260327022e-09,2.8607636259891933e-09
1876,4.836811839936672e-09,1.209202959984168e-09
1877,1.0514186854493346e-08,1.2369631985365004e-09
1878,4.22736201599605e-09,1.8117265465633636e-09
1879,1.4662380642960215e-08,0.0
1880,1.2835692508872398e-08,0.0
1881,1.1156012114099667e-08,3.4862537301449947e-09
1882,8.652000893505374e-09,6.655385131892899e-10
1883,3.159669414998234e-09,1.1374810426900694e-08
1884,3.9610181801208455e-09,0.0
1885,5.156508553483263e-09,6.445635691854079e-10
1886,8.38950331427668e-09,1.936039106809062e-09
1887,2.6115698492645834e-09,1.3057849246322917e-09
1888,6.340614699951175e-09,6.340614699951175e-10
1889,6.265136853755848e-09,1.2530273485467092e-09
1890,1.4419650362640368e-08,7.209825181320184e-09
1891,1.1473596295275001e-08,0.0
1892,1.191017329205124e-08,4.387958441043338e-09
1893,1.6627724974682678e-08,6.158416554491453e-10
1894,1.2603078580752936e-09,1.2603078580752936e-09
1895,1.0833506536300774e-08,1.8055843487019274e-09
1896,5.89702897624278e-10,5.89702897624278e-10
1897,2.330685422435863e-09,1.7480140668268973e-09
1898,6.7900258748920805e-09,5.6583546736987955e-09
1899,1.1055156790007459e-08,2.7637891975018647e-09
1900,7.26747462209687e-09,3.114631885736685e-09
1901,1.5089595351014395e-08,6.706486921359556e-09
1902,1.4730851205513318e-08,3.437198747846537e-09
1903,1.7280704867062013e-08,0.0
1904,6.987012746151322e-09,0.0
1905,5.676835002077496e-09,5.160759042333041e-10
1906,1.6461390472954918e-08,3.0865106026567446e-09
1907,1.2342823652033985e-08,1.5428529565042481e-09
1908,1.0313916831705683e-08,1.964555629285769e-09
1909,7.701377313651392e-09,5.500983557560346e-10
1910,1.8170112525695004e-08,5.344150677544235e-10
1911,2.553779587799454e-08,1.5961122423746588e-09
1912,1.82329742415277e-08,1.0418842455450772e-09
1913,1.9090762748419365e-08,1.060597942803554e-09
1914,8.036092680185902e-09,3.3483718020477227e-09
1915,9.424609537234119e-09,0.0
1916,1.2086208478478966e-08,1.0987462051303964e-09
1917,0.0,0.0
1918,4.594550517822427e-09,0.0
1919,2.2098836538475553e-08,0.0
1920,1.741613253614105e-08,7.572231730534895e-10
