year,plusieurs_DET auteurs_NOUN,plusieurs_DET moteurs_NOUN
1800,3.2573544785918784e-06,0.0
1801,3.2550765354244504e-06,2.3811825844433088e-09
1802,4.737507509844363e-06,6.713520406265161e-09
1803,3.5944751033412103e-06,0.0
1804,3.9648488012744565e-06,0.0
1805,3.906113882123918e-06,0.0
1806,5.1841228696503094e-06,0.0
1807,3.6412556454479272e-06,0.0
1808,4.724764167463036e-06,0.0
1809,4.045923610362934e-06,0.0
1810,4.212228244426797e-06,0.0
1811,4.096563394284658e-06,1.7549536934780008e-08
1812,5.363755875009701e-06,0.0
1813,4.871506305903495e-06,0.0
1814,3.4519048313086387e-06,0.0
1815,3.981102025818473e-06,0.0
1816,4.470657870569994e-06,0.0
1817,4.572537260827403e-06,3.113746815941454e-09
1818,3.436875507745185e-06,2.384235475716423e-09
1819,4.018277632411582e-06,1.1386155129855524e-08
1820,3.552824447972114e-06,9.493184904840746e-09
1821,3.4643409252410606e-06,0.0
1822,3.3465506277252643e-06,1.0025615893027862e-09
1823,3.0082899584726874e-06,2.9648061783404955e-09
1824,2.874125674345862e-06,4.210556348027694e-09
1825,2.8203833606355033e-06,2.201360693732113e-08
1826,3.4078091406541944e-06,0.0
1827,3.2472453881382535e-06,2.7651818612639545e-09
1828,3.379993141039428e-06,4.586150570418113e-09
1829,3.40269356124967e-06,0.0
1830,3.1133080105050226e-06,1.0436835840010872e-09
1831,3.2071111890630277e-06,4.677361609140007e-09
1832,3.1727778007084595e-06,0.0
1833,2.915599312647288e-06,5.791814139399776e-09
1834,3.0421235783784084e-06,5.600718555598405e-09
1835,2.895906426658712e-06,6.806779140333674e-09
1836,2.9134452159129687e-06,6.720750067579218e-10
1837,3.0308573799597838e-06,0.0
1838,2.9932271559118817e-06,6.312161904276081e-10
1839,3.500631578390312e-06,2.7965900706306e-09
1840,2.66444072849481e-06,0.0
1841,2.8545759813702887e-06,2.5682194149112547e-09
1842,2.7463636174118733e-06,1.341653010911159e-08
1843,3.0178409722303456e-06,7.088293507706567e-09
1844,2.8666755096384833e-06,6.037417232818143e-09
1845,2.7700251918894025e-06,1.674068439427856e-09
1846,3.130401827755591e-06,2.0490753982471688e-08
1847,2.509466908939828e-06,1.6179670936367074e-09
1848,2.561598626438233e-06,6.43617736884039e-09
1849,2.9244158987751234e-06,3.3517659758786067e-09
1850,2.7970663714071975e-06,4.073397619208663e-09
1851,3.0525193308594822e-06,1.7413483988093503e-08
1852,3.1237597588607002e-06,3.2552727180501506e-09
1853,3.1376530618132392e-06,1.6124216628554677e-08
1854,2.333892439310148e-06,1.454786069388092e-08
1855,2.6322408324119806e-06,8.491099379170919e-09
1856,2.0071963415801974e-06,9.836659486950339e-09
1857,2.2118118052638636e-06,6.8341128311999455e-09
1858,2.196771096585337e-06,4.893676130990343e-09
1859,2.4483169183131537e-06,3.055304009791371e-09
1860,2.35175712859359e-06,7.781213007262977e-09
1861,1.9632557167748033e-06,4.715963619617014e-09
1862,2.033997404504717e-06,1.1294965851504912e-08
1863,1.8545027233862754e-06,3.995696662428827e-09
1864,2.0027579124004546e-06,1.0068928579798353e-08
1865,1.8088403574978429e-06,8.943004559114343e-09
1866,2.4313467363867858e-06,4.865612801552288e-09
1867,2.1017526687927557e-06,1.6984840200962026e-08
1868,2.1671227834474394e-06,2.4699371437009177e-09
1869,2.1477716565243554e-06,7.813630409359007e-09
1870,2.1342129912227392e-06,1.0894693147633916e-08
1871,1.9351784839027886e-06,4.248470908407853e-09
1872,1.917611314183887e-06,1.1489944995446422e-08
1873,2.193272074513253e-06,1.6760813181804224e-08
1874,2.149066952839007e-06,4.779687312606029e-09
1875,1.697577137860229e-06,1.2015206607429718e-08
1876,2.0743876731899036e-06,9.069021977836655e-09
1877,2.118299486264519e-06,8.040260901509555e-09
1878,1.997126691355433e-06,1.3285995414946683e-08
1879,2.009967979499372e-06,2.016077260691418e-08
