year,mêmes_ADJ eaux_NOUN,mêmes_ADJ mots_NOUN
1800,4.936338200423052e-07,9.904117632686393e-07
1801,4.19088138414736e-07,7.667408112865814e-07
1802,5.616979024125612e-07,7.608656460433849e-07
1803,5.265915774543828e-07,9.225104804500006e-07
1804,3.4605912446750153e-07,8.330137575285335e-07
1805,2.2174445746259153e-07,5.543611791836156e-07
1806,3.169836020333605e-07,6.080321668378019e-07
1807,3.3024679169102455e-07,6.177892828418408e-07
1808,5.053345262240327e-07,1.1443673884059535e-06
1809,4.0436646031594137e-07,6.189743544382509e-07
1810,3.3931837606360205e-07,7.090583835633879e-07
1811,3.860898232233012e-07,7.370805974460382e-07
1812,3.8141078562148323e-07,9.175196282740217e-07
1813,2.933256553205865e-07,7.850774750295386e-07
1814,2.5488085952929396e-07,5.601085035777942e-07
1815,3.749140660147532e-07,6.82397569562454e-07
1816,2.5261883251914696e-07,6.813755248913367e-07
1817,2.95805961059159e-07,6.461024781856395e-07
1818,4.92344611302542e-07,6.544726147694746e-07
1819,2.6809220798895694e-07,5.96220502302458e-07
1820,2.3258303372131195e-07,6.49096534743876e-07
1821,2.337172730904058e-07,6.834011401224416e-07
1822,3.839811029138218e-07,7.348776307480875e-07
1823,2.154425686740069e-07,7.273657729456318e-07
1824,2.5094917077694845e-07,9.68427912084735e-07
1825,3.733507867309527e-07,6.692136480523914e-07
1826,2.853786895684607e-07,7.16969907443854e-07
1827,2.9956137836961716e-07,5.78844719711924e-07
1828,3.164443853620469e-07,7.447908387803182e-07
1829,3.052050772112125e-07,5.992649789732241e-07
1830,3.80944499056568e-07,6.73175918564084e-07
1831,2.0736304406909767e-07,7.062816393954563e-07
1832,2.4218644512075116e-07,5.682587129740568e-07
1833,3.741511989119317e-07,6.44049748643738e-07
1834,3.6591362118088e-07,5.81541257815843e-07
1835,3.509272801238694e-07,5.468112362905231e-07
1836,2.6412547526888375e-07,5.188418867874134e-07
1837,3.4302402696084755e-07,5.281038966131746e-07
1838,2.6132349262297794e-07,5.573638759415189e-07
1839,2.86650475800343e-07,5.87283921049675e-07
1840,2.4013726829252846e-07,5.032053991271823e-07
1841,2.349920720234877e-07,7.11396751285065e-07
1842,2.3009349092717457e-07,7.553506407020905e-07
1843,2.8707589194709726e-07,5.652913728226849e-07
1844,3.507190626805823e-07,5.225110157880408e-07
1845,2.3269549842552806e-07,4.0121838651430153e-07
1846,3.495137264053483e-07,4.771418389282189e-07
1847,2.335265776309825e-07,4.524914629655541e-07
1848,1.9630340375442756e-07,4.843223564421351e-07
1849,2.2037860958334932e-07,4.365675181361439e-07
1850,2.3693596062912547e-07,4.66404031840284e-07
1851,3.147326026464725e-07,5.101505848870147e-07
1852,2.4674966425664024e-07,4.987077772966586e-07
1853,2.974022095258988e-07,4.592415621118562e-07
1854,2.8680068453468266e-07,5.419078092927521e-07
1855,2.5950922122319753e-07,4.813392138203199e-07
1856,2.7542645852918213e-07,4.5869896325712034e-07
1857,2.65554092493403e-07,4.813168175132887e-07
1858,1.986832529610183e-07,5.466235961648636e-07
1859,3.258990943777462e-07,4.7102602707127517e-07
1860,2.755464834081067e-07,4.677881975112541e-07
1861,2.329686026314448e-07,5.192276262278028e-07
1862,2.1912232739396131e-07,5.263453886072966e-07
1863,2.402412633273343e-07,6.14837802004331e-07
1864,2.752173884346121e-07,5.211869051890972e-07
1865,2.47109340989482e-07,4.5515184865507763e-07
1866,2.5301187633886e-07,4.5834073603145953e-07
1867,2.203176450166211e-07,5.134274374540837e-07
1868,2.410658623830386e-07,4.539744224985043e-07
1869,2.3440891538939468e-07,5.542794383472938e-07
1870,2.2076088157518825e-07,5.235186790741864e-07
1871,2.79336973108002e-07,4.673318017012207e-07
1872,2.5761664801393636e-07,5.509126026481681e-07
1873,3.1306802839026204e-07,3.6215325849298097e-07
1874,2.0970878722437192e-07,5.299478402776003e-07
1875,1.8652178823685972e-07,5.538438472285634e-07
1876,1.971000784806165e-07,5.507919240699266e-07
1877,1.57094319774842e-07,5.040624841967656e-07
1878,2.2948536582134693e-07,4.595746361246711e-07
1879,1.7167204191537166e-07,4.765273615703336e-07
1880,1.7199828050706856e-07,4.935323545396386e-07
1881,1.9034945353268995e-07,4.804057880392065e-07
1882,1.8967847381645697e-07,4.825154178433877e-07
1883,2.2370460328602348e-07,5.049151923230966e-07
1884,1.8748819741176703e-07,5.406789682638191e-07
1885,2.0368209163734718e-07,5.0082587677025e-07
1886,1.800516429284471e-07,4.285099919343338e-07
1887,1.9195037737063103e-07,4.779172968483181e-07
1888,1.5914942252948094e-07,4.660351748952962e-07
1889,2.0862904648311087e-07,4.197641487735382e-07
1890,1.5992702628864208e-07,4.443874104254064e-07
1891,1.7975300181660714e-07,4.487450837586948e-07
1892,1.7050354017555946e-07,5.754494623033679e-07
1893,1.7366734539336903e-07,4.649604363748949e-07
1894,1.6825110549234523e-07,4.3354589251975995e-07
1895,1.6069701302967587e-07,4.7005380565678934e-07
1896,1.7042414413026563e-07,5.012474844079406e-07
1897,1.3401441378846357e-07,4.882786015514284e-07
1898,1.3523468567200325e-07,4.7247263523786387e-07
1899,1.5035013234410144e-07,5.024568849876232e-07
1900,1.2718079744900024e-07,4.874398769061372e-07
1901,1.5089595706285763e-07,5.16399495609221e-07
1902,1.2030194795897842e-07,4.625487406428874e-07
1903,1.4094574396494863e-07,4.4983835323364474e-07
1904,1.4941457493478083e-07,4.7081715592867113e-07
1905,1.2489036294027756e-07,4.90272100250877e-07
1906,1.388929860013377e-07,5.067021788818238e-07
1907,1.3114249952650425e-07,5.698270229004265e-07
1908,1.8024798009719234e-07,5.598983534582658e-07
1909,1.4522596814003919e-07,6.26562041361467e-07
1910,1.07417427841483e-07,5.488442980094987e-07
1911,1.0747155698709321e-07,5.799207656309591e-07
1912,1.224213974637678e-07,5.568871301875333e-07
1913,1.0499919511630651e-07,5.806773515359964e-07
1914,8.571831955350717e-08,5.149796038494969e-07
1915,1.4608144738303963e-07,5.183535449759802e-07
1916,8.350470892537487e-08,5.328919314706582e-07
1917,7.23783983858084e-08,6.349559953378048e-07
1918,9.418828739171659e-08,4.835764570998435e-07
1919,1.28909874774763e-07,6.021932676958386e-07
1920,9.692456615084666e-08,5.951774255663622e-07
1921,1.1359121288023744e-07,6.376253054440895e-07
1922,7.009038682781465e-08,6.359780400089221e-07
1923,6.581888101209188e-08,6.104170324761071e-07
1924,1.0055467214442615e-07,7.116176448107581e-07
1925,1.3417776756341482e-07,6.697890171381005e-07
