year,six_DET auteurs_NOUN
1800,3.144164484325529e-08
1801,2.1430643926123594e-08
1802,4.475680270843441e-09
1803,1.1702034896643454e-08
1804,7.4155526164076946e-09
1805,8.528632911009026e-09
1806,4.610670600868616e-08
1807,0.0
1808,2.4926814390369145e-08
1809,2.4849335034105025e-08
1810,3.978215445954447e-08
1811,1.2535384286138651e-08
1812,5.067695596494559e-08
1813,4.3136125782439194e-08
1814,2.8320094713762956e-08
1815,2.4275012222574333e-08
1816,2.0858434979231788e-08
1817,1.5568733857662664e-08
1818,3.695565098382758e-08
1819,1.449147024601416e-08
1820,2.1359666035891678e-08
1821,3.550135829755163e-08
1822,9.023054303725075e-09
1823,3.656594282919201e-08
1824,2.4421225930382207e-08
1825,2.0252519661312363e-08
1826,7.0463874735082754e-09
1827,1.013900075008678e-08
1828,1.6510141975789594e-08
1829,7.715858452161939e-09
1830,6.262101504006523e-09
1831,4.2096256702706114e-08
1832,9.470978667991403e-09
1833,9.266902800675325e-09
1834,6.534171426153534e-09
1835,2.0420337421001022e-08
1836,1.747394939854985e-08
1837,1.87863058442872e-08
1838,1.2624324030596767e-08
1839,2.0974426639952526e-09
1840,2.611572397226425e-08
1841,1.733548060656176e-08
1842,6.708265054555795e-09
1843,1.5357969229690127e-08
1844,2.4149669819450992e-08
1845,3.403939108359566e-08
1846,8.781752436348711e-09
1847,1.240441438454809e-08
1848,1.689496492707221e-08
1849,3.3517659758786067e-09
1850,8.82569484161877e-09
1851,1.7413484432182713e-08
1852,2.278690924839566e-08
1853,2.8068079416243563e-08
1854,5.7152309551611324e-09
1855,2.3350523292720027e-08
1856,9.318940286107136e-09
1857,1.7085282522089074e-08
1858,2.7893953813418193e-08
1859,4.073738679721828e-09
1860,2.1512764902809067e-08
1861,5.659156698811785e-09
1862,9.939570055905733e-09
1863,2.2475793948206757e-08
1864,1.8699438442126848e-08
1865,2.7770382438063734e-08
1866,7.298419202328432e-09
1867,6.308654931785895e-09
1868,6.421836395986702e-09
1869,9.767038289254515e-10
1870,1.490852596930381e-08
1871,4.248470908407853e-09
1872,4.8378714367913744e-09
1873,1.2570609442263958e-08
1874,5.974609251779839e-09
1875,5.721527140956084e-10
1876,4.836811617892067e-09
1877,1.2369632429454214e-08
1878,6.039088784604019e-09
1879,9.774920317617841e-09
1880,2.2462461446437487e-08
1881,7.669758161910067e-09
1882,6.655385131892899e-09
1883,6.319338829996468e-09
1884,9.242375753615306e-09
1885,2.191516146332617e-08
1886,2.0005737511041843e-08
1887,8.48760173255414e-09
1888,1.521747483579361e-08
1889,1.0024218788373673e-08
1890,1.8352281472289178e-08
1891,1.3385862529524672e-08
1892,4.387958441043338e-09
1893,1.2316832997960603e-08
1894,5.671385361338821e-09
1895,4.814891374493868e-09
1896,1.0024949315123877e-08
1897,2.9133566670225264e-09
1898,2.2067583760332354e-08
1899,1.7688250864011934e-08
1900,1.2977632302124675e-08
1901,1.0618603774048552e-08
1902,1.915010727771005e-08
1903,2.2680925582108102e-08
1904,1.9886113200584532e-08
1905,1.0837593933388234e-08
1906,7.716276950731071e-09
1907,1.0285686691258178e-08
1908,2.161011192214346e-08
1909,1.7053048750881317e-08
1910,1.068830179917768e-08
1911,7.448523575703803e-09
1912,5.2094213387476884e-09
1913,1.59089688089864e-08
1914,1.0714789944188396e-08
1915,2.120537156979907e-08
1916,4.394984820521586e-09
1917,9.869782324756216e-09
1918,5.743188147278033e-09
1919,2.117805197876521e-08
1920,8.329454903588385e-09
1921,1.590276998975071e-08
1922,6.640141769764796e-09
1923,6.369568872344189e-09
1924,7.734974438733389e-09
1925,1.8696901804560184e-08
1926,1.6719207018844884e-08
1927,1.0034302277972529e-08
1928,1.599645738092903e-08
1929,1.3368487650211591e-08
1930,2.8359729231652864e-08
1931,2.2810712430043623e-08
1932,6.575721966939341e-09
1933,1.4911860191091364e-08
1934,1.9170528275935794e-08
1935,2.154291056655211e-08
1936,1.6974600836050513e-08
1937,8.813782592653752e-09
1938,2.7226949583791793e-08
1939,9.176430282309411e-09
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
