year,véritables_ADJ eaux_NOUN,véritables_ADJ maux_NOUN
1800,0.0,4.4018303668735825e-08
1801,2.3811825844433088e-09,3.333655484993869e-08
1802,0.0,1.3427040812530322e-08
1803,0.0,6.631153581793114e-08
1804,0.0,9.39303390623536e-08
1805,2.842877711017877e-09,8.52863308864471e-08
1806,0.0,3.458002950651462e-08
1807,1.4234775136401367e-08,4.839823830593559e-08
1808,6.798221985349073e-09,3.172503681980743e-08
1809,1.3554183553310395e-08,2.25903047379461e-08
1810,0.0,7.020380365929668e-08
1811,0.0,3.760615285841595e-08
1812,1.0668832928217853e-08,2.1337665856435706e-08
1813,0.0,4.026038169513413e-08
1814,0.0,2.2026739543434815e-08
1815,0.0,1.6183340889597275e-08
1816,0.0,3.476405652236281e-08
1817,6.227493631882908e-09,3.269434145636296e-08
1818,0.0,4.530047448270125e-08
1819,5.175524897538253e-09,8.073818946741085e-08
1820,2.3732962262101864e-09,4.9839222526770754e-08
1821,0.0,3.35290586406245e-08
1822,4.010246357211145e-09,6.917674966189225e-08
1823,6.917880934764753e-09,5.6331316500290995e-08
1824,0.0,9.768490372152883e-08
1825,0.0,6.075755720758025e-08
1826,0.0,5.9013494535520294e-08
1827,1.8434546111834038e-09,3.96342727526644e-08
1828,1.8344602503717056e-09,4.035812395386529e-08
1829,3.429270423183084e-09,2.3147574523818548e-08
1830,5.218417697960831e-09,3.026682549034376e-08
1831,3.1182413096075834e-08,3.897801548191637e-08
1832,2.705993873419743e-09,2.0294953273491956e-08
1833,1.2741991461950875e-08,4.054269808762001e-08
1834,8.401078055442213e-09,4.760610750054184e-08
1835,3.025235173481633e-09,5.899208588289184e-08
1836,2.016224964762614e-09,4.704525125021064e-08
1837,0.0,2.7831564608504777e-08
1838,6.312161904276081e-10,5.5547026533986354e-08
1839,2.7965900706306e-09,3.355908262392404e-08
1840,3.821813088222825e-09,5.159447979963261e-08
1841,1.6051371787284552e-08,2.953452238330101e-08
1842,5.366612043644636e-09,3.4882980060046975e-08
1843,9.451057714215949e-09,3.898561473647533e-08
1844,4.390849017710252e-09,5.598332464273881e-08
1845,1.674068439427856e-09,4.185170965342877e-08
1846,6.439951683034906e-09,2.8101606375230404e-08
1847,4.853901280910122e-09,2.8044762956369595e-08
1848,8.04522137798358e-09,4.34441957963827e-08
1849,1.256912263158938e-08,1.75967720394965e-08
1850,6.788996032014438e-09,3.733947906425783e-08
1851,8.384270167027807e-09,3.998652076120379e-08
1852,7.812654523320361e-09,3.059956199535918e-08
1853,1.1943863675867306e-09,3.58315901394235e-08
1854,7.79349651480743e-09,6.390667550704165e-08
1855,6.8990182455763716e-09,2.3350523292720027e-08
1856,1.65670055451983e-08,7.092749143566834e-08
