year,vingt - trois auteurs
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,1.992118470184323e-08
1809,8.895453329493819e-08
1810,1.2821451456090927e-08
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,2.1600643052011037e-08
1822,0.0
1823,0.0
1824,9.187538507759996e-10
1825,9.610704454487973e-10
1826,1.0571650221891105e-08
1827,0.0
1828,1.0023107677170628e-08
1829,9.365493935931113e-10
1830,0.0
1831,0.0
1832,1.1861017945591357e-08
1833,0.0
1834,0.0
1835,9.129566436172354e-09
1836,1.4686979410427625e-09
1837,1.8977470261916096e-08
1838,3.4411216098817476e-09
1839,0.0
1840,3.4792697611862877e-09
1841,1.403958060919308e-09
1842,0.0
1843,0.0
1844,0.0
1845,6.100404625897227e-09
1846,1.9219814628712584e-09
1847,0.0
1848,0.0
1849,1.1009053224597665e-08
1850,0.0
1851,0.0
1852,2.85341283934315e-09
1853,1.8303717652656815e-08
1854,0.0
1855,9.890239738297169e-09
1856,1.7013420006151136e-08
1857,0.0
1858,3.752691490888083e-09
1859,0.0
1860,0.0
1861,0.0
1862,9.90217019491979e-10
1863,5.482613252283386e-10
1864,2.6247697348935617e-09
1865,7.739408225404532e-09
1866,5.339306219376283e-10
1867,5.323331775386464e-10
1868,5.409911629783437e-09
1869,1.6071937114503498e-09
1870,6.283288334074655e-10
1871,0.0
1872,0.0
1873,1.6401061841975206e-08
1874,1.3110328822563133e-08
1875,0.0
1876,2.0586575999459455e-08
1877,0.0
1878,6.646837746870915e-09
1879,6.720529133197317e-09
1880,1.0600474387167935e-08
1881,0.0
1882,1.4655266999952232e-09
1883,3.4833047557469854e-09
1884,7.27484239515519e-10
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,7.027207149512549e-10
1892,1.3834376977328589e-09
1893,6.792941764643956e-10
1894,0.0
1895,8.634544856889192e-09
1896,5.8539186831296774e-09
1897,1.9325523403779243e-09
1898,1.2485185107991015e-09
1899,0.0
1900,2.2944017796788785e-09
1901,0.0
1902,1.0814305007045277e-09
1903,4.172694634263507e-09
1904,0.0
1905,0.0
1906,5.675657166470671e-10
1907,1.7051069445273015e-09
1908,0.0
1909,0.0
1910,0.0
1911,2.9359050746080584e-09
1912,1.149544348599818e-09
1913,1.7553301034922697e-09
1914,7.386593559033372e-10
1915,2.5976194528709584e-09
1916,2.418672151449641e-09
1917,1.206102329120995e-09
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,2.849811275851266e-09
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,2.325158732219279e-09
1931,0.0
1932,0.0
1933,2.5375954670892042e-09
1934,0.0
1935,5.305495820451256e-09
1936,0.0
1937,1.3947590860041714e-09
1938,2.8688222908357375e-09
1939,0.0
1940,0.0
1941,0.0
1942,1.0093186730841808e-08
1943,9.634118391943503e-09
1944,0.0
1945,4.805924103123971e-09
1946,4.619207683020932e-09
1947,2.633565587828457e-09
1948,4.8128261376234605e-09
1949,0.0
1950,0.0
1951,2.359811901442299e-09
1952,0.0
1953,2.3816522087827252e-09
1954,1.0806723294010112e-09
1955,7.271478530412878e-09
1956,1.929378212750521e-09
1957,6.845143563083411e-09
1958,1.829783657925077e-09
1959,8.574415844009309e-09
1960,1.5306731437902954e-09
1961,1.533625781924286e-09
1962,2.0982773296651658e-09
1963,3.566091588691478e-09
1964,1.3422626343739807e-09
1965,3.0169315934358565e-09
1966,2.444229929565722e-09
1967,3.802320569512574e-09
1968,5.435027761180322e-09
1969,4.992740665343831e-10
1970,5.563665417263053e-09
1971,4.533065922629476e-09
1972,5.653004286898522e-09
1973,4.874625147976985e-09
1974,1.865787024879495e-09
1975,1.894670087487782e-09
1976,3.78682063484348e-09
1977,5.1957287361403814e-09
1978,1.3086939310014145e-09
1979,6.441445155047631e-10
1980,5.009333836625274e-09
1981,4.177695522855629e-09
1982,4.773100137356323e-09
1983,2.082579442230781e-09
1984,9.552197255402461e-09
1985,5.947572434550352e-09
1986,2.633417484076972e-09
1987,5.370943689797514e-09
1988,5.268650848933021e-09
1989,5.425025928484928e-09
1990,2.9849978044893533e-09
1991,3.857954955499565e-09
1992,4.828028643544258e-09
1993,1.0312321552241599e-08
1994,6.350707071334227e-09
1995,5.335972108611031e-09
1996,4.666825703658617e-09
1997,4.710816237096793e-09
1998,7.803840129660955e-09
1999,7.477714003556457e-09
2000,5.780822931455987e-09
2001,4.2997200244698774e-09
2002,8.114688476723586e-09
2003,1.1798624299785843e-08
2004,4.3169882668614434e-09
2005,6.376416061826262e-09
2006,2.6924511509207605e-09
2007,6.544536024222225e-09
2008,3.25418658686516e-09
2009,5.7372666617538925e-09
2010,2.0707451309220914e-09
2011,4.19642653959329e-10
2012,7.499130205701476e-10
2013,1.8481166597084098e-09
2014,9.580620741189705e-10
2015,0.0
2016,1.6047415618558603e-09
2017,1.115607939361496e-09
2018,8.59498139327286e-10
2019,2.832501178051672e-10
