year,deux_DET êtres_NOUN,deux_DET etres_NOUN,deux_DET maîtres_NOUN
1800,8.992310593924913e-07,9.432493452976587e-09,6.068237183853853e-07
1801,7.953149996353659e-07,1.1905912922216544e-08,4.5480587651525184e-07
1802,9.219901073720393e-07,2.2378401354217203e-08,3.9162202369880106e-07
1803,7.664833283627104e-07,9.751696339321825e-09,4.4662767706427076e-07
1804,8.527885508868849e-07,2.4718509905596875e-08,7.390834353415698e-07
1805,1.0205930962570164e-06,0.0,6.225902136058892e-07
1806,7.002455841842448e-07,4.034336775760039e-08,3.4291862771596016e-07
1807,6.491057611412998e-07,3.131650672116848e-08,4.868293288495806e-07
1808,6.005095940508909e-07,1.3596443526608937e-08,6.07307826694381e-07
1809,6.280104924982766e-07,1.1295152813062259e-08,4.021074415661019e-07
1810,5.569501446700542e-07,3.042164786748458e-08,4.93766741715973e-07
1811,2.9082089625376284e-07,5.0141537144554604e-08,4.938941202681235e-07
1812,6.347955388008586e-07,2.6672082320544632e-09,4.5075820320761295e-07
1813,8.080833993062697e-07,0.0,5.147577653019653e-07
1814,4.688549068987413e-07,0.0,4.1850806908882987e-07
1815,6.365447422496118e-07,0.0,4.7471133468590665e-07
1816,5.678129326724957e-07,1.3905623319487859e-08,5.631777355574741e-07
1817,9.419084268103006e-07,1.0898113744772786e-08,5.277800907421693e-07
1818,9.036252457406135e-07,2.384235475716423e-09,4.398914386083419e-07
1819,8.798392290287893e-07,1.1386154796788617e-08,7.763287648288042e-07
1820,1.081036458572271e-06,1.3053129244156025e-08,4.058336635637261e-07
1821,7.267916686259923e-07,2.9584463767662328e-09,4.792683201415571e-07
1822,6.987854135331872e-07,4.010246357211145e-09,5.73465214870339e-07
1823,5.840668002576876e-07,7.90614973489312e-09,5.346533615835369e-07
1824,6.89689127142401e-07,1.1789557774477544e-08,5.221089898199693e-07
1825,6.956300033778007e-07,1.7610886082763955e-09,5.010296935115122e-07
1826,5.549030355211926e-07,8.807984341885344e-10,5.231942674654988e-07
1827,7.714857348517512e-07,9.217273055917019e-10,5.871403105928152e-07
1828,6.63157383229418e-07,1.8344602503717056e-09,5.549242083624506e-07
1829,6.944272445963406e-07,1.714635211591542e-09,5.744028035437054e-07
1830,8.756505032181394e-07,4.174734336004349e-09,5.124486237573223e-07
1831,7.171954550244664e-07,6.236482441579483e-09,5.301010028713193e-07
1832,9.173319295285864e-07,4.058990921151917e-09,4.586659737570997e-07
1833,6.96176048364805e-07,2.3167257001688313e-09,3.741511880317461e-07
1834,8.354404918975433e-07,3.733812370398937e-09,5.479369784566757e-07
1835,8.06981489631653e-07,5.294161553592858e-09,5.377355805080697e-07
1836,7.507077981472321e-07,9.409050205633207e-09,5.23546409336717e-07
1837,7.194459143988752e-07,6.957890930081589e-10,5.468902548599885e-07
1838,6.62145797747371e-07,5.049729523420865e-09,5.851373998666531e-07
1839,6.467114683772479e-07,1.3982949909063791e-08,5.37644441855889e-07
1840,6.618106667133361e-07,1.974603480725534e-08,5.076642053403191e-07
1841,8.051367856864999e-07,2.5682194149112547e-09,5.219906027420507e-07
1842,9.176906701213738e-07,3.3541325272778977e-09,6.252103128545627e-07
1843,9.338826210125717e-07,9.451057936260554e-09,5.901004036523716e-07
1844,7.387603702113665e-07,3.293136763282689e-09,7.239412529447264e-07
1845,8.230835977229845e-07,5.580227946389016e-10,4.910600699403744e-07
1846,8.401209221631234e-07,7.610851726624901e-09,5.233924085246144e-07
1847,5.991871745436583e-07,4.314578916364553e-09,6.800854785993238e-07
1848,6.114368620302457e-07,0.0,6.009780886273575e-07
1849,8.320759121716037e-07,1.6758829879393033e-09,4.843301852908155e-07
1850,6.972298933760612e-07,1.3577992064028876e-09,5.580554578443753e-07
1851,6.771910427971761e-07,0.0,5.037011661102042e-07
1852,7.155089392085756e-07,5.208436348880241e-09,6.530076916977379e-07
1853,6.772170770830144e-07,0.0,7.279784748348561e-07
1854,6.645254586601368e-07,1.246959496770117e-08,7.663604879581953e-07
1855,9.218149727985292e-07,2.653468555990912e-09,7.488088371587764e-07
1856,6.057311576768143e-07,6.73034605824796e-09,7.765783713864494e-07
1857,7.844584963834222e-07,8.786716299002961e-09,5.618617002767223e-07
1858,7.502005239246046e-07,2.446837954472869e-09,5.931135556025424e-07
1859,7.61789152647907e-07,1.018434669930457e-09,6.497613189715423e-07
1860,9.122327568888977e-07,1.8308735638683515e-09,5.982379263080873e-07
