year,meilleurs_ADJ êtres_NOUN,meilleurs_ADJ maîtres_NOUN
1800,0.0,5.124987971782957e-07
1801,2.3811825844433088e-09,2.214499801311831e-07
1802,0.0,3.1329761895904085e-07
1803,0.0,4.037202181450539e-07
1804,0.0,4.22686500023417e-07
1805,0.0,3.1555943547090237e-07
1806,0.0,3.774986438997985e-07
1807,0.0,4.5835976791863686e-07
1808,0.0,3.8749865272080797e-07
1809,2.259030518203531e-09,4.87950590599695e-07
1810,0.0,3.697400234869974e-07
1811,0.0,4.537808968585466e-07
1812,0.0,4.800974728880192e-07
1813,0.0,2.616924963394496e-07
1814,0.0,3.492811759819858e-07
1815,2.697223555614414e-09,2.1577788800186681e-07
1816,0.0,4.3802713989293807e-07
1817,0.0,3.58080871287747e-07
1818,0.0,1.8835460235955281e-07
1819,0.0,2.98110251151229e-07
1820,0.0,2.741157043573139e-07
1821,0.0,2.7809397962208493e-07
1822,0.0,4.952654251155764e-07
1823,0.0,4.842516322378643e-07
1824,0.0,2.938968268750841e-07
1825,0.0,2.7825200277220574e-07
1826,0.0,1.8937166146315576e-07
1827,0.0,1.98171363763322e-07
1828,0.0,2.2930753590388875e-07
1829,0.0,2.074708618238219e-07
1830,0.0,2.776198471110547e-07
1831,0.0,2.556957667820825e-07
1832,0.0,2.8277636943130346e-07
1833,0.0,3.092828819717397e-07
1834,0.0,2.7910247979434644e-07
1835,0.0,2.7075856223746086e-07
1836,0.0,1.996062763964801e-07
1837,0.0,2.4004722831705294e-07
1838,6.312161904276081e-10,1.9693945318977057e-07
1839,0.0,1.7478687652783265e-07
1840,0.0,2.0701487812857522e-07
1841,0.0,2.638845444380422e-07
1842,0.0,2.4887663130357396e-07
1843,0.0,2.4100197038023907e-07
1844,0.0,2.639997944697825e-07
1845,5.580227835366713e-09,2.1762888541276837e-07
1846,2.3418005312692003e-09,1.5631518124337163e-07
1847,0.0,2.3838048601731998e-07
1848,0.0,1.6251347290108242e-07
1849,0.0,1.3742240412284445e-07
1850,0.0,2.1860567755993543e-07
1851,1.9348316282474798e-09,1.7155506926158637e-07
1852,0.0,2.0508217835057962e-07
1853,2.9859659189668264e-09,2.2096148111216962e-07
1854,3.117398783558656e-09,2.5770496103749707e-07
1855,3.714855978387277e-09,2.616319925152766e-07
1856,5.694908100650764e-09,1.925914423495101e-07
1857,1.1715622250108026e-08,2.274783279521131e-07
1858,8.31924928945682e-09,2.0602375627731817e-07
1859,9.165912473463322e-09,1.8688275793543596e-07
1860,9.154367819341758e-10,2.778350562948617e-07
1861,6.6023493339173456e-09,1.7779183592026016e-07
1862,2.710791813242963e-09,2.5571802811374944e-07
1863,1.4983863039219614e-09,2.472337428116589e-07
1864,4.794727948009836e-10,2.450105967000127e-07
1865,4.706844358715045e-10,2.4522660169168375e-07
1866,0.0,1.6640396438560856e-07
1867,4.85281148598915e-10,1.878037991787096e-07
1868,0.0,1.7289559517408293e-07
