year,aux_ADP oies_NOUN
1800,1.2576657582030748e-07
1801,6.429192911383552e-08
1802,7.608656460433849e-08
1803,1.09218993626925e-07
1804,5.9324420931261557e-08
1805,1.2224374756897305e-07
1806,5.4751713385314815e-08
1807,3.131650672116848e-08
1808,1.3369836260324064e-07
1809,8.132509776714869e-08
1810,3.042164786748458e-08
1811,4.011322829455821e-08
1812,3.7340914360584065e-08
1813,5.751483289628823e-09
1814,5.349351184236184e-08
1815,2.1038344355517324e-07
1816,1.274682119856152e-07
1817,9.496928132790572e-08
1818,7.152706604784953e-08
1819,4.554461963124368e-08
1820,2.3732961373923445e-08
1821,5.029359129160582e-08
1822,5.6143449000956025e-08
1823,1.1068609673259289e-07
1824,3.115811697540494e-08
1825,6.163809995740621e-08
1826,2.554315425840059e-08
1827,5.7147094167930845e-08
1828,6.970948840390179e-08
1829,9.85915242779356e-08
1830,4.0703659109908585e-08
1831,5.456921980950824e-08
1832,3.51779220197912e-08
1833,6.486831871654886e-08
1834,4.947301501800894e-08
1835,4.689114518896531e-08
1836,4.0324502126320994e-08
1837,6.818733133684418e-08
1838,3.9135405138779333e-08
1839,5.5931800524433584e-08
1840,4.7772664935052944e-08
1841,6.099521199232072e-08
1842,3.7566284305512454e-08
1843,8.978505050549757e-08
1844,6.641159000508878e-08
1845,4.2409731282333496e-08
1846,2.4588905134237393e-08
1847,7.496580600729885e-08
1848,5.309846429213394e-08
1849,4.860060620615059e-08
1850,4.955967192188382e-08
1851,5.4175285590929434e-08
1852,4.948014531436229e-08
1853,3.642878354526147e-08
1854,5.403491076805267e-08
1855,6.580602018857462e-08
1856,5.694908100650764e-08
1857,4.735063718896981e-08
1858,3.229826228690058e-08
1859,5.295860283638376e-08
1860,4.485640303641958e-08
1861,5.5648373908923077e-08
1862,7.906476362506965e-08
1863,6.742738156706451e-08
1864,6.856460832427302e-08
1865,5.412871001420072e-08
1866,9.341976481280767e-08
1867,8.346835578265654e-08
1868,7.409811075831385e-08
1869,5.86022301796163e-08
1870,4.243196194408938e-08
1871,7.11618906024114e-08
1872,5.98686610286947e-08
1873,6.524745010949573e-08
1874,6.512323835750067e-08
1875,6.522541085018929e-08
1876,5.8041743855596906e-08
1877,6.494056759009936e-08
1878,5.495570576385944e-08
1879,4.581993984231758e-08
1880,7.63723715380138e-08
1881,6.484431835929172e-08
1882,1.0914831349850829e-07
1883,1.0679683093428594e-07
1884,5.2813575734944607e-08
1885,4.318575907991118e-08
1886,5.162771010702727e-08
1887,6.137189068056159e-08
1888,7.03808211710566e-08
1889,1.1089291618304742e-07
1890,8.520702365899524e-08
1891,5.290602622665119e-08
1892,4.638699024894777e-08
1893,5.665743257887712e-08
1894,5.1042468918183204e-08
1895,5.5973115919982774e-08
1896,6.309820932415278e-08
1897,5.477110853746581e-08
1898,5.545187775624072e-08
1899,9.0652287454418e-08
1900,5.6582480922884315e-08
1901,5.812288650375308e-08
1902,4.713872386874485e-08
1903,5.2922157323109786e-08
1904,6.449550227216605e-08
1905,6.812202002492995e-08
1906,1.358064730672126e-07
1907,7.199980761596336e-08
1908,6.139236319313568e-08
1909,7.86640649286241e-08
1910,7.749018304803457e-08
1911,6.969690247160543e-08
1912,7.866225892882994e-08
1913,6.522677464815274e-08
1914,8.036092502550218e-08
1915,5.301342831387501e-08
1916,4.394984820521586e-08
1917,4.276905407607501e-08
1918,4.020231791912465e-08
1919,7.090043319113448e-08
1920,5.5277291188815525e-08
1921,4.316465940235048e-08
1922,7.894391068630213e-08
1923,6.157249865523795e-08
1924,6.059063462071634e-08
1925,5.719052609265418e-08
1926,5.5730692949396143e-08
1927,1.427100768669476e-07
1928,4.227635308495792e-08
1929,5.124586888172189e-08
1930,6.197126012352783e-08
1931,6.957267473239881e-08
1932,6.794912410512666e-08
1933,5.964744431707913e-08
1934,5.511526701695857e-08
1935,5.146362269670135e-08
1936,5.698615801463802e-08
1937,4.0291578073947676e-08
1938,3.5006079368571363e-08
1939,9.788192567583565e-08
1940,1.369322788491445e-07
1941,1.26914614373419e-07
1942,7.282108072104165e-08
1943,1.1612941008820599e-07
1944,9.318239690969676e-08
1945,7.624764108982163e-08
1946,5.150808579656996e-08
1947,4.7683483828109274e-08
1948,5.3272248834446145e-08
1949,3.141442572740516e-08
1950,4.147791021757996e-08
1951,6.823297127311889e-08
1952,4.2179213899373735e-08
1953,4.417269394707546e-08
1954,4.3976413399704484e-08
1955,4.22352348650179e-08
1956,4.7966278060584955e-08
1957,7.42143149157215e-08
1958,4.6324563740540725e-08
1959,8.138285423342495e-08
1960,7.958958292419993e-08
1961,4.794229990778831e-08
1962,4.693047800374828e-08
1963,7.435961180135564e-08
1964,4.137098486012292e-08
1965,4.541796094770234e-08
1966,7.200797114137458e-08
1967,4.240088635754091e-08
1968,4.4914157726339e-08
1969,6.994307166774405e-08
1970,5.610444731019015e-08
