year,quels_DET auteurs_NOUN,quels_DET moteurs_NOUN
1800,6.60274537267469e-08,0.0
1801,1.1905912700171939e-08,0.0
1802,4.2518962573012686e-08,0.0
1803,2.925508790774245e-08,0.0
1804,7.415552971679062e-08,0.0
1805,5.970043215342002e-08,0.0
1806,7.492339904047185e-08,0.0
1807,2.8469550272802735e-08,0.0
1808,2.4926814390369145e-08,0.0
1809,2.0331274441787173e-08,0.0
1810,7.956430980726736e-08,0.0
1811,9.27618422075227e-08,0.0
1812,3.200649700829672e-08,0.0
1813,3.738464116054274e-08,0.0
1814,2.2026739099345605e-08,0.0
1815,8.90083740046066e-08,0.0
1816,4.4034472068688046e-08,9.270415546325239e-09
1817,5.1376821907922476e-08,0.0
1818,4.887682791832049e-08,0.0
1819,1.6561680027393777e-08,0.0
1820,5.814575843032799e-08,0.0
1821,6.903041960271139e-08,0.0
1822,3.0076847679083585e-08,0.0
1823,6.917880845946911e-08,0.0
1824,3.03160057057994e-08,0.0
1825,1.8491429720768338e-08,0.0
1826,5.108630762862276e-08,0.0
1827,3.3182182335167454e-08,0.0
1828,2.8434133714227983e-08,0.0
1829,2.7434162941375462e-08,8.57317605795771e-10
1830,2.7135773628117477e-08,0.0
1831,4.677361609140007e-09,0.0
1832,2.8412935226818092e-08,0.0
1833,2.6642345218874652e-08,0.0
1834,2.2402874444438226e-08,0.0
1835,2.571449897459388e-08,7.563087933704082e-09
1836,3.9652424621561266e-08,0.0
1837,5.287997062453087e-08,0.0
1838,4.418513288584336e-08,1.8936485712828244e-09
1839,2.9364196407755117e-08,2.0974426639952526e-09
1840,3.3759349093998026e-08,1.9109065441114126e-09
1841,4.49438415373038e-08,0.0
1842,2.750388627958955e-08,0.0
1843,3.839492279666956e-08,0.0
1844,5.0494763037534085e-08,0.0
1845,1.2834524221183585e-08,5.580227946389016e-10
1846,3.6297908678761814e-08,5.854501328173001e-10
1847,1.240441438454809e-08,0.0
1848,2.0113055110293487e-08,0.0
1849,2.513824437500034e-08,8.379414939696517e-10
1850,1.6972490968214515e-08,0.0
1851,4.127640895745799e-08,6.449438760824933e-10
1852,2.604218107826739e-08,3.2552727180501506e-09
1853,2.7470885566316383e-08,8.957897534855874e-09
1854,4.468271530555512e-08,3.117398783558656e-09
1855,4.617035287424187e-08,0.0
1856,3.779348189958398e-08,0.0
1857,1.9037886156425543e-08,0.0
1858,3.474509924217273e-08,1.9574704079872163e-09
1859,3.360834321952666e-08,0.0
1860,4.348324655900626e-08,0.0
1861,2.3108221558487685e-08,0.0
1862,3.07223065876272e-08,0.0
1863,4.345320103738004e-08,0.0
1864,3.8357823917145595e-08,2.3973640850272204e-09
1865,3.624270106250549e-08,9.41368871743009e-10
1866,2.968023871119385e-08,0.0
1867,3.591080499631971e-08,2.426405742994575e-09
1868,3.260316916442463e-08,1.4819622196071691e-09
1869,5.567211758261692e-08,0.0
1870,6.422134646300037e-08,1.0894693147633916e-08
1871,2.5490825672491724e-08,0.0
1872,3.567930284553711e-08,4.23313739617015e-09
1873,2.334541759907438e-08,5.986004469882289e-10
1874,1.1949218503559678e-08,0.0
1875,1.830888685105947e-08,1.1443054281912168e-09
1876,4.41359064851099e-08,0.0
1877,3.154256233983688e-08,0.0
1878,2.7175899530718084e-08,0.0
1879,2.443730151568957e-08,0.0
1880,3.7223507831640745e-08,0.0
1881,3.9743291324612073e-08,0.0
1882,2.994923420374107e-08,5.324308105514319e-09
1883,5.181857787306399e-08,0.0
1884,2.3105939384038265e-08,0.0
1885,4.640857520499253e-08,6.445635691854079e-10
1886,6.96974105096615e-08,2.5813855497602844e-09
1887,3.852065610931987e-08,1.3057849246322917e-09
1888,5.389522428345117e-08,6.340614699951175e-10
1889,7.01695306304373e-08,0.0
1890,4.784702234417182e-08,0.0
1891,2.103492668936724e-08,0.0
1892,4.387958618679022e-08,2.5074049503359674e-09
1893,4.12613916367377e-08,6.158416554491453e-10
1894,3.591877417719047e-08,0.0
1895,3.490796363081472e-08,1.2037228991346183e-09
1896,4.009979637231709e-08,5.89702897624278e-10
1897,2.0976169246011978e-08,0.0
1898,2.6028432298375037e-08,0.0
1899,5.30647525920358e-08,1.1055156790007459e-09
1900,2.8550792841031125e-08,0.0
1901,4.2474415984372627e-08,0.0
1902,2.7988617201657462e-08,4.910283846193408e-10
1903,2.8621167658116065e-08,2.1600881083827517e-09
1904,2.364835083312755e-08,0.0
1905,4.1286071894575116e-08,0.0
1906,3.549487281873098e-08,0.0
1907,5.0399863837924386e-08,1.028568674676933e-09
1908,2.7503779476134582e-08,1.4734167219643268e-09
1909,3.190570518896152e-08,5.500983557560346e-10
1910,3.420256566855073e-08,5.344150677544235e-10
1911,5.107559175598908e-08,2.6601870706244313e-09
1912,3.4903121726159725e-08,5.209421227725386e-10
1913,2.9696742620544114e-08,1.060597942803554e-09
