year,veux_VERB être_VERB,veux_VERB etre_VERB,veux_VERB mettre_VERB
1800,8.017619279598875e-07,0.0,1.6664071722516383e-07
1801,1.1334428791087703e-06,2.3811825844433088e-09,1.3572740442668874e-07
1802,9.264658160645922e-07,0.0,9.175144555229053e-08
1803,7.957384013934643e-07,0.0,6.826187615160961e-08
1804,1.3867083907825872e-06,0.0,2.397695482159179e-07
1805,7.960057359923667e-07,2.842877711017877e-09,8.52863308864471e-08
1806,1.0345191867600079e-06,0.0,1.7290014397985942e-07
1807,7.686778644711012e-07,2.8469551160981155e-09,5.124519120158766e-08
1808,6.662257305833919e-07,6.798221985349073e-09,8.384473915157287e-08
1809,6.460827535192948e-07,2.259030518203531e-09,1.2424668227595248e-07
1810,1.2753690725730848e-06,2.3401267590372754e-09,1.7316938283329364e-07
1811,9.025476401802734e-07,0.0,5.515568801683912e-08
1812,9.228540420735953e-07,0.0,6.934741492159446e-08
1813,9.259887860935123e-07,0.0,1.4378707646756084e-07
1814,1.0037899755843682e-06,0.0,9.44003133440674e-08
1815,7.066725515869621e-07,0.0,6.203614333344376e-08
1816,9.548527941660723e-07,2.3176038865813098e-09,1.0892738089296472e-07
1817,1.0804701560118701e-06,0.0,1.665854512111764e-07
1818,1.2111916021240177e-06,1.1921177378582115e-09,1.2040389663070528e-07
1819,1.1551771876838757e-06,0.0,9.522965882524659e-08
1820,1.2744600326186628e-06,3.5599443393152796e-09,1.6257078527814883e-07
1821,1.4072344356463873e-06,9.86148829262845e-10,2.0709124726181471e-07
1822,1.3183685041440185e-06,0.0,1.674277854135653e-07
1823,1.3321862297743792e-06,0.0,1.7294702558956487e-07
1824,1.1191658586540143e-06,0.0,1.810539203006556e-07
1825,1.0821889873113832e-06,0.0,1.364843740248034e-07
1826,9.54785491558141e-07,1.7615968683770689e-09,8.279505436803447e-08
1827,8.876234005583683e-07,9.217273055917019e-10,5.530363722527909e-08
1828,8.979682775134279e-07,0.0,1.3575005652910477e-07
1829,1.0142067594642867e-06,1.714635211591542e-09,1.208817792530681e-07
1830,1.2461581491152174e-06,1.0436835840010872e-09,9.497520636614354e-08
1831,1.200522888211708e-06,0.0,1.091384405071949e-07
1832,1.1757543916246505e-06,0.0,1.1771073360478113e-07
1833,9.660745945438975e-07,4.6334514003376626e-09,1.4711207541040494e-07
1834,1.102408077713335e-06,9.334530925997342e-10,1.0921401383257034e-07
1835,1.3742130704486044e-06,2.2689263801112247e-09,1.5731222902104491e-07
