year,aux_ADP eaux_NOUN,aux_ADP maux_NOUN
1800,3.361111790667337e-06,2.1789059516663656e-06
1801,2.771696440362348e-06,2.8026520126900323e-06
1802,3.0389869323244056e-06,2.233364341464039e-06
1803,3.5242629508047685e-06,1.930835843211298e-06
1804,3.8115940714789076e-06,2.5731968946729467e-06
1805,3.5933974196211693e-06,1.7824843023817039e-06
1806,3.942123427691513e-06,2.0863284575511898e-06
1807,2.7359237684265736e-06,2.2861049053801707e-06
1808,2.984419516849357e-06,1.6293072100381778e-06
1809,3.535382673724996e-06,2.0466815975339614e-06
1810,3.3908437382379475e-06,1.7644556074003503e-06
1811,2.9458152894790146e-06,1.5293168260654966e-06
1812,3.7740995573187774e-06,1.5923233327441721e-06
1813,3.3847480125359652e-06,2.1654333721699004e-06
1814,3.2379308390062533e-06,2.5204884792628945e-06
1815,3.1935125974769107e-06,2.4275011440977323e-06
1816,2.6374332460221694e-06,2.3106510660397817e-06
1817,2.7930308359458422e-06,2.607763068596114e-06
1818,3.6979491540023446e-06,2.569013609843296e-06
1819,2.961435393800116e-06,2.212019278857724e-06
1820,2.535867004382908e-06,2.661651755886396e-06
1821,3.0827011983092234e-06,2.510734809391124e-06
1822,3.5129758657603816e-06,2.2206740197816544e-06
1823,2.967770878825604e-06,2.7276216556515465e-06
1824,2.752019703677888e-06,2.4581228750264472e-06
1825,3.0484444017986334e-06,2.2357020981189635e-06
1826,2.805343047640463e-06,2.3464470046974384e-06
1827,3.2039241801840035e-06,2.0195045165039005e-06
1828,3.0020940897657056e-06,1.8518876387929595e-06
1829,3.2749532152820393e-06,1.7343535319014336e-06
1830,3.222894797261233e-06,1.6938984597203444e-06
1831,4.0007034911582195e-06,1.5123470404887485e-06
1832,3.7302125157623323e-06,1.6614802831327324e-06
1833,4.814155886379012e-06,1.8174713360963324e-06
1834,3.110265744510343e-06,1.982654312726595e-06
1835,3.806502121506128e-06,1.7379975929543434e-06
1836,2.7373615081316416e-06,2.038403476234407e-06
1837,3.3655317466241286e-06,1.8890673558757953e-06
1838,3.2791682169630576e-06,1.8381015092217012e-06
1839,2.9154452469981607e-06,1.8024022629958836e-06
1840,2.9867470612288116e-06,1.9013521086463925e-06
1841,3.1569836771438986e-06,1.6231147199619045e-06
1842,2.960357287307147e-06,1.9386886300765127e-06
1843,2.984171503683797e-06,1.6226284884623965e-06
1844,3.0132201809252024e-06,1.8776368229111995e-06
1845,3.1840780287950565e-06,1.8303147815146303e-06
1846,3.3522874929303725e-06,1.8207498904132535e-06
1847,2.8972396854953786e-06,1.772213291673097e-06
1848,2.8616852807417104e-06,1.8447693221901318e-06
1849,3.248699144364764e-06,1.7345388485523472e-06
1850,2.825580084575563e-06,1.698606856948004e-06
1851,3.3221058104437873e-06,1.4607978240377406e-06
1852,3.4011089322660837e-06,1.842484330438765e-06
1853,3.696625697102718e-06,1.4888025550163775e-06
1854,3.664502229661082e-06,1.5987059462929665e-06
1855,3.744044054343476e-06,1.5130077741787318e-06
1856,3.5986641719887302e-06,1.6204602459879425e-06
1857,4.2073725019520225e-06,1.4961825733905698e-06
1858,3.873833929191051e-06,1.380016605878609e-06
1859,4.611981612612226e-06,1.670742067361175e-06
1860,4.119007746439252e-06,1.4935351480005465e-06
1861,3.6874119793139926e-06,1.441670143265128e-06
1862,3.82718618041622e-06,1.4597614157452199e-06
1863,3.674542448095508e-06,1.553826590949825e-06
1864,3.6171427453268734e-06,1.2893023857429853e-06
1865,3.7061691671169683e-06,1.3904017919230682e-06
1866,3.5197844674428325e-06,1.421245524824144e-06
1867,3.5323615446003487e-06,1.3646106111764311e-06
1868,3.5329979581888438e-06,1.2576919434792444e-06
1869,3.425300214132676e-06,1.58519033277571e-06
1870,3.923236146619047e-06,1.5596613103241452e-06
1871,3.2256515467565805e-06,1.0929191063269172e-06
1872,3.2159749991933495e-06,1.2638938624576213e-06
1873,4.123159801139309e-06,9.457887308883528e-07
1874,3.550112662509264e-06,9.666917648587514e-07
1875,3.733296491503779e-06,9.623608718811738e-07
1876,4.018786015080877e-06,1.0647032109289967e-06
1877,3.7486169475187125e-06,1.1330582836421854e-06
1878,3.6820324211817024e-06,9.946378618508334e-07
1879,3.814662775880606e-06,1.2524116659307083e-06
1880,3.3039072224738675e-06,1.108362045698641e-06
1881,3.977118396392143e-06,9.963713285543463e-07
1882,3.624522761924709e-06,9.304228250073265e-07
1883,3.839630316804232e-06,7.753829081025287e-07
1884,3.39525268344687e-06,1.032505362985603e-06
