year,voudrez_VERB être_VERB,voudrez_VERB mettre_VERB
1800,6.288328968651058e-09,0.0
1801,5.9529565277216534e-08,7.143547975374531e-09
1802,2.9091921760482364e-08,2.2378401354217203e-09
1803,2.7304748684287006e-08,1.1702034896643454e-08
1804,1.2359254952798437e-08,7.4155526164076946e-09
1805,4.5486043376286034e-08,5.685755422035754e-09
1806,3.1698359492793315e-08,2.881669125542885e-09
1807,8.540865792383556e-09,0.0
1808,1.1330369531492579e-08,1.5862518409903714e-08
1809,2.259030518203531e-09,2.259030518203531e-09
1810,5.148278958699848e-08,4.680253518074551e-09
1811,2.5070768572277302e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,3.4508900625951355e-08,2.8757416448144113e-09
1814,3.1466771410748606e-09,9.440030979135372e-09
1815,1.3486118000116676e-08,2.697223555614414e-09
1816,9.270415546325239e-09,2.3176038865813098e-09
1817,2.6466848268569265e-08,3.269434145636296e-08
1818,1.668964877410417e-08,2.384235475716423e-09
1819,1.7596784473994376e-08,1.6561680027393777e-08
1820,1.898636980968149e-08,1.4239777357261119e-08
1821,1.4792232327920374e-08,1.0847637454958203e-08
1822,3.909990198280866e-08,4.010246357211145e-09
1823,1.581229902569703e-08,3.9530747564242574e-09
1824,2.3579115548955087e-08,5.052667617633233e-09
1825,1.937197424695114e-08,9.68598712347557e-09
1826,2.2019960965735663e-08,1.2331177856594877e-08
1827,1.566936447261469e-08,8.295545583791863e-09
1828,1.559291185060374e-08,3.668920500743411e-09
1829,1.628903412154159e-08,1.2859763920403111e-08
1830,2.7135772739939057e-08,5.218417697960831e-09
1831,3.1182412207897414e-09,1.5591206103948707e-09
1832,6.764984572527055e-09,5.411987746839486e-09
1833,9.266902800675325e-09,1.1583628278799551e-08
1834,4.947301235347368e-08,2.8003592777992026e-09
1835,4.0840674842002045e-08,6.806779140333674e-09
1836,1.344150035720304e-08,1.4785650037651976e-08
1837,1.87863058442872e-08,1.3915782304252389e-08
1838,2.7773513266993177e-08,1.3886756633496589e-08
1839,1.1885507689157748e-08,1.11863602825224e-08
1840,1.9109066329292546e-08,6.369688665408546e-10
1841,1.5409316489467528e-08,2.5682194149112547e-09
1842,2.95163662400455e-08,9.391571076378114e-09
1843,2.4809025944705354e-08,3.5441467538532834e-09
1844,2.5796238034558883e-08,1.097712254427563e-09
1845,1.5066614622583074e-08,5.580227946389016e-10
1846,1.2879903366069811e-08,6.439951683034906e-09
1847,8.089835468183537e-09,4.314578916364553e-09
1848,1.045878850192139e-08,3.218088684420195e-09
1849,1.4245005175439474e-08,0.0
1850,1.8330290174617403e-08,6.1100964288129944e-09
1851,2.3217978650791338e-08,5.159551008659946e-09
1852,1.5625309046640723e-08,3.2552727180501506e-09
1853,2.5679307569248522e-08,5.971931837933653e-09
1854,1.7665259477439577e-08,1.558699391779328e-09
1855,1.539011762474729e-08,1.5920811335945473e-09
1856,1.7084724746041502e-08,5.694908100650764e-09
1857,1.7085282522089074e-08,9.763018171682347e-10
