year,ces_DET effets_NOUN,ces_DET méfaits_NOUN
1800,8.102511969809711e-06,6.288328968651058e-09
1801,5.795798358576576e-06,0.0
1802,5.829573524351872e-06,0.0
1803,6.607749185150169e-06,0.0
1804,7.684984552724927e-06,4.943701892301533e-09
1805,6.376574674504809e-06,0.0
1806,6.414595532078238e-06,0.0
1807,5.041957308549172e-06,1.4234775136401367e-08
1808,5.332072191777115e-06,0.0
1809,5.460076579311135e-06,0.0
1810,5.071054829386412e-06,1.6380887757350138e-08
1811,4.164254448824067e-06,0.0
1812,6.689358201583673e-06,3.7340914360584065e-08
1813,6.985176639773272e-06,0.0
1814,4.8490295512237935e-06,9.440030979135372e-09
1815,7.282503815986274e-06,5.394447111228828e-09
1816,5.288772115363827e-06,2.3176038865813098e-09
1817,4.859001705881383e-06,3.113746815941454e-09
1818,4.541968564808485e-06,3.5763532135746345e-09
1819,4.306036714751826e-06,6.210630232317271e-09
1820,4.373984893391025e-06,5.933240565525466e-09
1821,4.355819498869096e-06,2.3667571014129862e-08
1822,4.302994284444139e-06,5.012807946513931e-09
1823,3.945168714380998e-06,9.882686669016039e-09
1824,5.223616028615652e-06,2.7789671008804362e-08
1825,3.313488122103081e-06,3.5221771055304885e-08
1826,4.249852509019547e-06,9.688783109140786e-08
1827,4.412308783230401e-06,4.055600300034712e-08
1828,4.104604897747777e-06,2.8434133270138773e-08
1829,4.259153911334579e-06,3.8579290873030914e-08
1830,4.518106379691744e-06,5.7402597564149005e-08
1831,3.989789661318355e-06,2.182768810143898e-08
1832,4.573129672280629e-06,4.058990787925154e-08
1833,4.221074220822629e-06,3.243415902520752e-08
1834,4.087591207735386e-06,3.640467127752345e-08
1835,3.8359982568181294e-06,6.201732105637348e-08
1836,3.6460069168242626e-06,4.637317374545091e-08
1837,3.759348430776299e-06,5.287997151270929e-08
1838,3.237507769426884e-06,5.428459193268509e-08
1839,4.028488035601185e-06,4.544459031308179e-08
1840,3.7441029689944116e-06,7.707323418371104e-08
1841,4.010916768493189e-06,9.052973393153252e-08
1842,3.7599825191136915e-06,6.574099487011154e-08
1843,3.902105561337521e-06,7.147362213189012e-08
1844,3.5609786550594436e-06,1.037338056564252e-07
1845,3.750471194052807e-06,1.0825642293710303e-07
1846,3.6461834724832443e-06,9.835561987081576e-08
1847,4.045996263357665e-06,9.222412167275706e-08
1848,3.4900171499430144e-06,5.309846429213394e-08
1849,3.431370345197138e-06,1.2652916225874833e-07
1850,3.979709390478092e-06,8.011015228959195e-08
1851,4.104422714590328e-06,8.319776156895387e-08
1852,3.550851488398621e-06,1.061218899423011e-07
1853,3.6697521750284068e-06,8.420424002508753e-08
1854,3.300805701655918e-06,4.780011375604687e-08
1855,3.2733188390920986e-06,1.0030111141645648e-07
1856,3.3791514510994602e-06,5.9019956644146276e-08
1857,3.1524784844805254e-06,1.1276285882821924e-07
1858,3.4069771572831087e-06,5.970284711054319e-08
1859,3.3623620652178943e-06,1.247582439578565e-07
1860,3.1527642363471386e-06,1.5333565883679512e-07
1861,3.426147713980754e-06,1.1318313097863353e-07
1862,2.967865128766789e-06,9.939569881045607e-08
1863,3.0686949799019203e-06,1.1987090253740007e-07
1864,3.0825305543658033e-06,1.3281396427089476e-07
1865,2.9205970122347935e-06,7.907498617010233e-08
1866,2.7403131639403e-06,1.3039842716722205e-07
1867,3.2707950481380976e-06,1.499518731407079e-07
1868,3.4421042300891713e-06,1.249788126322926e-07
1869,2.896415253417217e-06,1.5334250491605417e-07
1870,3.149713052152947e-06,9.403839840160799e-08
1871,2.9006434374423407e-06,1.5613130344149795e-07
