year,aux_ADP eaux_NOUN,aux_ADP mots_NOUN
1800,3.361111790667337e-06,2.785729769527734e-06
1801,2.771696440362348e-06,1.8049364207683993e-06
1802,3.0389869323244056e-06,2.3609214565567527e-06
1803,3.5242629508047685e-06,5.696941073551898e-06
1804,3.8115940714789076e-06,2.9612774703480227e-06
1805,3.5933974196211693e-06,2.2743020791082813e-06
1806,3.942123427691513e-06,2.3226253773600547e-06
1807,2.7359237684265736e-06,2.4626161980734196e-06
1808,2.984419516849357e-06,4.212631651512311e-06
1809,3.535382673724996e-06,9.27557894669917e-06
1810,3.3908437382379475e-06,4.174786155886068e-06
1811,2.9458152894790146e-06,2.434371555892767e-06
1812,3.7740995573187774e-06,5.2944082113981494e-06
1813,3.3847480125359652e-06,4.724843539749557e-06
1814,3.2379308390062533e-06,3.0113699303058183e-06
1815,3.1935125974769107e-06,5.488849781798422e-06
1816,2.6374332460221694e-06,3.659496549346386e-06
1817,2.7930308359458422e-06,3.241410404086764e-06
1818,3.6979491540023446e-06,2.6798806196381975e-06
1819,2.961435393800116e-06,2.7316421764567167e-06
1820,2.535867004382908e-06,2.8396490208137948e-06
1821,3.0827011983092234e-06,2.560042460686418e-06
1822,3.5129758657603816e-06,2.500388646353713e-06
1823,2.967770878825604e-06,2.742445538217453e-06
1824,2.752019703677888e-06,2.5684393705205366e-06
1825,3.0484444017986334e-06,4.280325953232023e-06
1826,2.805343047640463e-06,5.353492916526648e-06
1827,3.2039241801840035e-06,7.809795249613671e-06
1828,3.0020940897657056e-06,8.005584689385614e-06
1829,3.2749532152820393e-06,5.322227636384014e-06
1830,3.222894797261233e-06,3.5704415779491683e-06
1831,4.0007034911582195e-06,2.533571063167983e-06
1832,3.7302125157623323e-06,2.728994843437249e-06
1833,4.814155886379012e-06,2.9341331355681177e-06
1834,3.110265744510343e-06,2.5679295276859193e-06
1835,3.806502121506128e-06,2.7317872621779316e-06
1836,2.7373615081316416e-06,2.3455418443063536e-06
1837,3.3655317466241286e-06,2.3844692833563386e-06
1838,3.2791682169630576e-06,2.4869918888725806e-06
1839,2.9154452469981607e-06,3.0622661384427374e-06
1840,2.9867470612288116e-06,2.5083833108396902e-06
1841,3.1569836771438986e-06,2.494383210205342e-06
1842,2.960357287307147e-06,2.419000416864492e-06
1843,2.984171503683797e-06,2.7337184178577445e-06
1844,3.0132201809252024e-06,2.4879649060949305e-06
1845,3.1840780287950565e-06,2.669581100178675e-06
1846,3.3522874929303725e-06,2.4401562228604234e-06
1847,2.8972396854953786e-06,2.5375117331805086e-06
1848,2.8616852807417104e-06,2.5165452939290844e-06
1849,3.248699144364764e-06,3.2880823255254654e-06
1850,2.825580084575563e-06,2.7407176261817767e-06
1851,3.3221058104437873e-06,2.3824226786928193e-06
1852,3.4011089322660837e-06,2.524789508129288e-06
1853,3.696625697102718e-06,2.189310116307297e-06
1854,3.664502229661082e-06,1.8953783964548165e-06
1855,3.744044054343476e-06,2.2708384719294372e-06
1856,3.5986641719887302e-06,2.066734005268245e-06
1857,4.2073725019520225e-06,1.7685707192072186e-06
1858,3.873833929191051e-06,2.2119416414057014e-06
1859,4.611981612612226e-06,1.962523633380897e-06
1860,4.119007746439252e-06,1.7461956574038595e-06
1861,3.6874119793139926e-06,1.990608254232029e-06
1862,3.82718618041622e-06,2.279324043286124e-06
1863,3.674542448095508e-06,1.9369139536706825e-06
1864,3.6171427453268734e-06,2.0415952448615826e-06
1865,3.7061691671169683e-06,1.571615307227603e-06
1866,3.5197844674428325e-06,1.9511107964831353e-06
1867,3.5323615446003487e-06,1.9304484339954797e-06
1868,3.5329979581888438e-06,2.1384714088412693e-06
1869,3.425300214132676e-06,2.137516226241587e-06
1870,3.923236146619047e-06,2.2007278985824996e-06
1871,3.2256515467565805e-06,2.1284839419877244e-06
1872,3.2159749991933495e-06,2.3917226172898154e-06
1873,4.123159801139309e-06,1.9298878868312386e-06
1874,3.550112662509264e-06,1.9232266410540433e-06
1875,3.733296491503779e-06,2.036863666177169e-06
1876,4.018786015080877e-06,1.9794651571203303e-06
1877,3.7486169475187125e-06,2.050266495245978e-06
1878,3.6820324211817024e-06,1.890838632334635e-06
1879,3.814662775880606e-06,1.931768686347368e-06
1880,3.3039072224738675e-06,2.1262324523263487e-06
1881,3.977118396392143e-06,1.934870802244859e-06
1882,3.624522761924709e-06,1.8095991958233526e-06
1883,3.839630316804232e-06,2.036090915424893e-06
1884,3.39525268344687e-06,1.9059099045648509e-06
1885,3.6933492033597304e-06,2.0735609460587057e-06
1886,3.4371147457079587e-06,2.3787468279579116e-06
1887,3.7286687710746946e-06,2.321032809504686e-06
1888,3.3586235552718335e-06,2.1697582859303566e-06
1889,3.472138734750274e-06,1.747346690450513e-06
1890,3.6737336674974586e-06,1.7821376303572833e-06
1891,3.140578314742015e-06,1.8599973863331343e-06
1892,3.5279188104198056e-06,1.810346347497216e-06
1893,3.449329160076786e-06,1.7157348146668028e-06
1894,3.5118477423878858e-06,1.736074107583363e-06
1895,3.2873672566324785e-06,1.5130796704454497e-06
1896,3.3837152635385337e-06,1.9230211769638572e-06
1897,3.165653367886989e-06,1.782391667148886e-06
1898,3.2614757063953448e-06,1.7218374104288614e-06
1899,3.372928309985923e-06,1.9551045848942294e-06
1900,3.1634277384284815e-06,1.7592479117922721e-06
1901,3.0631878296105697e-06,1.8571379101217644e-06
1902,2.8243951923911936e-06,1.5104032762280895e-06
1903,3.4285998609107082e-06,1.7637119320568218e-06
1904,3.286045743067234e-06,1.7182676650406847e-06
1905,3.0236887518242384e-06,1.936316820660977e-06
1906,3.360181295875009e-06,1.89357434621229e-06
1907,2.879992280213628e-06,1.913652067031535e-06
1908,3.0941751774093973e-06,2.0509960236836378e-06
1909,3.0101382684222244e-06,1.75866445673023e-06
1910,3.3903293044090788e-06,1.7988410938585275e-06
1911,2.9544037545292667e-06,1.7312497071486632e-06
1912,3.0068778951175545e-06,1.8269440111851054e-06
1913,2.7899029930722463e-06,1.8931672869371141e-06
1914,2.698787728405705e-06,1.9862542011139794e-06
1915,2.220673532615791e-06,1.7706485309076925e-06
1916,2.2172698876943286e-06,1.6909703965950484e-06
1917,2.071557680949354e-06,1.5802617241433836e-06
1918,2.064101794374551e-06,1.5736335825522474e-06
1919,2.204358924728922e-06,1.7679068857745506e-06
1920,2.267883445483676e-06,1.9498496683922895e-06
1921,2.3990464246281817e-06,1.8068575613483517e-06
1922,2.7563966220611746e-06,1.8452217034337082e-06
1923,2.380095640575064e-06,2.1943165720017532e-06
1924,2.5615658660882445e-06,2.172238623643352e-06
