year,ces_DET oies_NOUN,ces_DET mois_NOUN
1800,1.6978488659447066e-07,4.873454901854757e-07
1801,1.2620267497709392e-07,3.214596624445676e-07
1802,8.727576528144709e-08,4.274274658655486e-07
1803,7.411289004721766e-08,9.420138304960801e-07
1804,1.1617699158250616e-07,7.217804771642022e-07
1805,2.2743021688143017e-08,4.6054618252355795e-07
1806,2.305335300434308e-08,7.434706361664212e-07
1807,6.547996900252429e-08,3.5017547617144373e-07
1808,1.3823051503436545e-07,8.883010131910396e-07
1809,3.6144488291256494e-08,6.596369246381073e-07
1810,1.6380887757350138e-08,6.154533593871747e-07
1811,5.515568934910675e-08,6.468257964797886e-07
1812,2.6672082320544632e-09,4.720958663995134e-07
1813,2.8757416448144113e-09,7.448170720181224e-07
1814,0.0,4.1850807264154355e-07
1815,1.8880564667256294e-08,4.3695020579548327e-07
1816,1.622322720606917e-08,4.009454599440687e-07
1817,4.203558356952186e-08,5.402350993222171e-07
1818,2.2650237241350624e-07,4.136648605879145e-07
1819,3.1053151161586356e-09,8.570669365326467e-07
1820,1.1866481131050932e-08,5.066987469604101e-07
1821,1.9722976807301507e-08,4.082656026582754e-07
1822,4.0102463572111446e-08,5.33362779719937e-07
1823,1.2847493069401139e-08,2.905509930428707e-07
1824,4.210556348027694e-09,3.2168649610753164e-07
1825,6.516027784009282e-08,4.6933012498584503e-07
1826,2.906634755106552e-08,3.954784979498527e-07
1827,1.474763688946723e-08,4.018730912491719e-07
1828,1.3024667566696735e-07,4.2284309031970224e-07
1829,6.858540846366168e-09,3.9350877223398584e-07
1830,6.992679768558219e-08,3.945124049664628e-07
1831,4.365537531469954e-08,3.430065262932658e-07
1832,1.3529969367098715e-09,3.7478015713077184e-07
1833,8.108540172635514e-09,5.027294704973428e-07
1834,4.387229601832132e-08,5.479369384886468e-07
1835,6.882410019670715e-08,5.165589058719888e-07
1836,2.9571300075303952e-08,5.51101511092611e-07
1837,2.435261814426326e-08,4.3765133028728087e-07
1838,5.680945602826171e-08,4.689936403678985e-07
1839,5.523265411699896e-08,4.201876500076196e-07
1840,1.9109066218270243e-08,5.528889737149711e-07
1841,2.6966304744746594e-08,5.052971729924138e-07
1842,9.391571076378114e-09,4.863492044648865e-07
1843,1.063243981747064e-08,7.602194713740573e-07
1844,1.756339607084101e-08,6.097791356296511e-07
1845,2.2320911785556063e-08,5.535586140581472e-07
1846,2.3418005756781213e-08,5.737411399309167e-07
1847,4.314578827546711e-08,6.099735756492919e-07
1848,4.1835152453373325e-08,4.66622847028475e-07
1849,1.256912218750017e-08,4.5919192714904966e-07
1850,2.4440385715251978e-08,6.048995224716691e-07
1851,7.094382636907426e-09,5.68195531513993e-07
1852,3.776116352938175e-08,6.556119060974197e-07
1853,3.5234398509942366e-08,6.174977364992174e-07
1854,4.78001130344019e-08,6.026970993389114e-07
1855,4.2455496895854594e-08,6.145432962512132e-07
1856,3.313401081284084e-08,6.238513030609738e-07
1857,2.3919394687155204e-08,5.579564898994249e-07
1858,1.5170395550878624e-08,5.412405421623134e-07
1859,2.2405563404603868e-08,4.873209782374488e-07
1860,2.1512764458719857e-08,5.05321118282609e-07
1861,1.4147891413962554e-08,4.635792407725603e-07
1862,2.48489247234307e-08,5.267972262856802e-07
1863,1.548332484446746e-08,6.223297290830487e-07
1864,1.7261020501813107e-08,5.31255835767297e-07
1865,1.6473956032658776e-08,5.342268458718991e-07
1866,2.8707117127879656e-08,5.634379718344462e-07
1867,2.135237053835226e-08,5.046923874374443e-07
1868,3.062721931623713e-08,4.238412003587655e-07
1869,2.5882651910613674e-08,4.063087928329878e-07
1870,1.834895568819661e-08,4.243196229936075e-07
1871,1.0621176826930423e-08,4.5140004445443083e-07
1872,1.5118347462816928e-08,3.918675766101387e-07
1873,2.2148216927142528e-08,3.7292807419930796e-07
1874,2.8080662239915455e-08,4.361464593927167e-07
1875,1.4303817685856757e-08,3.793372567173492e-07
1876,1.8138044621807126e-08,3.4945964166865906e-07
1877,1.1751150386096754e-08,4.273708000823717e-07
1878,1.932508364443919e-08,3.5932577624464557e-07
1879,2.5659166347224982e-08,3.4090033729228253e-07
1880,2.695495404658743e-08,3.895632776362845e-07
1881,1.4642266288333872e-08,3.639648973319254e-07
1882,1.7304001120876933e-08,3.5672863596403204e-07
1883,2.4013488364449387e-08,3.899032208209974e-07
1884,3.1027976632458376e-08,3.545111333380646e-07
1885,1.5469525438405185e-08,3.5064256920236403e-07
1886,2.2587123282846733e-08,3.839811029138218e-07
1887,3.852065377785152e-08,3.9173546539927884e-07
1888,3.360525724360741e-08,3.886796768881595e-07
1889,2.255449160770695e-08,3.514741582222314e-07
1890,1.7696843102044113e-08,3.4476071597566715e-07
1891,4.0157585701194876e-08,3.677925075606936e-07
1892,3.259626435436758e-08,3.5542466392257666e-07
1893,2.0322774685332945e-08,4.1261390215652227e-07
1894,1.260307880279754e-08,3.793526630602173e-07
1895,9.629782971032341e-09,3.9241366955877766e-07
1896,2.9485144881213898e-08,3.9687006392341573e-07
1897,7.57472740087195e-09,3.927204978992904e-07
1898,2.602843285348655e-08,4.300349623065358e-07
1899,1.0502398950507086e-08,3.7753361503689575e-07
1900,1.661137050135153e-08,3.716794143571178e-07
1901,2.235495566438317e-09,3.7947536313254204e-07
1902,1.8659078726557254e-08,2.9117983224580257e-07
1903,9.720396265677778e-09,3.801755070753643e-07
1904,2.2573425795258117e-08,4.041718266734051e-07
1905,9.289366220688322e-09,4.0511959475963977e-07
1906,6.687439879637935e-09,3.6266501624027114e-07
1907,2.571421719999023e-08,4.3508453728691165e-07
1908,1.4243027868232616e-08,4.543034890502895e-07
1909,1.8153245739949142e-08,4.38978499772702e-07
1910,1.0688301244066167e-08,4.5799370518295746e-07
1911,1.4897047262429908e-08,3.8253490153294933e-07
1912,2.865181703004538e-08,3.7559926013841505e-07
1913,2.1742258216050914e-08,3.9878482205324417e-07
1914,1.339348720819089e-08,4.292612736378487e-07
1915,1.4136914638918086e-08,8.376121769515521e-07
1916,1.4283700444650549e-08,8.020847062084613e-07
1917,1.754627876326964e-08,6.316660350336178e-07
1918,1.378365155346728e-08,6.22561614704864e-07
1919,1.2890988054792274e-08,6.104803702555728e-07
1920,2.8774480576032602e-08,5.361140296145095e-07
1921,1.5902769490150348e-08,4.604230348093097e-07
1922,2.1396013683006032e-08,5.05388587868083e-07
1923,1.4862327812892318e-08,4.893952194606754e-07
1924,1.8048273875415077e-08,5.156649525162038e-07
1925,1.319781373076978e-08,5.213136198278789e-07
1926,2.1177663178661987e-08,5.060346843777097e-07
1927,1.6723837870102898e-08,4.861062130601113e-07
1928,1.3711249469139375e-08,4.924623908664216e-07
1929,1.559656914729146e-08,5.158007887473559e-07
1930,1.6805765667982087e-08,5.083744056832984e-07
1931,1.4826963656844327e-08,4.881492721153791e-07
1932,1.4247397928102146e-08,5.381132570647651e-07
1933,2.5235457501437963e-08,5.620624641267113e-07
1934,3.5944740517379614e-09,4.792632068983949e-07
1935,1.4361940969820353e-08,5.134393816774718e-07
1936,1.9399543305098632e-08,5.104504623432149e-07
1937,5.036447148221157e-09,5.968189764615772e-07
1938,9.075649898271365e-09,4.161833970783846e-07
1939,1.3764645423464117e-08,5.536446501253067e-07
1940,1.2678914584896006e-08,5.832300562502724e-07
1941,2.066051907334554e-08,5.843975330321882e-07
1942,6.068423541449874e-09,7.069713312546355e-07
1943,2.3225881884414434e-08,6.154858898099747e-07
1944,0.0,6.394240443796662e-07
1945,1.3071024262956144e-08,7.385128988346423e-07
1946,1.1136883415474585e-08,6.167049129146562e-07
1947,1.549713202209091e-08,5.304787435989056e-07
1948,1.087188805648509e-08,5.609893864999549e-07
1949,8.835307596655184e-09,5.016491435583248e-07
1950,1.0635361258337639e-08,6.18978058142261e-07
1951,1.4925962243950153e-08,4.829614965728979e-07
1952,1.2653764258629963e-08,4.439362548680492e-07
1953,1.0773827607835074e-08,4.91286538562008e-07
1954,1.563605800392054e-08,5.599663310817959e-07
1955,1.1262729415761896e-08,5.396724276351961e-07
1956,1.5698054856017052e-08,5.285011610567381e-07
1957,2.0320586824329467e-08,4.868105811794976e-07
1958,2.0680608225909225e-08,5.054340501686738e-07
1959,2.712761748568937e-08,5.061238326220519e-07
1960,1.3841666590685975e-08,5.522824935155768e-07
1961,2.779263619245853e-08,5.245860439373473e-07
1962,1.331810878246742e-08,5.175036505988828e-07
1963,1.422531736849919e-08,5.444416757427462e-07
1964,9.734349160073208e-09,4.696823587835297e-07
1965,1.1491290807796872e-08,5.510347733661547e-07
