year,dix_DET archers_NOUN,dix_DET marchés_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,2.4616241489638924e-08,2.2378401354217203e-09
1803,1.950339223455444e-09,0.0
1804,4.943701892301533e-09,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,0.0
1807,1.1387820464392462e-08,0.0
1808,1.5862518409903714e-08,0.0
1809,0.0,0.0
1810,2.3401267590372754e-09,0.0
1811,1.2535384286138651e-08,0.0
1812,1.600324850414836e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,1.2586708564299443e-08,3.1466771410748606e-09
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,7.784366928831332e-09,0.0
1818,0.0,0.0
1819,0.0,8.280840013696888e-09
1820,4.865257352548724e-08,0.0
1821,1.577838126820552e-08,0.0
1822,5.413832582235045e-08,0.0
1823,3.162459805139406e-08,6.917880934764753e-09
1824,2.2737005167527968e-08,8.421112696055388e-10
1825,1.2327619813845558e-08,8.805443041381977e-10
1826,3.435113882233054e-08,0.0
1827,1.6591091167583727e-08,6.452091305675367e-09
1828,5.503380862137419e-09,9.172301251858528e-10
1829,1.0287811491593857e-08,0.0
1830,4.174734336004349e-09,0.0
1831,0.0,1.5591206103948707e-09
1832,1.2176972763455751e-08,0.0
1833,4.6334514003376626e-09,4.6334514003376626e-09
1834,1.6802156110884425e-08,5.600718555598405e-09
1835,4.764745398233572e-08,0.0
1836,4.838939915430274e-08,0.0
1837,2.7831564608504777e-08,0.0
1838,5.807188863116153e-08,2.5248647617104325e-09
1839,7.690622361167243e-09,0.0
1840,1.2739377552861697e-08,6.369688665408546e-10
1841,1.4767261191650505e-08,0.0
1842,1.8112315203211438e-08,0.0
1843,2.9534556134080958e-08,0.0
1844,1.5367971784030487e-08,0.0
1845,1.6182660544927785e-08,1.1160455670733427e-08
1846,5.854501328173001e-09,3.5127007969038004e-09
1847,4.853901280910122e-09,0.0
1848,1.126331028444838e-08,1.126331028444838e-08
1849,8.379414939696517e-10,3.3517659758786067e-09
1850,1.3577992064028876e-08,0.0
1851,8.384270167027807e-09,6.449438760824933e-10
1852,1.3021090872200602e-09,0.0
1853,1.0749477752369785e-08,0.0
1854,1.4028294081924741e-08,0.0
1855,2.7065379271107304e-08,1.5920811335945473e-09
1856,1.7602443946884705e-08,0.0
1857,3.3682413413949064e-08,4.393358121745905e-09
1858,7.829881631948865e-09,1.468102750479261e-09
1859,2.036869339860914e-09,8.656694916453489e-09
1860,1.4189270369779905e-08,3.204028820036342e-09
1861,5.659156698811785e-09,4.715963730639317e-10
1862,1.626475087945778e-08,0.0
1863,1.0488703461319915e-08,0.0
1864,1.9178911792039344e-09,3.835782358407869e-09
1865,9.413688495385486e-09,2.3534221238463715e-09
1866,1.556996132023869e-08,4.865612912574591e-10
1867,8.73506067478047e-09,4.85281148598915e-10
1868,8.397785578040384e-09,5.9278488784286765e-09
1869,7.325278605918584e-09,6.8369265804335555e-09
1870,1.834895613228582e-08,0.0
1871,4.248470908407853e-09,0.0
1872,1.2094678591978436e-09,1.2094678591978436e-09
1873,9.577607151811662e-09,2.9930022904522957e-09
1874,8.961913877669758e-09,0.0
1875,1.6592428764283795e-08,3.432916173551348e-09
1876,9.673623679873344e-09,6.04601479992084e-10
1877,1.0514186854493346e-08,5.566334504436554e-09
1878,7.850815109122777e-09,3.0195443923020093e-09
1879,7.942122737247814e-09,2.443730107160036e-09
1880,3.2089231272180996e-09,5.134277003548959e-09
1881,1.8825771164188154e-08,6.972507571312292e-10
1882,3.3276925659464496e-09,1.9966155395678697e-09
1883,2.0221884611260066e-08,2.5277355764075082e-09
1884,2.2445769687351458e-08,5.941527270181268e-09
1885,1.6758653131887513e-08,0.0
1886,1.0325542199041138e-08,0.0
1887,1.3057849246322917e-09,2.6115698492645834e-09
1888,1.2047167707862627e-08,0.0
1889,1.0024218788373673e-08,6.265136742733546e-10
1890,1.0487018364813139e-08,0.0
