year,meilleurs_ADJ archers_NOUN,meilleurs_ADJ marchés_NOUN
1800,3.144164484325529e-09,1.8864987794131594e-08
1801,4.7623651688866175e-09,4.7623651688866175e-09
1802,4.475680270843441e-09,3.1329761895904085e-08
1803,3.900678446910888e-09,9.751696339321825e-09
1804,0.0,3.213406074564773e-08
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,8.540865792383556e-09,1.1387820464392462e-08
1808,2.2660739951163578e-09,0.0
1809,6.7770917766551975e-09,6.7770917766551975e-09
1810,4.680253518074551e-09,1.6380887757350138e-08
1811,1.504245972228091e-08,0.0
1812,0.0,0.0
1813,8.627225156487839e-09,0.0
1814,0.0,9.440030979135372e-09
1815,2.6972236000233352e-08,2.697223555614414e-09
1816,6.952811659743929e-09,4.6352077731626196e-09
1817,1.2454987263765815e-08,1.556873407970727e-09
1818,1.1921177378582115e-09,8.344824387052086e-09
1819,1.7596784473994376e-08,9.315945348475907e-09
1820,8.306536791735653e-09,0.0
1821,1.972297702934611e-08,9.86148829262845e-10
1822,1.604098542884458e-08,3.0076847679083585e-09
1823,9.882686891060644e-10,1.9765373782121287e-09
1824,8.421112696055388e-09,1.6842225392110777e-09
1825,1.4969252504215547e-08,1.1447076175841175e-08
1826,9.688783109140786e-09,0.0
1827,3.6869092223668076e-09,1.3825909306319772e-08
1828,2.109629271274116e-08,0.0
1829,5.143905745796928e-09,5.143905745796928e-09
1830,5.218417697960831e-09,7.305785310052215e-09
1831,5.14509785887185e-08,6.236482441579483e-09
1832,1.8941957335982806e-08,1.3529969367098715e-09
1833,1.2741991461950875e-08,2.3167257001688313e-09
1834,5.600718555598405e-09,3.733812370398937e-09
1835,1.739510224751939e-08,3.781543966852041e-09
1836,1.747394939854985e-08,4.704525213838906e-09
1837,2.922314124020886e-08,6.957890930081589e-10
1838,4.418513555037862e-09,0.0
1839,6.292327547896548e-09,8.38977065598101e-09
1840,6.3696887764308485e-09,6.369688665408546e-10
1841,1.1556987367100646e-08,0.0
1842,2.0795621225033756e-08,2.0124795163667386e-09
1843,5.906910960362666e-09,5.906911071384968e-10
1844,1.5916826967554698e-08,1.6465683927435748e-08
1845,1.3950569588416784e-08,0.0
1846,9.367202125076801e-09,1.1709002656346001e-08
1847,1.1325769655456952e-08,5.3932236454556914e-09
1848,9.65426583121598e-09,8.045221711050488e-10
1849,1.0893239199560867e-08,8.379414939696517e-10
1850,3.394498016007219e-09,4.073397619208663e-09
1851,5.8044946626978344e-09,9.029214709244116e-09
1852,2.278690836021724e-08,1.3021090872200602e-09
1853,1.3735443005202796e-08,4.180352064508952e-09
1854,1.558699391779328e-09,6.754363734984281e-09
1855,9.552486801567284e-09,1.0613874223963649e-09
1856,0.0,1.0872097000458325e-08
1857,8.78671624349181e-09,1.7085282522089074e-08
1858,9.297984604472731e-09,7.34051397444091e-09
1859,2.34239969643113e-08,3.5645213447565993e-09
1860,6.408057640072684e-09,1.9681891672007623e-08
1861,7.073945429425521e-09,4.715963619617014e-09
1862,3.6143890103090826e-09,4.9697850279528666e-09
1863,1.9978483312144135e-09,1.4983863039219614e-09
1864,6.712618905169165e-09,1.4384183844029508e-09
1865,4.706844247692743e-09,5.6482134525026595e-09
1866,4.865612912574591e-10,5.352174259343201e-09
1867,4.367530337390235e-09,1.455843445796745e-09
1868,6.915823469455518e-09,2.4699371437009177e-09
1869,1.3673853160867111e-08,1.3185501579471293e-08
1870,2.8670243956696595e-09,1.3188312664169644e-08
1871,7.434824311758348e-09,2.0180236148803488e-08
1872,1.2094678591978436e-09,1.0280476914203973e-08
1873,2.9930022904522957e-09,2.454261860407314e-08
1874,4.182226565063729e-09,5.974609251779839e-09
1875,2.8607636259891933e-09,6.293679799540541e-09
1876,1.813804439976252e-09,3.627608879952504e-09
1877,0.0,9.895705588292003e-09
1878,6.039088673581716e-10,1.0870359723469392e-08
1879,5.498392852132383e-09,2.443730107160036e-09
1880,4.492492600149944e-09,4.492492600149944e-09
1881,2.091752326904839e-09,6.972507571312292e-10
1882,6.655385131892899e-10,7.320923423037584e-09
1883,3.791603475633565e-09,1.1374810426900694e-08
1884,1.0562715146988921e-08,9.902545450302114e-09
1885,1.933690763067375e-09,6.445635580831777e-09
1886,3.2267319927115068e-09,6.4534639854230136e-09
1887,1.3057849246322917e-09,9.140494583448344e-09
1888,6.340614699951175e-10,2.3460273723685532e-08
1889,6.265136742733546e-10,3.00726554769426e-08
1890,6.554386478008212e-10,7.865263995654459e-09
1891,6.374220040683554e-10,1.2748440081367107e-09
1892,2.5074049503359674e-09,6.268512375839919e-09
1893,6.158416554491453e-10,4.310891643655168e-09
1894,1.8904617871129403e-09,6.301539290376468e-09
1895,1.2037228991346183e-09,1.3842813118003505e-08
1896,5.89702897624278e-10,1.2973464080801023e-08
1897,3.4960281336537946e-09,8.157399200570126e-09
1898,4.52668391659472e-09,7.355861253444118e-09
1899,3.3165470370022376e-09,1.326618814800895e-08
1900,2.595526460424935e-09,1.661137005726232e-08
1901,5.588738916095792e-10,8.941982265753268e-09
1902,2.9461704187383475e-09,4.419255628107521e-09
1903,1.0800440541913758e-09,1.4040573148577096e-08
1904,4.837162670412454e-09,2.364835083312755e-08
1905,2.0643036169332163e-09,1.4966200723165457e-08
1906,0.0,1.4918134283448126e-08
1907,1.5428529565042481e-09,1.4399961223432456e-08
1908,9.822778146428846e-10,1.0313916831705683e-08
1909,1.1001967115120692e-09,7.701377313651392e-09
1910,3.206490406526541e-09,8.550641084070776e-09
1911,1.5961122423746588e-09,6.916486494645824e-09
1912,3.646594803896619e-09,9.376957876838787e-09
1913,5.302989602995467e-09,3.71209285532359e-09
1914,1.3393487430235496e-09,6.696743604095445e-09
1915,0.0,1.5314990164938536e-08
1916,0.0,2.197492321442951e-08
1917,0.0,2.1932848426331475e-08
1918,2.2972752589112133e-09,8.040463406189247e-09
1919,0.0,1.8415697411455767e-08
1920,1.514446346106979e-09,8.329454459499175e-09
1921,1.5145494858259667e-09,6.058197943303867e-09
1922,6.640141769764796e-09,1.1804696775641332e-08
1923,1.0615948120573648e-09,1.2739137744688378e-08
1924,1.289162443462999e-09,5.156649773851996e-09
1925,1.0998177923937646e-09,2.1996355847875293e-09
1926,1.114613823460786e-08,1.0031524944054127e-08
1927,3.3447675740205796e-09,6.689535148041159e-09
1928,2.2852082448565625e-09,5.713020723163709e-09
