year,chers_ADJ auteurs_NOUN
1800,0.0
1801,1.1905913144261149e-08
1802,2.9091921760482364e-08
1803,1.3262306453043493e-07
1804,7.4155526164076946e-09
1805,0.0
1806,1.4408345627714425e-08
1807,1.1387820464392462e-08
1808,1.8128591960930862e-08
1809,1.5813214071513926e-08
1810,1.6380886869171718e-08
1811,2.5070767684098882e-09
1812,1.0668832928217853e-08
1813,2.0130191291656274e-08
1814,3.1466771410748606e-09
1815,2.966945888971395e-08
1816,1.1588019432906549e-08
1817,7.784366928831332e-09
1818,1.5497530370112145e-08
1819,6.210629899250364e-09
1820,8.306536791735653e-09
1821,1.97229765852569e-09
1822,1.303330066093622e-08
1823,9.882686891060644e-09
1824,5.052667617633233e-09
1825,2.6416328680056722e-08
1826,8.807984341885344e-10
1827,4.608636472447358e-09
1828,9.172301251858528e-10
1829,1.714635211591542e-09
1830,3.1310507520032616e-09
1831,1.5591206103948707e-09
1832,4.058990921151917e-09
1833,0.0
1834,1.8669061851994684e-09
1835,1.0588323107185715e-08
1836,6.720750067579218e-10
1837,4.870523429012508e-09
1838,6.312161904276081e-10
1839,6.292327769941153e-09
1840,2.5478754661634184e-09
1841,6.420548537278137e-10
1842,1.475818312002275e-08
1843,1.1223130869097986e-08
1844,6.037417232818143e-09
1845,8.37034175305007e-09
1846,1.0538101946622191e-08
1847,5.393223645455691e-10
1848,8.045221711050488e-10
1849,5.865590679832167e-09
1850,6.788996032014438e-10
1851,6.449438760824933e-10
1852,4.557382027314816e-09
1853,1.0152284346531815e-08
1854,6.234797567117312e-09
1855,2.653468555990912e-09
1856,4.659470365098173e-09
1857,9.763018171682347e-10
1858,4.893676130990343e-09
1859,5.092173349652285e-09
1860,2.288591982591015e-09
1861,6.130753071875716e-09
1862,2.710791813242963e-09
1863,1.1487627737949424e-08
1864,3.835782358407869e-09
1865,1.4120533187167439e-08
1866,1.1190909532388105e-08
1867,5.338092634588065e-09
1868,5.9278488784286765e-09
1869,1.8069020057964735e-08
1870,2.8670243956696595e-09
1871,5.3105884134652115e-09
1872,1.8142017887967654e-09
1873,5.9860045809045914e-09
1874,6.572069999322139e-09
1875,9.7265964171811e-09
1876,1.6324239737741664e-08
1877,2.4739263970730008e-09
1878,1.0266450800600069e-08
1879,1.221865053580018e-09
1880,3.2089231272180996e-09
1881,1.3945015142624584e-09
1882,6.655385131892899e-09
1883,3.1596694705093853e-09
1884,2.6406787867472303e-09
1885,9.023890079618013e-09
1886,9.680196200179125e-09
1887,3.9173548849191775e-09
1888,1.0144983297877275e-08
1889,1.0650732740202784e-08
1890,1.3108772956016423e-09
1891,3.824531802365527e-09
1892,7.522214851007902e-09
1893,4.310891643655168e-09
1894,1.2603078580752936e-09
1895,6.6204757231957956e-09
1896,1.2973464080801023e-08
1897,2.0393496669157685e-08
1898,7.921697076085366e-09
1899,1.713549302451156e-08
1900,3.633737311048435e-09
1901,5.588738860584641e-09
1902,6.874397495693074e-09
1903,3.7801541896698154e-09
1904,6.987012746151322e-09
1905,7.2250627702885595e-09
1906,6.173021205313489e-09
1907,4.6285588695127444e-09
1908,1.1296195090437777e-08
1909,2.2003934230241384e-09
1910,8.01622590529405e-09
1911,1.5961122201701983e-08
1912,2.0837684910901544e-09
1913,4.772690687104841e-09
1914,4.018046340092951e-09
1915,7.068456930880984e-09
1916,8.789969641043172e-09
1917,1.0966424435210342e-09
1918,1.4932290071101306e-08
1919,0.0
1920,6.057785384427916e-09
1921,4.543648568500203e-09
1922,2.2133805899215986e-09
1923,6.369568872344189e-09
1924,3.867487219366694e-09
1925,2.1996355847875293e-09
1926,3.343841648018042e-09
1927,1.0034302277972529e-08
1928,4.570416489713125e-09
1929,1.1140406375176326e-09
1930,1.0503603542488804e-09
1931,1.1405356659111021e-08
1932,2.1919073223131136e-09
1933,9.176529536247813e-09
1934,5.990790086229936e-09
1935,1.196828414151696e-09
1936,9.699771652549316e-09
1937,6.295559185076627e-09
1938,1.2965214457594243e-09
1939,3.058810094103137e-09
1940,5.0715658339584024e-09
1941,1.4757512545315876e-08
1942,9.102635090130207e-09
1943,0.0
1944,0.0
1945,0.0
1946,5.568441707737293e-09
1947,5.960435700558264e-09
1948,2.174377566888097e-09
1949,2.945102384188658e-09
1950,1.0635361036293034e-08
1951,2.1322803522849654e-09
1952,1.0544803918932644e-09
1953,1.0773827385790469e-09
1954,0.0
1955,9.385607846468247e-10
1956,3.488456634670456e-09
1957,0.0
1958,8.272243334772611e-09
1959,5.425523585955716e-09
1960,4.152500121534786e-09
1961,2.08444772553662e-09
1962,1.2683912808952869e-09
1963,4.526237162849611e-09
1964,5.475571551727398e-09
1965,5.472043373977442e-10
1966,1.1078149508847446e-09
1967,5.423369253687582e-09
1968,4.491415656060482e-09
1969,1.0446043141598693e-08
1970,1.8394900047624674e-09
1971,0.0
1972,6.669190977248718e-09
1973,5.513203782392395e-09
1974,5.06301445213353e-09
1975,2.2845920710778955e-09
1976,4.570821499072508e-09
1977,9.402850942308305e-09
1978,6.534650598410963e-09
1979,2.925986564150662e-09
1980,3.97960553399912e-09
1981,3.795329828193417e-09
1982,3.7245013739806154e-09
1983,7.57837881337764e-09
1984,9.858314165001048e-09
1985,6.015558051686298e-09
1986,4.795588481876223e-09
1987,3.0554083707556856e-09
1988,3.597932174415064e-09
1989,3.292873196336643e-09
1990,2.724325487424295e-09
1991,7.6199047072123e-09
1992,8.264916362410446e-09
1993,3.877445031719162e-09
1994,5.274926717646622e-09
1995,8.133675954979935e-09
1996,7.473328844653793e-09
1997,5.753873266733933e-09
1998,3.337690346327804e-09
1999,6.398281460207045e-09
2000,6.1852442057031e-09
2001,3.5049695090716426e-09
2002,7.448076710936391e-09
2003,9.16723019717125e-09
2004,3.9643119897903034e-09
2005,2.251874686720612e-09
2006,8.23577994690794e-09
2007,4.393927360846206e-09
2008,4.683183729703444e-09
2009,4.76819250749827e-09
2010,6.613310343794865e-09
2011,3.441574775164824e-09
2012,4.425528637996834e-09
2013,1.9523875849358774e-09
2014,4.763979349897696e-09
2015,5.763096222466402e-09
2016,4.349814286541687e-09
2017,3.5218559735206156e-09
2018,4.6466399061806385e-09
2019,8.673358475874693e-09
