year,ses_DET oies_NOUN,ses_DET mois_NOUN
1800,1.8864987794131594e-08,3.772997425599556e-08
1801,5.714838380299625e-08,9.762848662830947e-08
1802,4.475680270843441e-09,6.713520406265161e-08
1803,0.0,1.0141763717719243e-07
1804,7.4155526164076946e-09,1.1370514663155973e-07
1805,5.685755422035754e-09,6.254330742194725e-08
1806,1.729001475325731e-08,2.0459850702536642e-07
1807,2.562259604488304e-08,9.679647172688988e-08
1808,6.798221985349073e-09,8.157866604463493e-08
1809,5.421673421324158e-08,2.4849335478194234e-08
1810,4.680253518074551e-09,9.360506680877734e-08
1811,2.757784400841956e-08,1.5794583196893086e-07
1812,1.0668832928217853e-08,5.067695596494559e-08
1813,0.0,5.1763349162570194e-08
1814,9.440030979135372e-09,3.1466771854837816e-08
1815,1.0788894222457657e-08,4.585280044544504e-08
1816,2.3176038865813098e-09,6.489290882427667e-08
1817,1.556873407970727e-09,8.718490962511538e-08
1818,3.5763532135746345e-09,5.602953501160357e-08
1819,0.0,6.831692955788782e-08
1820,1.6613073583471305e-08,6.289235177092678e-08
1821,9.861488403650753e-09,8.480880087091691e-08
1822,2.0051231786055723e-09,9.42407893944619e-08
1823,3.261286707356703e-08,3.063632925126569e-08
1824,1.9368560089105813e-08,3.2000227356832056e-08
1825,7.044354433105582e-09,5.3713202330385457e-08
1826,3.5231937367541377e-09,3.963592920541714e-08
1827,2.8573547083965423e-08,3.2260455640198415e-08
1828,1.3758452155343548e-08,5.503380862137419e-08
1829,8.57317605795771e-10,3.8579290539964006e-08
1830,7.305785310052215e-09,5.7402596231881375e-08
1831,1.091384405071949e-08,6.704218491471181e-08
1832,1.7588959622116818e-08,4.0589907102095424e-08
1833,8.108539617524002e-09,4.401778908036391e-08
1834,6.534171426153534e-09,7.560970316511373e-08
1835,2.0420337421001022e-08,4.840376277570613e-08
1836,1.68018754465038e-08,3.965242567627314e-08
1837,9.74104708006962e-09,6.33168089070324e-08
1838,8.2058102535143e-09,4.8603644886568986e-08
1839,7.690622583211848e-09,3.5656521735205615e-08
1840,8.280594876453051e-09,1.2038711777462296e-07
1841,2.5682194149112547e-09,5.264849889385914e-08
1842,4.695785538189057e-09,4.360372241052346e-08
1843,7.088293507706567e-09,9.155712193953391e-08
1844,1.0977122322231025e-08,4.061535463506516e-08
1845,1.339254718235594e-08,3.459741293454499e-08
1846,1.5807152919933287e-08,3.2199755972683874e-08
1847,7.011190739092399e-09,5.2314270249098627e-08
1848,1.045878850192139e-08,3.620349886546137e-08
1849,1.5920887719289567e-08,8.379414495607307e-09
1850,8.146795238417326e-09,4.955967014552698e-08
1851,1.870337307252612e-08,2.644269914142683e-08
1852,1.3672145193766028e-08,5.0131198747749295e-08
1853,1.2541057081705276e-08,4.658106766974868e-08
1854,2.0782657927931325e-08,5.351534293485116e-08
1855,1.3798036491152743e-08,3.767925349507095e-08
1856,2.174419400091665e-08,7.869327589560271e-08
1857,1.4644527368545823e-08,5.369660127652054e-08
1858,7.34051397444091e-09,5.774537603642216e-08
1859,2.6479302084325695e-08,8.707616361292025e-08
1860,2.380135608048839e-08,4.348324819658522e-08
1861,2.5466203590340797e-08,3.961409539288141e-08
1862,1.3553958982948089e-08,3.11741068514948e-08
1863,2.2975255475898848e-08,7.791608624962976e-08
1864,1.821996631345968e-08,5.4180424036154307e-08
1865,2.7299698113214532e-08,6.49544552588921e-08
1866,7.784980660119345e-09,7.152451009240224e-08
1867,5.338092634588065e-09,2.9602150064533816e-08
1868,1.1361710683388537e-08,2.914525609742924e-08
1869,1.9534076356464425e-08,3.711474505507795e-08
1870,7.454262984651905e-09,2.981705282678604e-08
1871,2.230447138096281e-08,2.3366590440332402e-08
1872,3.205089793567595e-08,8.708168908189151e-08
1873,8.979006871356887e-09,5.866284541466982e-08
1874,3.226288780577846e-08,4.002988163165355e-08
1875,3.2612703648737806e-08,5.149374260327022e-08
1876,5.441413541973361e-09,3.567148554317612e-08
1877,2.22653372405901e-08,5.1952453450354596e-08
1878,1.509772218355465e-08,3.3818895017745376e-08
1879,7.94212251520321e-09,5.070739872437002e-08
1880,1.3477476912271413e-08,5.070098607617979e-08
1881,2.6495528548942104e-08,4.950480303467231e-08
1882,1.5972924316542958e-08,3.660461711518792e-08
1883,1.7062215640351042e-08,4.1075701617820926e-08
1884,1.8484752395409032e-08,5.479408660136187e-08
1885,1.933690724209569e-08,3.738468745684287e-08
1886,3.033128009866104e-08,3.484870392256312e-08
1887,1.828098916689669e-08,4.1132226735740574e-08
1888,2.9800888867725916e-08,5.1993039651421213e-08
1889,1.50363277384713e-08,4.824155447336054e-08
1890,2.3595790488162294e-08,4.522526531047788e-08
1891,1.5298128430707436e-08,5.3543447675608036e-08
1892,2.570090096298827e-08,2.6954603438156255e-08
1893,1.539604177480669e-08,4.8035648847477574e-08
1894,1.5753848003896564e-08,3.7809236186348016e-08
1895,1.865770427045277e-08,3.9120995110053514e-08
1896,1.1794058174530164e-08,5.307326134129653e-08
1897,1.5149455578900017e-08,5.768446453835452e-08
1898,1.4711722506888236e-08,4.583267620983378e-08
1899,3.8693048765026106e-08,2.5426860617017155e-08
1900,2.855079306307573e-08,5.5544269628171605e-08
1901,7.824234593556412e-09,3.6326803176667255e-08
1902,2.160524809058373e-08,3.1425815283370184e-08
1903,1.7820727560291516e-08,3.1321277793594504e-08
1904,2.0961038238453966e-08,5.2671325079245435e-08
1905,7.225062881310862e-09,5.780050021941818e-08
1906,3.806696469155213e-08,5.9158121124003316e-08
1907,4.525702124169584e-08,2.1085658330477486e-08
1908,2.1610112144188065e-08,4.518477902948348e-08
1909,2.2003934396774838e-08,5.0058949319087276e-08
1910,2.672075316567657e-08,5.664799807014731e-08
