year,mêmes_ADJ eaux_NOUN,mêmes_ADJ maux_NOUN
1800,4.936338200423052e-07,1.8550569791386806e-07
1801,4.19088138414736e-07,2.1906879510424915e-07
1802,5.616979024125612e-07,1.208433673127729e-07
1803,5.265915774543828e-07,1.014176405078615e-07
1804,3.4605912446750153e-07,1.6314216111368296e-07
1805,2.2174445746259153e-07,1.6204403152642044e-07
1806,3.169836020333605e-07,1.7290014397985942e-07
1807,3.3024679169102455e-07,1.366538526781369e-07
1808,5.053345262240327e-07,1.540930298915555e-07
1809,4.0436646031594137e-07,1.0617443280125372e-07
1810,3.3931837606360205e-07,1.2870697219113936e-07
1811,3.860898232233012e-07,7.52123057168319e-08
1812,3.8141078562148323e-07,1.0668833283489221e-07
1813,2.933256553205865e-07,1.4378707646756084e-07
1814,2.5488085952929396e-07,1.7306724942045548e-07
1815,3.749140660147532e-07,1.3755840200246894e-07
1816,2.5261883251914696e-07,1.7382029682266875e-07
1817,2.95805961059159e-07,1.8526793610362802e-07
1818,4.92344611302542e-07,1.6689648418832803e-07
1819,2.6809220798895694e-07,1.7182742340082768e-07
1820,2.3258303372131195e-07,1.4358441546846734e-07
1821,2.337172730904058e-07,2.1498044588952325e-07
1822,3.839811029138218e-07,1.3634837614517892e-07
1823,2.154425686740069e-07,1.8282970870586723e-07
1824,2.5094917077694845e-07,1.9873826317962084e-07
1825,3.733507867309527e-07,1.9988355859368312e-07
1826,2.853786895684607e-07,2.0963003066754027e-07
1827,2.9956137836961716e-07,1.115290046982409e-07
1828,3.164443853620469e-07,1.449223532290489e-07
1829,3.052050772112125e-07,1.0373543091191095e-07
1830,3.80944499056568e-07,1.753388403358258e-07
1831,2.0736304406909767e-07,1.1693404644574912e-07
1832,2.4218644512075116e-07,9.470978312720035e-08
1833,3.741511989119317e-07,1.2278646011054661e-07
1834,3.6591362118088e-07,1.6148737813637126e-07
1835,3.509272801238694e-07,1.232783404248039e-07
1836,2.6412547526888375e-07,1.1559690449303162e-07
1837,3.4302402696084755e-07,1.3359149875213916e-07
1838,2.6132349262297794e-07,1.2687445405390463e-07
1839,2.86650475800343e-07,1.097661623816748e-07
1840,2.4013726829252846e-07,1.1338045879938363e-07
1841,2.349920720234877e-07,1.0272877659645019e-07
1842,2.3009349092717457e-07,1.0196562527653441e-07
1843,2.8707589194709726e-07,1.1991029680302745e-07
1844,3.507190626805823e-07,1.4325145514249016e-07
1845,2.3269549842552806e-07,1.2164896645572298e-07
1846,3.495137264053483e-07,9.601382089385879e-08
1847,2.335265776309825e-07,7.712309724183797e-08
1848,1.9630340375442756e-07,1.1504666730388635e-07
1849,2.2037860958334932e-07,9.803915190786938e-08
1850,2.3693596062912547e-07,1.1201843364005981e-07
1851,3.147326026464725e-07,7.481349229010448e-08
1852,2.4674966425664024e-07,9.635607511881972e-08
1853,2.974022095258988e-07,1.0928635418849808e-07
1854,2.8680068453468266e-07,1.3196988390973274e-07
1855,2.5950922122319753e-07,7.695058457102277e-08
1856,2.7542645852918213e-07,8.852993715890989e-08
1857,2.65554092493403e-07,8.298565745690212e-08
1858,1.986832529610183e-07,8.466059853162733e-08
1859,3.258990943777462e-07,1.1100937769015218e-07
