year,moindres_ADJ eaux_NOUN,moindres_ADJ mots_NOUN
1800,0.0,5.65949598296811e-08
1801,0.0,9.524730337773235e-09
1802,0.0,1.5664880947952042e-08
1803,0.0,2.9255089017965474e-08
1804,0.0,1.2359254952798437e-08
1805,0.0,5.970043304159844e-08
1806,1.4408345627714425e-08,4.610670600868616e-08
1807,0.0,9.394951661079176e-08
1808,0.0,4.5321479902327155e-09
1809,0.0,4.743964154840796e-08
1810,0.0,1.4040760554223652e-08
1811,0.0,2.5070767684098882e-09
1812,0.0,1.7870294755084615e-07
1813,0.0,4.601186631703058e-08
1814,0.0,3.1466771410748606e-09
1815,0.0,8.091670444798638e-09
1816,0.0,1.3905623319487859e-08
1817,0.0,3.113746771532533e-08
1818,0.0,9.536941902865692e-09
1819,0.0,4.7614829412623294e-08
1820,0.0,2.254631326081835e-08
1821,0.0,3.0570614484304315e-08
1822,0.0,3.909990198280866e-08
1823,9.882686891060644e-10,2.4706716672540097e-08
1824,0.0,6.400046004273463e-08
1825,0.0,4.3146670236637874e-08
1826,0.0,2.4662355713189754e-08
1827,0.0,3.871254605769536e-08
1828,0.0,2.2930752408001354e-08
1829,0.0,3.086343269842473e-08
1830,0.0,3.757260813586072e-08
1831,0.0,9.978371906527173e-08
1832,0.0,4.464889968858188e-08
1833,0.0,5.444305273272221e-08
1834,0.0,4.29388435918554e-08
1835,0.0,5.218530674255817e-08
1836,0.0,3.427582484505365e-08
1837,0.0,5.705470584871364e-08
1838,0.0,2.9667161172142187e-08
1839,0.0,3.985140750728533e-08
1840,0.0,3.05745047057826e-08
1841,0.0,3.146068650039524e-08
1842,0.0,3.152884531232303e-08
1843,0.0,2.4218335781256428e-08
1844,0.0,5.2690189988879865e-08
1845,0.0,3.124927516751086e-08
1846,0.0,1.5807152919933287e-08
1847,0.0,2.8044762956369595e-08
1848,0.0,2.413566591030758e-08
1849,0.0,1.9272654583346593e-08
1850,0.0,2.0366988096043315e-08
1851,0.0,2.579775504329973e-08
1852,0.0,2.7344290387532055e-08
1853,0.0,5.3150191803297275e-08
1854,4.1565315633818045e-09,3.636965217879151e-08
1855,0.0,3.3964397516683675e-08
1856,0.0,4.504154560436291e-08
1857,0.0,1.8061584228235006e-08
1858,0.0,5.334106845111819e-08
1859,0.0,5.397703617404659e-08
1860,0.0,6.31651388971477e-08
1861,1.8863854922557266e-09,3.3483342321005694e-08
1862,4.517986262886353e-10,4.9246050792817186e-08
1863,4.994620828036034e-10,4.694943456229339e-08
1864,0.0,2.828889478223573e-08
1865,0.0,5.130460323243824e-08
1866,0.0,5.011581194480641e-08
1867,4.85281148598915e-10,6.842464017609018e-08
1868,4.93987406535723e-10,5.335063946176888e-08
1869,0.0,5.860222884734867e-08
1870,1.7202146374017957e-09,5.103303379883073e-08
1871,0.0,2.442870794538976e-08
1872,0.0,4.172663992108028e-08
1873,0.0,2.993002112816612e-08
1874,0.0,3.943242177228967e-08
1875,0.0,4.062284375550007e-08
1876,6.04601479992084e-10,5.38095328295185e-08
1877,0.0,5.566334237983028e-08
1878,6.039088673581716e-10,5.193616203769125e-08
1879,0.0,8.125402928271797e-08
1880,0.0,6.096954052736692e-08
1881,0.0,5.159655458442103e-08
1882,1.3310770263785798e-09,5.989846840748214e-08
1883,1.8958017378167824e-09,3.159669503816076e-08
1884,0.0,5.479408571318345e-08
1885,6.445635691854079e-10,5.9299846810745294e-08
1886,0.0,4.001147502208369e-08
1887,0.0,4.504957828999068e-08
1888,3.1703073499755874e-09,6.467426771905593e-08
