year,divers_DET arbres_NOUN,divers_DET marbres_NOUN
1800,2.421006684016902e-07,0.0
1801,1.2144030847593967e-07,0.0
1802,7.384872446891677e-08,2.9091921760482364e-08
1803,1.0141763873150467e-07,2.7304748684287006e-08
1804,1.4583920204813694e-07,0.0
1805,1.3077237781544682e-07,1.7057265822018053e-08
1806,1.729001475325731e-08,2.0171682990621775e-08
1807,7.68677872464707e-08,5.4092147649953404e-08
1808,9.744118045773575e-08,1.450287356874469e-07
1809,8.358412828535222e-08,1.7620438086396462e-07
1810,1.099859554543059e-07,7.020380277111826e-09
1811,5.0141535368197765e-08,0.0
1812,1.2002437088654005e-07,2.6672083208723052e-08
1813,1.3803559895109174e-07,2.8757416448144113e-09
1814,1.4160046646338742e-07,6.293354282149721e-09
1815,1.0788894400093341e-07,0.0
1816,1.0429217667251578e-07,9.270415546325239e-09
1817,7.472992624713015e-08,1.556873407970727e-09
1818,1.6689648552059566e-08,2.1458118837358597e-08
1819,5.589566853814176e-08,1.9666995143552413e-08
1820,3.9159388620646496e-08,4.746592452420373e-09
1821,2.5639868894700157e-08,3.944595405869222e-08
1822,6.215881853677274e-08,1.2030739071633434e-08
1823,8.499110748516614e-08,1.1859224269272772e-08
1824,1.035796870496597e-07,1.2631669044083083e-08
1825,6.780191341704267e-08,7.044354433105582e-09
1826,6.605988378538541e-08,1.3211976401805714e-08
1827,5.346018383534101e-08,4.608636583469661e-09
1828,7.521286704559316e-08,2.5682442839070063e-08
1829,8.744639501401252e-08,1.457439946506156e-08
1830,1.1271782796029584e-07,1.5655253093882493e-08
1831,1.1225668572478753e-07,1.5591206548037917e-08
1832,1.1906373331704856e-07,5.411987746839486e-09
1833,1.216281013682874e-07,1.3900354645102198e-08
1834,3.9205029445099626e-08,4.667265329771908e-08
1835,6.882410019670715e-08,8.31939672707449e-09
1836,9.20742788679263e-08,2.4866776193732676e-08
1837,5.4967340012979093e-08,1.3915782082207784e-08
1838,4.292270050498814e-08,2.5248647173015115e-08
1839,4.1249702764645235e-08,2.0974425751774106e-08
1840,4.77726651015864e-08,2.5478754661634184e-09
1841,4.494384109321459e-08,2.8250413564023802e-08
1842,6.037438549100216e-08,1.1404051036834062e-08
1843,4.489252392048115e-08,4.134837805480629e-09
1844,4.006649684251684e-08,1.5916826967554698e-08
1845,6.13825084094799e-08,1.0602432709561072e-08
1846,6.849766265304424e-08,1.8148954339380907e-08
1847,4.368510975183426e-08,9.707802561820245e-09
1848,4.98803736093123e-08,3.218088684420195e-09
1849,4.10591316502007e-08,8.379414495607307e-09
1850,4.20917745103111e-08,3.530277936647508e-08
1851,2.8377531435808123e-08,4.514607354622058e-09
1852,5.664174396180499e-08,1.3021090872200602e-08
1853,8.121827654861136e-08,9.555090940693844e-09
1854,6.026970833516998e-08,1.2469594690145414e-08
1855,5.996838936539461e-08,1.0083180512765466e-08
1856,5.953767501232221e-08,1.346069211649592e-08
1857,6.443592326377257e-08,1.1715622250108026e-08
1858,2.2510910357986802e-08,1.0276719919488642e-08
1859,4.68479939286226e-08,5.601390462572908e-09
1860,3.6617470111632855e-08,1.5562426014525954e-08
1861,5.093240784681541e-08,1.1789909493131745e-08
1862,5.7378425677434564e-08,9.035972858839614e-09
1863,5.893652527122484e-08,6.992469381295052e-09
1864,4.8426752830010855e-08,5.753673537611803e-09
1865,5.601144636990796e-08,8.001635798393636e-09
1866,6.130672258741754e-08,1.0704348518686402e-08
1867,6.308655109421579e-08,1.3102591012170706e-08
1868,1.1954494993915432e-07,3.951899252285784e-09
1869,4.785848606303489e-08,2.24641887314192e-08
1870,7.855646488863499e-08,1.1468097582678638e-08
1871,8.390730243945654e-08,6.37270636261178e-09
1872,4.89834498518249e-08,1.0885210954825197e-08
1873,8.140966012426532e-08,1.1373408881354408e-08
1874,5.556386495353394e-08,9.559374625212058e-09
1875,4.577221801582709e-08,8.010138330405425e-09
1876,4.776351758550845e-08,9.673623679873344e-09
1877,5.504486244589657e-08,1.608052180301911e-08
1878,7.850815597620908e-08,1.0266450800600069e-08
1879,6.048231893096556e-08,3.665595160740054e-09
1880,6.867095692086878e-08,8.984985200299889e-09
1881,4.6715799728591634e-08,9.761510710859511e-09
1882,5.523969548448804e-08,1.3310770263785798e-09
1883,5.434631411560531e-08,1.2638677659992936e-08
1884,6.535679819563711e-08,5.941527270181268e-09
1885,5.285421178502503e-08,5.156508553483263e-09
1886,3.484870458869693e-08,9.680196200179125e-09
1887,7.181817096579834e-08,3.9173548849191775e-09
1888,4.184805546536552e-08,1.0779045211961602e-08
1889,6.014531422904312e-08,5.6386229019267375e-09
1890,4.9157899362217705e-08,1.9663159989136147e-09
1891,5.2268603667471325e-08,4.461953917456185e-09
1892,1.0531100969046747e-07,6.268512375839919e-09
1893,6.096832572133337e-08,1.847525021858587e-09
1894,7.687878111894975e-08,5.671385139294216e-09
1895,8.064943557428705e-08,0.0
1896,5.3662963628298144e-08,9.435246139943843e-09
1897,1.0488084078996707e-07,3.496028022631492e-09
1898,7.299277626771072e-08,1.6975064687230201e-09
1899,6.798921781125955e-08,9.949641111006713e-09
1900,1.0641659098364897e-07,6.7483690857628176e-09
1901,6.259387341778222e-08,1.676621730339889e-09
1902,8.445688326474965e-08,4.910283846193408e-10
1903,8.640352455735467e-08,1.0800440541913758e-09
1904,4.192207825326477e-08,1.0749250378694342e-09
1905,5.2123667826364795e-08,0.0
1906,5.555719306826745e-08,4.115347618238729e-09
1907,4.885701088142014e-08,4.1142746431965804e-09
1908,4.469363901193901e-08,8.840499887696751e-09
1909,6.436150812305641e-08,3.300590023513905e-09
1910,5.985448581213859e-08,6.947395991829808e-09
