year,anciens_ADJ archers_NOUN,anciens_ADJ marchés_NOUN
1800,0.0,9.432493897065797e-09
1801,0.0,4.7623651688866175e-09
1802,0.0,2.0140561218795483e-08
1803,0.0,2.3404069793286908e-08
1804,0.0,0.0
1805,0.0,3.980028751016107e-08
1806,0.0,2.881669125542885e-09
1807,0.0,1.1387820464392462e-08
1808,0.0,9.064295980465431e-09
1809,0.0,0.0
1810,0.0,7.020380277111826e-09
1811,0.0,3.259199843341776e-08
1812,1.3336041604361526e-08,1.0668832928217853e-08
1813,0.0,8.627225156487839e-09
1814,0.0,1.5733386149463513e-08
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,1.0898113522728181e-08
1818,0.0,1.668964877410417e-08
1819,0.0,2.070210003424222e-09
1820,0.0,2.3732962262101864e-09
1821,0.0,1.2819934447350079e-08
1822,2.3058916553964082e-08,1.804610860745015e-08
1823,0.0,7.906149512848515e-09
1824,1.6842225392110777e-09,2.4421225930382207e-08
1825,0.0,2.201360693732113e-08
1826,0.0,1.9377566218281572e-08
1827,0.0,8.295545583791863e-09
1828,0.0,6.420610709767516e-09
1829,8.57317605795771e-10,1.714635211591542e-09
1830,1.0436835840010872e-09,2.0873671680021744e-09
1831,0.0,0.0
1832,1.3529969367098715e-09,4.058990921151917e-09
1833,0.0,8.108539617524002e-09
1834,0.0,3.173740381612333e-08
1835,0.0,1.0588323107185715e-08
1836,5.376600054063374e-09,8.736974699274924e-09
1837,0.0,1.3915782304252389e-08
1838,6.312161904276081e-09,1.199310784016916e-08
1839,0.0,1.3283802502428443e-08
1840,0.0,2.1019973317493168e-08
1841,0.0,7.0626033910059505e-09
1842,1.341653010911159e-09,2.817471411731276e-08
1843,0.0,3.366939355098353e-08
1844,0.0,5.653217982626302e-08
1845,5.580227946389016e-10,5.30121653241622e-08
1846,0.0,1.8734404250153602e-08
1847,1.0786447290911383e-09,3.128069803182143e-08
1848,0.0,2.494018680465615e-08
1849,6.703531951757213e-09,1.75967720394965e-08
1850,2.0366988096043315e-09,1.0183494048021657e-08
1851,1.2898877521649865e-09,7.094382858952031e-09
1852,6.510545436100301e-10,3.059956199535918e-08
1853,5.971931837933653e-10,2.09017620989016e-08
1854,2.5978321716024766e-09,7.79349651480743e-09
1855,0.0,2.388121700391821e-08
1856,0.0,1.1907535402144731e-08
1857,1.4644527812635033e-09,5.3696598834029885e-09
1858,0.0,6.8511463169329545e-09
1859,2.036869339860914e-09,5.601390462572908e-09
1860,1.4646988510946812e-08,1.0069804545764782e-08
1861,3.772770984511453e-09,5.659156532278331e-09
1862,4.066187830886747e-09,1.4005757498214422e-08
1863,1.2486552236623538e-08,2.8469338886338846e-08
1864,6.712618905169165e-09,1.4384183621984903e-08
1865,0.0,2.9182434246877165e-08
1866,1.4596839292835284e-09,1.751620715140234e-08
1867,2.426405742994575e-09,2.4749338578544666e-08
1868,1.4819622196071691e-09,3.013323279787983e-08
1869,1.4650557433881772e-09,1.7580668809635824e-08
1870,1.7202146374017957e-09,1.834895613228582e-08
1871,4.248470908407853e-09,0.0
1872,0.0,2.237515595027162e-08
1873,1.7958012854535355e-09,1.3169209722718733e-08
1874,0.0,3.1067965977626955e-08
1875,0.0,2.8607634816602e-08
1876,0.0,1.5115036333668286e-08
1877,0.0,1.1751150275074451e-08
1878,0.0,2.0532901601200138e-08
1879,0.0,1.649517855639715e-08
1880,1.2835692508872398e-09,3.4014584260333436e-08
1881,6.972507571312292e-10,1.8825771164188154e-08
1882,2.6621540527571597e-09,2.9283693692150337e-08
1883,0.0,2.6541224329434954e-08
1884,0.0,3.30084857225188e-08
1885,6.445635691854079e-10,2.4493415295978593e-08
1886,2.5813855497602844e-09,3.3558012257906e-08
1887,0.0,2.415702127223085e-08
1888,3.804368819970705e-09,2.9166827175686194e-08
1889,0.0,2.8819629349641218e-08
1890,1.3108772956016423e-09,2.2940351840361473e-08
1891,0.0,2.932141229816665e-08
1892,1.8805537127519756e-09,2.9462007944403013e-08
1893,6.158416554491453e-10,1.23168328869383e-08
1894,0.0,1.3863386882917439e-08
1895,0.0,2.8287487907618925e-08
1896,5.89702897624278e-10,1.6511680911435178e-08
1897,2.9133566670225264e-09,2.505486840220783e-08
1898,1.13167097914868e-09,3.508180057565369e-08
1899,0.0,4.753717419703207e-08
1900,1.5573159428683425e-09,5.1391424449320766e-08
1901,0.0,3.968004591570207e-08
1902,4.910283846193408e-10,5.40131225301721e-08
1903,5.400220270956879e-10,3.996162933894709e-08
1904,5.374625189347171e-10,5.535864033845428e-08
1905,4.1286072338664326e-09,4.076999682300908e-08
1906,5.144184633820714e-09,4.372556716703002e-08
1907,5.142843373384665e-10,2.5714216533856415e-08
1908,9.822778146428846e-10,6.090122184332358e-08
1909,0.0,4.7858556229130045e-08
1910,0.0,4.80973554317643e-08
1911,0.0,4.4159105594410164e-08
1912,0.0,2.6568049094066737e-08
1913,0.0,3.181793672979438e-08
1914,0.0,4.419850796466562e-08
1915,1.1780761921542648e-09,4.005458986711119e-08
1916,0.0,8.68009495391675e-08
1917,0.0,4.605898240583883e-08
1918,0.0,5.972916028440522e-08
1919,2.762354567309444e-09,4.788081003903599e-08
1920,0.0,5.149117532354808e-08
1921,0.0,5.14946840723951e-08
1922,0.0,7.304156213194801e-08
1923,0.0,5.520293200333981e-08
1924,2.578324886925998e-09,2.9650736976805092e-08
1925,1.0998177923937646e-09,4.7292164850887275e-08
1926,0.0,6.576221522891501e-08
1927,0.0,4.9056588125040435e-08
1928,0.0,2.2852082892654835e-08
1929,1.1140406375176326e-09,2.6736975744512392e-08
1930,1.0503603542488804e-09,3.466189113510154e-08
1931,0.0,3.5356606531422585e-08
1932,0.0,5.8085543486186e-08
1933,0.0,4.3588517684156614e-08
1934,0.0,4.7926318913482646e-08
1935,0.0,6.582556455470012e-08
1936,0.0,3.394919900756577e-08
1937,0.0,7.051026074123001e-08
1938,0.0,3.1116513810047763e-08
1939,3.058810094103137e-09,1.3764645423464117e-08
1940,0.0,2.5357829613881222e-08
1941,0.0,2.066051862925633e-08
1942,0.0,3.944475324146879e-08
1943,0.0,1.7419411690866582e-08
1944,0.0,1.6065930807940276e-08
1945,0.0,4.1391576388605245e-08
1946,0.0,5.0115975369635635e-08
1947,0.0,2.8610090296865565e-08
1948,0.0,1.9569398546082084e-08
1949,2.945102384188658e-09,2.6505922789965553e-08
1950,0.0,4.1477910883713776e-08
1951,0.0,6.183613265875465e-08
1952,0.0,2.319856839960721e-08
1953,0.0,2.693456835345387e-08
1954,0.0,2.443134050622575e-08
1955,0.0,2.3464020060259827e-08
1956,0.0,2.1802854632824165e-08
1957,8.835037701437898e-10,1.8553580005686854e-08
1958,0.0,3.805232007270121e-08
1959,0.0,2.712761748568937e-08
1960,6.920833350854139e-10,2.1454582610491713e-08
1961,2.08444772553662e-09,2.4318557112490424e-08
1962,2.5367825617905737e-09,3.4880759613997725e-08
1963,6.466053248388448e-10,1.681173777967615e-08
1964,0.0,2.6769461314302134e-08
1965,2.188817349590977e-09,1.586892572902343e-08
1966,0.0,2.1602390987141007e-08
1967,0.0,2.465167803222812e-08
1968,4.042274071025531e-09,1.8414805680322388e-08
1969,4.5417578031781147e-10,1.7712855182594467e-08
1970,0.0,2.5292987260172595e-08
1971,0.0,1.490135304038631e-08
1972,2.0520587451500205e-09,2.0007572487656944e-08
1973,0.0,2.205281468548037e-08
1974,1.1251143350321513e-09,1.4626486688484874e-08
1975,0.0,2.798625331479343e-08
1976,1.142705374768127e-09,2.4568166168137395e-08
1977,5.876781838942691e-10,1.9393379346865913e-08
1978,1.1881182704343018e-09,1.841583241457556e-08
1979,0.0,1.053355236368958e-08
1980,0.0,2.2172087332794632e-08
1981,6.325549528618524e-10,1.2651098835192442e-08
1982,6.207502289967692e-10,8.690503427999374e-09
1983,0.0,3.157657957331139e-08
1984,0.0,1.9716628330002095e-08
1985,1.2031116103372597e-09,2.1656008541981464e-08
1986,0.0,1.6784559520033326e-08
1987,6.110816852533674e-10,2.3221103262471843e-08
1988,0.0,1.3192418713003917e-08
1989,1.6464366536794728e-09,2.250130037850795e-08
1990,5.44865097484859e-10,2.3429199913493903e-08
1991,5.861465202094962e-10,2.6376593353916178e-08
1992,1.1019888335184191e-09,2.314176583695371e-08
1993,0.0,2.3818591543545153e-08
1994,0.0,1.5824779708850656e-08
1995,0.0,1.9520823513197172e-08
1996,0.0,1.975094043871195e-08
1997,4.79489448146353e-10,1.6782131240233866e-08
1998,0.0,1.5734826774860267e-08
1999,9.140402323914998e-10,1.690974471557638e-08
2000,4.4180314962005696e-10,1.5463109903635086e-08
2001,4.3812117822561447e-10,1.4896120420493375e-08
2002,4.38122149670761e-10,1.4896152755738967e-08
2003,0.0,1.6250998768896352e-08
2004,0.0,8.80958239690699e-09
2005,0.0,1.261049931144953e-08
2006,0.0,1.8530505130343045e-08
2007,7.988958938831558e-10,1.1983438241713884e-08
2008,4.257439678578834e-10,1.1069342775726909e-08
2009,9.53638501499654e-10,1.0966842545201416e-08
2010,0.0,2.3146585093059002e-08
2011,0.0,1.3766299211681599e-08
2012,0.0,1.327658516458996e-08
2013,5.578250084070646e-10,1.1156499724052082e-08
2014,0.0,1.017759210242275e-08
2015,4.433150790905671e-10,1.1526191917576867e-08
2016,1.0356699942093428e-09,1.4706514228635115e-08
2017,1.0062445321423752e-09,1.1068690242144186e-08
2018,2.5814667070633845e-10,1.0325866384164328e-08
2019,2.55098775436835e-10,1.7346716063570966e-08
