year,leurs_DET airs_NOUN,leurs_DET mères_NOUN
1800,1.886498623981936e-07,1.713569645289681e-06
1801,1.381085894536227e-07,1.583486465506212e-06
1802,7.832440473976021e-08,1.660477408904626e-06
1803,1.8918290400904425e-07,2.0342039217524643e-06
1804,1.9033252973699177e-07,2.3532022126460106e-06
1805,1.421438877713399e-07,1.6261260284977652e-06
1806,2.564685619432794e-07,1.39472786031547e-06
1807,1.5942949005420815e-07,1.5743662125089486e-06
1808,1.4049658503267892e-07,1.8309878377920086e-06
1809,1.0391540516963005e-07,1.8795133849280887e-06
1810,1.0296557917399696e-07,1.8346593968487923e-06
1811,1.0780430415024966e-07,1.1933685577503184e-06
1812,2.667208214290895e-07,1.3736122355112457e-06
1813,2.0705339420779012e-07,1.515515871464146e-06
1814,1.5104050810066383e-07,1.217764040717384e-06
1815,1.537417375629957e-07,1.5562980397731963e-06
1816,1.0429217844887262e-07,2.0070450723608246e-06
1817,1.588010940523077e-07,1.4432216453030833e-06
1818,5.364529886975333e-08,1.8823538994183764e-06
1819,8.591371281063687e-08,1.6799754067875483e-06
1820,2.5038275097699625e-07,1.774038917545795e-06
1821,1.4200543052567127e-07,1.3470792570302592e-06
1822,8.72228582693424e-08,1.7715263140871684e-06
1823,1.353928098524193e-07,1.3746817835169622e-06
1824,1.5494847005470547e-07,1.424010141803933e-06
1825,1.6025906202088436e-07,1.6219626317592883e-06
1826,1.5149733556540923e-07,1.6021722952785922e-06
1827,9.770309539192112e-08,1.7245518133535143e-06
1828,9.997808092521154e-08,1.4455547159286652e-06
1829,1.1830983304150777e-07,1.568033852095141e-06
1830,1.7012042263786498e-07,1.579093249048924e-06
1831,9.510636012066698e-08,1.3829400324905095e-06
1832,1.5694764599061273e-07,1.2650521750146027e-06
1833,2.2588075054841283e-07,1.5452559889439499e-06
1834,1.7455573164681937e-07,1.598071749597807e-06
1835,1.406734426723233e-07,1.529256330456974e-06
1836,1.0148332352244438e-07,1.5303148170886516e-06
1837,1.0158520957759265e-07,1.6984211370640878e-06
1838,9.405121303984743e-08,1.453690833486121e-06
1839,9.088917574118227e-08,1.4577225329048815e-06
1840,8.981260979368244e-08,1.656119023252245e-06
1841,9.502411835171642e-08,1.273836820470109e-06
1842,1.09344717280635e-07,1.5891879563412203e-06
1843,9.74640315121178e-08,1.5098065162533203e-06
1844,1.1416207801318023e-07,1.5335039780239867e-06
1845,4.185171054160719e-08,1.2901486781125016e-06
1846,9.133021894314197e-08,1.3008701564842795e-06
1847,6.417936226910115e-08,1.5300575810783812e-06
1848,7.964769821455775e-08,1.2550545438472227e-06
1849,8.128032291665477e-08,1.353275523641173e-06
1850,4.8880770542325536e-08,1.4277258761907774e-06
1851,4.6435958633850305e-08,1.2686045636201015e-06
1852,1.6211258824228025e-07,1.320989625241964e-06
1853,9.73424918448984e-08,1.5031351878747046e-06
1854,9.248282384355377e-08,1.1747397223871303e-06
1855,1.1356845419641104e-07,1.5066394745133493e-06
1856,1.1027413204800496e-07,1.4097486324970987e-06
1857,1.0007093553809909e-07,1.1417849616890408e-06
1858,1.04235298392652e-07,1.3261862239488664e-06
1859,1.2883198241553373e-07,1.39423708311881e-06
1860,9.566314140840859e-08,1.3763591981685863e-06
1861,7.969978632615948e-08,1.3482940088849205e-06
1862,7.861296413835817e-08,1.3413901047698573e-06
1863,7.841554694465458e-08,1.3485476113572759e-06
1864,1.0212770273909655e-07,1.317111725462894e-06
1865,1.0119715088130476e-07,1.200715955107512e-06
1866,9.244664234131506e-08,1.1998601507912099e-06
1867,9.268870115874961e-08,1.2660984936019304e-06
1868,1.0620729096189052e-07,1.2705356056130768e-06
1869,1.8215526154108375e-07,1.2418789321344548e-06
1870,9.518521082441112e-08,1.2511694533756668e-06
1871,6.266494922968491e-08,1.264982167015205e-06
1872,9.494322972258828e-08,1.0649364945436446e-06
1873,7.72194583831265e-08,1.03378299165513e-06
1874,1.0276327522262818e-07,9.577298234475506e-07
1875,7.895707676564001e-08,9.74376045626002e-07
1876,8.94810217033637e-08,1.0266133507741415e-06
1877,7.792867950939808e-08,1.0953308944294804e-06
1878,1.0266450534146543e-07,1.050801424540282e-06
1879,1.1118971743329098e-07,1.1968167861198253e-06
1880,8.086486347202992e-08,1.0621535402322024e-06
1881,1.0737661404469634e-07,9.154902596009151e-07
1882,1.118104702158007e-07,9.803382337025823e-07
1883,1.1438003311159406e-07,8.878671469148003e-07
1884,1.181703774832954e-07,8.258723172005489e-07
1885,8.572695131547903e-08,8.250413650046085e-07
1886,9.873799999837729e-08,7.595727193887569e-07
1887,9.989254978748363e-08,7.429916344392495e-07
1888,7.735549889531512e-08,8.36961135952663e-07
1889,8.833842990441099e-08,9.303728161214053e-07
1890,8.061895417910137e-08,7.930807406353324e-07
1891,8.732681422429778e-08,7.34310169114849e-07
1892,1.0029619978979554e-07,6.707308344289231e-07
1893,9.9766346517427e-08,7.414733449451205e-07
1894,9.830401559440816e-08,6.956899398780081e-07
1895,9.328852534906673e-08,7.396877066412344e-07
1896,1.0083919566028499e-07,8.597868070836512e-07
1897,9.905413378419325e-08,7.265911863285623e-07
1898,9.73237049839426e-08,7.276644318210401e-07
1899,8.954677177541726e-08,7.263237762344943e-07
1900,5.5544270072260815e-08,7.153271175397435e-07
1901,6.482937253693422e-08,7.293304147282242e-07
1902,7.46363142400952e-08,6.619062542512211e-07
1903,9.342380824506336e-08,6.680072246467716e-07
1904,7.954445280233813e-08,6.551668318977022e-07
1905,5.728442398211797e-08,7.570833240322372e-07
1906,1.0751345680404256e-07,7.181281711510223e-07
1907,7.611408170404843e-08,6.870838999972761e-07
1908,8.74227243929937e-08,7.106779751353542e-07
1909,9.131632561221181e-08,7.51984455149568e-07
1910,1.1115833142838483e-07,7.984161243257404e-07
1911,8.086969005560718e-08,7.565572186507552e-07
1912,8.439262089154909e-08,7.965205268689601e-07
1913,1.198475674257793e-07,6.994643566571312e-07
1914,1.0112083170810138e-07,7.172212654893428e-07
1915,6.832842192050492e-08,1.112103876543813e-06
1916,9.998590799753515e-08,1.1712634773175523e-06
1917,6.68951898319392e-08,1.0626464881369202e-06
1918,8.155327257952649e-08,9.614096736498823e-07
1919,1.2798909510003398e-07,7.927957597075874e-07
1920,1.0979736009275598e-07,7.148186753624941e-07
1921,8.405749696294151e-08,6.800327234657288e-07
1922,1.2690049133734504e-07,6.861479970865503e-07
1923,9.554353530560888e-08,6.741126945541964e-07
1924,1.0055467192238154e-07,6.445812434918707e-07
1925,8.908524051776112e-08,7.819704705980257e-07
1926,1.0811754602713108e-07,6.754560164523582e-07
1927,1.0703256236865855e-07,6.555744329617141e-07
1928,9.940655920637198e-08,5.57590802863217e-07
1929,1.2254447256943024e-07,6.951613400474344e-07
1930,9.348207452575252e-08,6.05007576481853e-07
1931,1.1633463614657558e-07,5.451760642927184e-07
1932,8.110057425625428e-08,5.140022620864215e-07
1933,5.7353312543639845e-08,5.115915548969951e-07
1934,7.308763727564838e-08,5.667287332755677e-07
1935,8.138433482685059e-08,6.28334916541462e-07
1936,8.123559069872499e-08,6.159355265822342e-07
1937,6.547381470323188e-08,4.822398320669663e-07
1938,7.649476430060531e-08,5.393529036723521e-07
1939,6.117620365841958e-08,5.964679532510786e-07
1940,6.085878911932241e-08,5.62943794468751e-07
1941,1.6233264865661567e-07,6.257185507507756e-07
1942,7.58552971547033e-08,5.279528423329793e-07
1943,9.580676185727555e-08,6.416150046817393e-07
1944,1.0603514510876266e-07,6.619163599452804e-07
1945,9.149717072887142e-08,7.385128810710739e-07
1946,9.744773166175946e-08,5.526678545919594e-07
