year,nos_DET yeux_NOUN
1800,1.3702268873316825e-05
1801,1.178209149088616e-05
1802,9.240042260216796e-06
1803,1.0352400678925733e-05
1804,1.034716825643045e-05
1805,1.0720491424365264e-05
1806,1.086389291060641e-05
1807,9.508830103754917e-06
1808,1.1658950370474486e-05
1809,8.905097843125986e-06
1810,1.2830914585038045e-05
1811,8.218197663723004e-06
1812,8.932480156431666e-06
1813,1.0576977913956398e-05
1814,1.0604302318029113e-05
1815,1.0440952635804024e-05
1816,1.0628531470047164e-05
1817,1.1243739422184262e-05
1818,1.1334655880546052e-05
1819,1.095555158769912e-05
1820,1.0494716008224714e-05
1821,1.274202922729728e-05
1822,1.0748462756282606e-05
1823,9.387563906670948e-06
1824,1.1414818217758693e-05
1825,1.110894731937151e-05
1826,1.049383278939331e-05
1827,9.785057443423284e-06
1828,1.0599511199416156e-05
1829,1.0458417335712511e-05
1830,1.1697605714289239e-05
1831,1.0639438997372963e-05
1832,1.1097281159777594e-05
1833,1.2620363676774105e-05
1834,1.164856138302639e-05
1835,1.1613877489935476e-05
1836,1.0860060143613737e-05
1837,1.0456318179308255e-05
1838,1.00666353972656e-05
1839,1.0630538305633763e-05
1840,1.0036718137484968e-05
1841,1.2080261640790013e-05
1842,1.2005782224377981e-05
1843,1.2522651289259557e-05
1844,1.2167591151523993e-05
1845,1.1453417599227578e-05
1846,1.170549030860002e-05
1847,1.0977367459474863e-05
1848,1.1494208294493546e-05
1849,1.2313549888176567e-05
1850,1.184476163018644e-05
1851,1.0849245882127434e-05
1852,1.1594630684896856e-05
1853,1.1530606279563926e-05
1854,1.3347662203955224e-05
1855,1.2729749883533259e-05
1856,1.291915818057987e-05
1857,1.1972877388188863e-05
1858,1.2492086867155194e-05
1859,1.2371435218483384e-05
1860,1.2894384795458791e-05
1861,1.3321182748882165e-05
1862,1.2249164186073358e-05
1863,1.304644928268317e-05
1864,1.3764704846153109e-05
1865,1.3062905210858844e-05
1866,1.1889612153481721e-05
1867,1.2295083038793564e-05
1868,1.2181729601934421e-05
1869,1.2334792458545962e-05
1870,1.2445753000633886e-05
1871,1.201786186300069e-05
1872,1.2294845859628367e-05
1873,1.1223159617657075e-05
1874,9.806723163308106e-06
1875,1.0738161847712036e-05
1876,1.1007979537680512e-05
1877,1.0630461630967147e-05
1878,9.942152033204366e-06
1879,1.0678489267945679e-05
1880,9.911721733146805e-06
1881,1.0269109537830445e-05
1882,1.0130161683719052e-05
1883,9.624353204173985e-06
1884,9.695912282836616e-06
1885,9.253999522229606e-06
1886,9.192313996209123e-06
1887,8.772916409327536e-06
1888,8.855302311872038e-06
1889,9.90267488276686e-06
1890,8.333246704239627e-06
1891,8.677225402209388e-06
1892,8.850512870139937e-06
1893,9.15879742535708e-06
1894,9.001118513651818e-06
1895,9.148293955263398e-06
1896,9.203493092968529e-06
1897,8.67655924707833e-06
1898,8.696891427462106e-06
1899,8.640158057460212e-06
1900,8.815446747689748e-06
