year,ces_DET yeux_NOUN
1800,1.4651806452548044e-06
1801,1.500145003774378e-06
1802,8.459035711894103e-07
1803,1.273571541560159e-06
1804,1.399067642182672e-06
1805,1.3247809675931421e-06
1806,1.1324959672265322e-06
1807,8.76862159771008e-07
1808,1.264469290163106e-06
1809,9.917144296878178e-07
1810,1.095179300136806e-06
1811,1.318722354426427e-06
1812,8.935147590705128e-07
1813,1.0611486942480042e-06
1814,7.457624917606154e-07
1815,6.527281044554911e-07
1816,9.061831178769353e-07
1817,1.033763922464459e-06
1818,1.0884035077651788e-06
1819,1.0237188661221808e-06
1820,1.4346575767376635e-06
1821,1.1892954745462703e-06
1822,1.2732531757819743e-06
1823,1.164180517321256e-06
1824,1.013901965052355e-06
1825,1.0575336801821322e-06
1826,8.085729845674905e-07
1827,7.751726940341541e-07
1828,8.667824431540794e-07
1829,9.421920736940592e-07
1830,1.1772751236094336e-06
1831,1.3174569488683119e-06
1832,1.6046543152015147e-06
1833,1.2510318470049242e-06
1834,1.05573546704818e-06
1835,1.3152210271982767e-06
1836,1.182851960379594e-06
1837,1.0993468038122955e-06
1838,9.335687209954813e-07
1839,8.263923803042417e-07
1840,8.236007644768506e-07
1841,9.104337692633635e-07
1842,1.0719807477244103e-06
1843,9.533754479207346e-07
1844,9.654379482526565e-07
1845,1.0853542917743653e-06
1846,8.875424271082011e-07
1847,6.347824026420312e-07
1848,7.996950159849803e-07
1849,8.58052082719496e-07
1850,7.637620598188732e-07
1851,7.977955576166096e-07
1852,9.511906924331015e-07
1853,8.599581917678734e-07
1854,1.2973573859653698e-06
1855,1.3309798134741868e-06
1856,1.0292252170529537e-06
1857,9.977804324989847e-07
1858,1.1049920445316275e-06
1859,1.32192815271992e-06
1860,1.2692531328184486e-06
1861,1.2784977911906026e-06
1862,1.2212116757837066e-06
1863,1.2961041448988908e-06
1864,1.121007358051429e-06
1865,1.3292128926423175e-06
1866,1.157042760269178e-06
1867,1.3447140645439504e-06
1868,1.0852903713498563e-06
1869,1.41426717448212e-06
1870,1.1445161760548217e-06
1871,1.1407144455688467e-06
1872,1.168346003055376e-06
1873,1.1786442470906877e-06
1874,1.1973117324259874e-06
1875,1.219829584897525e-06
1876,1.3778868179770143e-06
1877,1.2920080507683451e-06
1878,1.0544248709720705e-06
1879,1.2243088320929019e-06
1880,1.0043929279390795e-06
1881,1.1978767631148912e-06
1882,1.2944724545604913e-06
1883,1.2379585569988194e-06
1884,1.2219741307717413e-06
1885,1.1202515253216916e-06
1886,1.1241934529948594e-06
1887,1.455950183526511e-06
1888,1.280170074835496e-06
1889,1.3676793599870507e-06
1890,1.267618358724576e-06
1891,1.379381174615446e-06
1892,1.3665356775049986e-06
1893,1.3991922429568149e-06
1894,1.5779054081122013e-06
1895,1.302428181304549e-06
1896,1.3162168173153077e-06
1897,1.2667274944533347e-06
1898,1.2448380246610213e-06
1899,1.434959330026686e-06
1900,1.445708264213863e-06
1901,1.3267666361116426e-06
1902,1.3635858522320632e-06
1903,1.3403346628138024e-06
1904,1.2173525760772463e-06
1905,1.427466003178779e-06
1906,1.4794674996210233e-06
1907,1.241482422642548e-06
1908,1.382064894528412e-06
1909,1.5078196042850323e-06
1910,1.6155366893144674e-06
1911,1.4668271859363813e-06
1912,1.4190463133445519e-06
1913,1.5304428018225735e-06
1914,1.4089948336959424e-06
1915,1.2134184999013087e-06
1916,1.5151710073268987e-06
1917,1.3444836781673075e-06
1918,1.5483635849022903e-06
1919,1.7669860596924991e-06
1920,1.7211682177276089e-06
1921,1.7379455385935216e-06
1922,1.9234277885971096e-06
1923,1.8121423295269778e-06
1924,1.8061166144889285e-06
1925,1.9125831727251352e-06
1926,1.9929295547171932e-06
1927,2.164064483167749e-06
1928,1.776749357418339e-06
1929,2.0643173286316596e-06
1930,1.6102024460451503e-06
1931,1.4074210596959347e-06
1932,1.4521386049182183e-06
1933,1.4372739371992793e-06
1934,1.2029506137878343e-06
1935,1.3560066349782574e-06
1936,1.2561204698613437e-06
1937,1.1785287057364258e-06
1938,1.3198588675322753e-06
1939,1.3336412081343951e-06
1940,1.054885657936211e-06
1941,1.3429336860326657e-06
1942,1.4776611720890287e-06
1943,1.6548440129326991e-06
1944,1.8636479808264994e-06
1945,2.0042237025563736e-06
1946,1.852898975585049e-06
1947,1.9991300206356755e-06
1948,1.7188454819461185e-06
1949,1.4107040442468133e-06
1950,2.013273942225169e-06
1951,1.703691978605093e-06
1952,1.6302267056289566e-06
1953,1.3553474644822927e-06
1954,1.594877886645918e-06
1955,1.2642413906860384e-06
1956,1.5881198720535394e-06
1957,1.2642939282159205e-06
1958,1.3955274624777303e-06
1959,1.3199524033780108e-06
1960,1.4824425562665056e-06
1961,1.473009817232196e-06
1962,1.393962023144013e-06
1963,1.4386968274493483e-06
1964,1.5167332634291597e-06
1965,1.4172592415206964e-06
1966,1.269002027015631e-06
1967,1.3499259381433149e-06
1968,1.5338185619384603e-06
1969,1.129989321668745e-06
1970,1.1561194668274766e-06
1971,1.1869697686961445e-06
1972,1.0342376128846809e-06
1973,1.0023004364256849e-06
1974,7.729535553835376e-07
1975,7.893265419056661e-07
1976,7.753256241471718e-07
1977,7.769105891952677e-07
1978,1.029504474558962e-06
1979,9.83131535292614e-07
1980,8.840409222443668e-07
1981,9.678090790998795e-07
1982,9.83889087535772e-07
1983,9.605595536754663e-07
1984,9.869912176441176e-07
1985,8.848885642009918e-07
1986,9.944851342424954e-07
1987,8.976790084602726e-07
1988,8.659023720269943e-07
1989,8.682209298171983e-07
1990,7.807916588831176e-07
1991,7.965731185777258e-07
1992,8.264916218081453e-07
1993,8.901506447500651e-07
1994,8.503181447849784e-07
1995,9.256123334466793e-07
1996,8.75980958880973e-07
1997,8.151320756155656e-07
1998,8.287008554930253e-07
1999,8.080115847519664e-07
2000,8.155686259669892e-07
2001,8.306777772304486e-07
2002,8.670437381397278e-07
2003,8.425518274179922e-07
2004,8.32065069289456e-07
2005,8.696740181335372e-07
2006,9.294077472077333e-07
2007,1.0976829685205303e-06
2008,1.118003652322841e-06
2009,1.2001540881101391e-06
2010,1.5786916520710292e-06
2011,1.7406720331791803e-06
2012,2.1783812940157077e-06
2013,2.5528862579449196e-06
2014,2.790392699125732e-06
2015,2.9950367661513155e-06
2016,2.8679773720341473e-06
2017,2.4479414548750356e-06
2018,2.8721397598019394e-06
2019,2.7713931274320203e-06
