year,trois_DET êtres_NOUN,trois_DET maîtres_NOUN
1800,3.772997425599556e-08,5.0306631749208464e-08
1801,3.095537337571841e-08,8.096020565062645e-08
1802,2.4616241489638924e-08,4.699464284385613e-08
1803,2.3404070459420723e-08,1.2287136885724692e-07
1804,1.9774807569206132e-08,9.393033395532768e-08
1805,5.685755422035754e-09,6.254331053057172e-08
1806,1.4408345627714425e-08,9.221340935283706e-08
1807,3.4163463169534225e-08,1.4234775846944103e-07
1808,4.985362878073829e-08,1.4049658503267892e-07
1809,1.8072244145628247e-08,9.262025102430016e-08
1810,4.446240886579744e-08,8.190443567812622e-08
1811,0.0,7.77193824852418e-08
1812,5.601137331723294e-08,6.40129966811287e-08
1813,2.0130190847567064e-08,5.7514832008109806e-08
1814,5.034683425719777e-08,1.9194730427329887e-07
1815,4.045835311217161e-08,1.2407228311417384e-07
1816,6.489290882427667e-08,4.1716871734820415e-08
1817,4.514932783195036e-08,5.7604314651626964e-08
1818,1.1921176934492905e-08,1.6689647663881146e-07
1819,5.4860564091541164e-08,6.728182611048794e-08
1820,4.034603762193001e-08,6.882558967191699e-08
1821,2.070912508145284e-08,3.9445952726424593e-08
1822,5.213320264374488e-08,6.717162648328667e-08
1823,3.360113609574e-08,7.412015179397713e-08
1824,5.810567671460376e-08,6.06320114115988e-08
1825,1.584979791857677e-08,7.484626385334536e-08
1826,2.3781558056157337e-08,1.1098059971015317e-07
1827,3.410390903013649e-08,1.1245072906174158e-07
1828,5.870272801189458e-08,7.154395120778645e-08
1829,7.287199821348622e-08,1.0373542702613037e-07
1830,2.5048405571936883e-08,5.635891398014792e-08
1831,1.2940700400143612e-07,1.5747118364828339e-07
1832,3.382492430592521e-08,8.794480366169921e-08
1833,6.486831694019202e-08,1.5290389721034359e-07
1834,7.654315115068755e-08,1.0828056229428284e-07
1835,5.7479468296151026e-08,7.411826175030001e-08
1836,4.771732520225669e-08,1.0417162465969909e-07
1837,4.731365876864402e-08,1.1897993523746209e-07
1838,4.5447563934430946e-08,9.026391301070191e-08
1839,4.61437359433603e-08,9.857980232119701e-08
1840,7.707323418371104e-08,1.0892167301435052e-07
1841,7.51204178861542e-08,1.1556987722372014e-07
1842,8.38533114055906e-08,9.190322947105756e-08
1843,1.0396163219184018e-07,1.1282200285123167e-07
1844,5.872760455716275e-08,1.1855292614271207e-07
1845,6.194053203678607e-08,1.305773347226591e-07
1846,6.791221629498523e-08,1.1299187896440799e-07
1847,7.496581044819095e-08,9.276344492548105e-08
1848,6.436177302227009e-08,8.20612626739603e-08
1849,6.200767188602185e-08,1.1396004317987263e-07
1850,9.776154019647265e-08,1.201652315430124e-07
1851,1.1608989880507181e-07,9.545169388225361e-08
1852,6.445440292601745e-08,1.289088011890982e-07
1853,7.166317939066857e-08,1.3795162923102566e-07
1854,2.2860923654111076e-08,1.267742160138141e-07
1855,7.695059167645013e-08,1.459407670267865e-07
1856,7.196292928224324e-08,9.836659353723576e-08
1857,3.807577209080648e-08,9.518942456487878e-08
1858,7.487324071853152e-08,7.780945110447135e-08
1859,4.8375645045339866e-08,1.278135486337817e-07
1860,6.728460233418332e-08,1.3868867493327386e-07
1861,5.470517860928226e-08,1.0186481347318477e-07
1862,7.409497770893836e-08,1.2831081130926236e-07
1863,6.592899470803104e-08,1.2486552414259222e-07
1864,6.329041157826509e-08,1.361702679503196e-07
1865,4.989254875908955e-08,1.167297387638655e-07
1866,4.4763637518929755e-08,9.925850363856625e-08
1867,4.707226963773792e-08,1.368492821285372e-07
1868,4.791677721271981e-08,8.842374343842607e-08
1869,5.371871036885523e-08,1.0987918164229171e-07
1870,5.9060703438973405e-08,9.633201880632214e-08
