year,six_DET eaux_NOUN,six_DET mots_NOUN
1800,3.144164484325529e-09,2.2009151834367913e-08
1801,0.0,7.857902772911984e-08
1802,0.0,5.147032311469957e-08
1803,0.0,4.095712213825209e-08
1804,0.0,1.087614407424553e-07
1805,0.0,6.538618890772341e-08
1806,5.76333825108577e-09,4.3225035994964855e-08
1807,2.8469550272802735e-08,7.117387923472052e-08
1808,4.5321479902327155e-09,4.078933146800523e-08
1809,2.259030518203531e-09,2.9367397402779716e-08
1810,1.1700633351097167e-08,1.0296557739764012e-07
1811,2.5070767684098882e-09,2.5070768128188092e-08
1812,0.0,3.467370746079723e-08
1813,0.0,7.764502640839055e-08
1814,0.0,5.349351184236184e-08
1815,0.0,1.1328339155625144e-07
1816,0.0,6.02577028274709e-08
1817,7.784366928831332e-09,7.161617399109588e-08
1818,0.0,5.2453181353939726e-08
1819,0.0,4.7614829412623294e-08
1820,9.493184904840746e-09,4.6279277299277055e-08
1821,0.0,3.4515210245444905e-08
1822,0.0,1.1328945959121484e-07
1823,0.0,6.324919932243489e-08
1824,1.6842225392110777e-09,6.231623217445303e-08
1825,1.7610886082763955e-09,6.427973309186541e-08
1826,5.284790383086602e-09,7.751026487312629e-08
1827,1.8434546111834038e-09,6.544263564389752e-08
1828,0.0,9.172301185245146e-08
1829,0.0,4.372319883927389e-08
1830,1.1480518979922749e-08,6.470838087579978e-08
1831,3.1182412207897414e-09,4.677361786775691e-08
1832,1.2176972319366541e-08,4.19429042608499e-08
1833,4.6334514003376626e-09,7.992703388026712e-08
1834,0.0,8.307732457524253e-08
1835,4.5378527602224494e-09,7.033671778344797e-08
1836,0.0,4.704525080612143e-08
1837,1.3915781860163179e-09,7.792838097042676e-08
1838,0.0,7.448350913819013e-08
1839,2.7965900706306e-09,3.2859933440931854e-08
1840,4.458782232319436e-09,2.7389662093924017e-08
1841,6.420548537278137e-09,7.961480497087337e-08
1842,0.0,5.903273159191258e-08
1843,0.0,7.619915282086609e-08
1844,0.0,6.476502012464636e-08
1845,3.9061593959388574e-09,4.2409730838244286e-08
1846,3.5127007969038004e-09,6.674131869388589e-08
1847,1.0786447290911383e-09,4.368511064001268e-08
1848,3.218088684420195e-09,2.976732055293141e-08
1849,6.703531951757213e-09,5.781796286186136e-08
1850,2.7155984128057753e-09,5.838536409896733e-08
1851,6.449438760824933e-10,3.224719224981243e-08
1852,1.9531636308300904e-09,3.450589192155462e-08
1853,4.777545470346922e-09,5.434457839292861e-08
1854,3.63696517347023e-09,6.546537179019651e-08
1855,3.714855978387277e-09,5.996838936539461e-08
1856,4.1417513307884235e-09,6.833889515389657e-08
1857,1.171562147295191e-08,5.467290198346575e-08
1858,2.4468380654951716e-09,7.09583005686909e-08
1859,4.582956236731661e-09,3.971895168319861e-08
1860,5.950338888283113e-09,6.636916793922865e-08
1861,2.8295783494058924e-09,5.281879522645028e-08
1862,1.490935552794781e-08,5.6474828591390747e-08
1863,9.989241656072068e-10,8.041339683018123e-08
1864,1.438418395505181e-08,5.60983179909158e-08
1865,6.118897832863013e-09,6.213034442481558e-08
1866,1.9462451650298362e-09,8.952727981181852e-08
1867,2.91168689159349e-09,7.764498199946956e-08
1868,3.4579118457500613e-09,6.372437866275504e-08
1869,6.836927024522765e-09,5.51837660012211e-08
