year,mieux_ADV hérité_VERB,mieux_ADV mérité_VERB
1800,0.0,2.2009151834367913e-08
1801,0.0,9.28661236798689e-08
1802,0.0,1.7902721083373763e-08
1803,0.0,1.0921899473714802e-07
1804,0.0,9.145848167690929e-08
1805,0.0,7.107194477384837e-08
1806,0.0,1.0950342499427279e-07
1807,0.0,1.0249038240317532e-07
1808,0.0,5.6651849433819734e-08
1809,0.0,5.6475762733043666e-08
1810,0.0,5.148278958699848e-08
1811,0.0,3.760615285841595e-08
1812,0.0,8.001624962616916e-08
1813,0.0,1.2940837734731758e-07
1814,0.0,1.9824065589091333e-07
1815,0.0,9.440282155992463e-08
1816,2.3176038865813098e-09,1.0892738089296472e-07
1817,0.0,9.49692804397273e-08
1818,0.0,1.096748292184202e-07
1819,0.0,6.93520334493769e-08
1820,0.0,7.594547923872597e-08
1821,0.0,1.2918549430196435e-07
1822,0.0,1.5038423839541792e-07
1823,0.0,1.5021683452687284e-07
1824,0.0,1.0189546628680546e-07
1825,0.0,5.547429182684027e-08
1826,0.0,5.725189922145546e-08
1827,0.0,5.899054755786892e-08
1828,0.0,7.796455747666187e-08
1829,0.0,9.344761764396026e-08
1830,0.0,1.0645572245948642e-07
1831,0.0,5.3010101197514814e-08
1832,0.0,8.523880978827947e-08
1833,0.0,5.6759780875381693e-08
1834,0.0,6.627517024071494e-08
1835,0.0,4.840376277570613e-08
1836,0.0,6.922372364215335e-08
1837,0.0,4.731365876864402e-08
1838,0.0,5.9334322344284374e-08
1839,0.0,6.571986688186371e-08
1840,0.0,7.834717052901397e-08
1841,0.0,5.97110982880622e-08
1842,0.0,5.2324466537356784e-08
1843,0.0,5.5524964182041003e-08
1844,0.0,6.366730787021879e-08
1845,0.0,6.361459981008011e-08
1846,1.1709002656346001e-09,9.659927258098833e-08
1847,0.0,4.6921044827286096e-08
1848,0.0,5.470750608083108e-08
1849,0.0,3.854530916669319e-08
1850,0.0,3.8018377779280854e-08
1851,0.0,8.448764532431596e-08
1852,0.0,7.096494414327026e-08
1853,0.0,6.151089593231518e-08
1854,0.0,5.923057599943604e-08
1855,0.0,8.225752878843196e-08
1856,0.0,8.128186834710505e-08
1857,0.0,8.396195738669121e-08
1858,0.0,5.3830436996804565e-08
1859,0.0,7.587338046732839e-08
1860,0.0,8.10161537856402e-08
1861,0.0,6.932466334319543e-08
1862,0.0,5.557123117228002e-08
1863,0.0,3.696019490462277e-08
1864,0.0,4.8426752385921645e-08
1865,0.0,4.1890913848874334e-08
1866,0.0,5.011581194480641e-08
1867,0.0,8.783588612004678e-08
1868,0.0,5.236266531483125e-08
1869,0.0,3.564969119906891e-08
1870,0.0,3.55511033944822e-08
1871,0.0,2.549082545044712e-08
1872,0.0,4.5959779981785687e-08
1873,0.0,2.573981916498269e-08
1874,0.0,4.241972462182275e-08
1875,0.0,8.181783783811625e-08
1876,0.0,4.5949711591219966e-08
1877,0.0,6.679601227688181e-08
1878,0.0,3.985798358030479e-08
1879,0.0,6.109325312309011e-08
1880,0.0,6.931274043608937e-08
1881,0.0,3.2073533162702006e-08
1882,0.0,4.45910792734594e-08
1883,1.2638677882037541e-09,2.401348808689363e-08
1884,0.0,4.621188054443337e-08
1885,6.445635691854079e-10,4.3185760745245716e-08
1886,0.0,3.484870347847391e-08
1887,0.0,5.6801642500659e-08
1888,6.340614699951175e-10,3.1703073943845084e-08
1889,0.0,4.698852507090123e-08
1890,0.0,2.1629475099871343e-08
1891,0.0,3.1233678754460925e-08
1892,0.0,2.6954603882245465e-08
1893,0.0,5.049901474762919e-08
1894,0.0,3.276800342177921e-08
1895,0.0,3.671354775747204e-08
1896,1.179405795248556e-09,2.4767521367152767e-08
1897,5.826713556089658e-10,2.155884004650943e-08
1898,0.0,3.5647634177848886e-08
1899,0.0,3.2612710754165164e-08
1900,0.0,3.010810800674335e-08
1901,0.0,2.459045056468767e-08
1902,9.820567692386817e-10,2.3078333910575566e-08
1903,2.1600881083827517e-09,2.214090244478939e-08
1904,0.0,1.9886112312406112e-08
1905,0.0,3.1996705729397945e-08
1906,0.0,2.983626856689625e-08
1907,0.0,2.9314207949937554e-08
1908,1.964555629285769e-09,2.7994918383456024e-08
1909,1.1001967115120692e-09,2.2554033307642385e-08
1910,0.0,4.0615546481603815e-08
1911,1.5961122423746588e-09,1.9685383989553884e-08
1912,0.0,2.6568049094066737e-08
1913,0.0,3.553003224965323e-08
1914,0.0,4.151981158884155e-08
1915,0.0,3.652036184575991e-08
1916,0.0,4.9443578120644815e-08
1917,0.0,6.360526327853222e-08
1918,0.0,8.040463406189247e-09
1919,0.0,4.235610262526279e-08
1920,0.0,2.1959472462640406e-08
1921,0.0,2.3475516641724425e-08
1922,0.0,2.4347187377316004e-08
1923,0.0,3.078624999375279e-08
1924,0.0,3.2229060309418855e-08
1925,1.0998177923937646e-09,3.519416935660047e-08
1926,0.0,2.1177662290483568e-08
1927,0.0,2.5643217327342427e-08
1928,1.1426041224282812e-09,2.399468712610542e-08
1929,0.0,2.8965056131369238e-08
1930,0.0,2.520864939015155e-08
1931,0.0,1.4826963656844327e-08
1932,0.0,2.4110979879310435e-08
1933,0.0,2.523545639121494e-08
1934,0.0,1.0783422155213884e-08
1935,0.0,9.574627313213568e-09
1936,0.0,2.424942913137329e-08
1937,0.0,1.510934133364117e-08
1938,0.0,2.2040865133021725e-08
1939,0.0,2.7529290846928234e-08
