year,leurs_DET archers_NOUN,leurs_DET marchés_NOUN
1800,1.8864986461863964e-08,2.2952400513531757e-07
1801,1.9049460453501865e-08,2.8574191901498125e-07
1802,6.713520406265161e-08,3.20011139365306e-07
1803,3.900678313684125e-08,2.340407121437238e-07
1804,9.887403562558461e-09,2.026917798048089e-07
1805,3.980028839833949e-08,1.4214388954769674e-07
1806,6.916005901302924e-08,1.7866348400730203e-07
1807,1.1387820464392462e-08,2.818485427269479e-07
1808,3.17250354875398e-08,2.5606635745134554e-07
1809,2.25903047379461e-08,2.778607495201868e-07
1810,6.786367379163494e-08,2.667744638529257e-07
1811,1.0028306629550343e-08,2.3817229077849333e-07
1812,7.73490369532226e-08,1.680341199516988e-07
1813,2.5881675469463516e-08,1.7542024011163448e-07
1814,2.8320094713762956e-08,2.2026739543434815e-07
1815,2.1577788444915313e-08,1.6453063267363177e-07
1816,2.5493642752394408e-08,1.7382029682266875e-07
1817,3.269434079022915e-08,1.6969920579867903e-07
1818,4.053200197695617e-08,2.5988165930357354e-07
1819,1.645817011564077e-07,1.3249344021915022e-07
1820,9.967844327718467e-08,1.1985146386450651e-07
1821,4.6348994753309114e-08,1.7652064343565144e-07
1822,5.6143449000956025e-08,1.2933044502005941e-07
1823,3.5577674140085946e-08,1.0772128433700345e-07
1824,4.572664158430939e-07,1.8358025499765063e-07
1825,2.5095513933592883e-07,1.5937851571834472e-07
1826,3.1092184293868286e-07,1.814444772207935e-07
1827,9.862482508449233e-08,1.1705936486805513e-07
1828,1.871149398202654e-07,1.9261833017480967e-07
1829,1.2431105356203176e-07,1.500305870649754e-07
1830,7.097048371207393e-08,2.6613932391228445e-07
1831,1.5123469321309813e-07,1.2784788339104125e-07
1832,4.058990932254147e-08,3.2742525490903063e-07
1833,7.876867380574026e-08,2.258807541011265e-07
1834,9.521221500108368e-08,3.4537765714048874e-07
1835,2.745400777826035e-07,3.2143123007699614e-07
1836,2.0565495617574925e-07,2.406028443147079e-07
1837,2.0177883208738479e-07,2.30306184789697e-07
1838,1.754781067120348e-07,2.0577647319441894e-07
1839,1.7059199619584575e-07,2.607820306366193e-07
1840,1.3312649682628575e-07,2.9300568371581903e-07
1841,6.163726729013774e-08,1.7271275964958477e-07
1842,1.4691099803343377e-07,2.8644291205637273e-07
1843,6.202256597198641e-08,2.3036953678001737e-07
1844,1.218460599083926e-07,2.519249733268225e-07
1845,7.142692037831466e-08,3.1360880825559434e-07
1846,1.053810230189356e-07,2.218855996716229e-07
1847,7.766242049456196e-08,2.4377371232731093e-07
1848,6.033916322145672e-08,2.5744708409547457e-07
1849,6.116973061409681e-08,1.625606529387369e-07
1850,4.820187182730251e-08,1.5954140053509036e-07
1851,3.676180071465751e-08,2.5410787429791526e-07
1852,6.836072774518698e-08,1.3997671999277372e-07
1853,1.230217976377901e-07,1.6960287041456468e-07
1854,7.533713319851643e-08,1.5067426772930048e-07
1855,4.2455496895854594e-08,1.772517066456203e-07
1856,1.1182729053871299e-07,1.8948512092720193e-07
1857,1.3961115752358921e-07,1.4498081668534724e-07
1858,6.85114613929727e-08,1.1940569777380006e-07
1859,5.601390862253197e-08,1.8077214747336257e-07
1860,5.3553051104771043e-08,1.6249002499080234e-07
1861,5.093240851294922e-08,1.8439418170146382e-07
1862,4.4276266236709105e-08,2.927655202711321e-07
1863,6.592899515212025e-08,1.7631010962304572e-07
1864,4.2673077071953e-08,1.6302074357099627e-07
1865,8.236977810938129e-08,2.1180800047204684e-07
1866,3.405928988842177e-08,1.8002768342739728e-07
1867,7.279217406619409e-08,2.479786758158298e-07
1868,5.2362665647898154e-08,1.6647375389311492e-07
1869,4.199826308948218e-08,1.7043481648215675e-07
1870,2.2362789842134134e-08,1.6800763091850968e-07
1871,5.098165223316187e-08,2.6128097374567005e-07
1872,4.777398121547094e-08,2.074237386295863e-07
1873,4.250063073696353e-08,2.0472135986437934e-07
1874,1.0216581669553193e-07,2.0672148082212516e-07
1875,1.1042547276574055e-07,1.8022809911144577e-07
1876,3.808989457176892e-08,1.874264654588842e-07
1877,4.020130350834705e-08,1.8121511402569013e-07
1878,3.865016878767946e-08,2.1801109539865138e-07
1879,9.774920783911512e-08,2.3459809028736345e-07
1880,5.326812524408808e-08,1.8675932267342432e-07
1881,4.5321300490286376e-08,1.9801920814188634e-07
1882,4.39255403161809e-08,1.5640155481833062e-07
1883,4.9290843961991015e-08,1.7630955539971183e-07
1884,3.564916273290919e-08,2.0663311772750603e-07
1885,4.640857653726016e-08,2.275309469723652e-07
1886,7.48601831634943e-08,2.084468775365167e-07
1887,2.6115699047757346e-08,2.1610740930100292e-07
1888,5.009085746188191e-08,2.4538178422517376e-07
1889,3.3831739187917265e-08,1.6038750061397877e-07
1890,4.325895225365528e-08,2.2612633188145992e-07
1891,2.6771723837804018e-08,2.721791929616302e-07
1892,5.390920776449093e-08,2.2817384603968094e-07
1893,3.571881634911733e-08,2.3155645578754047e-07
1894,2.457600389860204e-08,1.940874057027031e-07
1895,2.7083765896662726e-08,2.6903205707640154e-07
1896,4.245860707463578e-08,2.1701066543755587e-07
1897,2.0393497446313802e-08,2.3073785371252598e-07
1898,1.867257115595322e-08,2.880102556446218e-07
1899,1.326618814800895e-08,2.642182437284646e-07
1900,3.426095229741577e-08,2.3307828200813674e-07
1901,1.397184767881754e-08,2.8502569193733507e-07
1902,2.258730624760119e-08,2.0033958492149395e-07
1903,1.8900770726304472e-08,3.240132286919106e-07
1904,2.042357571951925e-08,2.4508290152880363e-07
1905,2.270733934217617e-08,2.502968072803924e-07
1906,3.189394348623864e-08,2.8550223873935465e-07
1907,2.46856486363356e-08,2.658850064563012e-07
1908,9.331638795018193e-09,2.475340181717911e-07
1909,8.801573692096554e-09,2.585462368642766e-07
1910,1.2291546447329438e-08,2.244543253482334e-07
1911,2.128149745317387e-08,2.729351820107695e-07
1912,2.187956960053583e-08,2.4171714585463633e-07
1913,2.121195802340381e-08,2.0840749925810087e-07
1914,9.37544086809794e-09,2.913083392286353e-07
1915,2.238344798399794e-08,2.827382843406667e-07
1916,1.538244731591476e-08,4.7465834995819023e-07
1917,6.57985488317081e-09,3.3008936384248955e-07
1918,2.412139110674616e-08,2.986457730003167e-07
1919,1.012863304339362e-08,2.49532689622356e-07
1920,2.5745588771997063e-08,2.991031635701802e-07
1921,1.741731914250977e-08,2.1733785615651868e-07
1922,1.549366501762961e-08,2.4937421017057204e-07
1923,1.0615948120573648e-08,1.6667038948980917e-07
1924,1.0313299436681689e-08,1.791935773098885e-07
1925,2.859526304632709e-08,2.0346628559764213e-07
1926,2.7865346696742677e-08,1.2929520210036571e-07
1927,2.5643217327342427e-08,1.516294645398375e-07
1928,1.2568645679778001e-08,1.451107181082989e-07
1929,2.0052731031228177e-08,1.5373760220427357e-07
1930,2.3107928015519974e-08,2.247771107022345e-07
1931,1.8248571542756054e-08,3.022419434728363e-07
1932,8.767629400274757e-09,2.7618031595011416e-07
1933,1.6058926410877916e-08,2.8332536317066115e-07
1934,2.036868629318178e-08,2.863597785562888e-07
