year,ces_DET eaux_NOUN,ces_DET maux_NOUN
1800,5.684649579507095e-06,2.191482749935858e-06
1801,5.643402516852802e-06,3.150304451082775e-06
1802,6.4516930251556914e-06,2.36763486327618e-06
1803,6.761826284673589e-06,1.7884610343799068e-06
1804,5.571551923821971e-06,2.5385910191744188e-06
1805,5.142765701293683e-06,2.854249188999347e-06
1806,5.339733093023824e-06,1.9681800154103257e-06
1807,6.146575913135166e-06,2.1067467770308212e-06
1808,5.429513464605407e-06,1.6474357664719719e-06
1809,5.292908269893815e-06,2.6340296699345345e-06
1810,5.354210145469551e-06,2.1248351060876303e-06
1811,7.263001293722482e-06,1.5769512344832037e-06
1812,6.075900216728769e-06,1.2775927018537914e-06
1813,5.115944532008143e-06,2.0302736061239557e-06
1814,6.104553847308125e-06,2.526781685219248e-06
1815,9.742371503307368e-06,2.6972236639721814e-06
1816,5.126539804223285e-06,2.7092789736116174e-06
1817,4.107031941202877e-06,2.2014189013930263e-06
1818,4.881721963556629e-06,2.205417835909884e-06
1819,4.499601629959216e-06,2.2337565326324693e-06
1820,3.7462481827787997e-06,2.4065224266678342e-06
1821,3.828229665714389e-06,2.63794812838114e-06
1822,5.578252512350446e-06,2.4442452684070304e-06
1823,3.3670313541733776e-06,2.802730072914983e-06
1824,3.2926551227774326e-06,2.3166480502823106e-06
1825,3.863828311523321e-06,2.407408175031378e-06
1826,5.975336648589291e-06,2.1561946752512995e-06
1827,4.558863054171525e-06,1.9116624514481373e-06
1828,3.9239105262822704e-06,1.8353774748902651e-06
1829,4.626085683412384e-06,2.0275561638527506e-06
1830,4.214394380142039e-06,2.015352976059148e-06
1831,5.174721195544407e-06,1.808579952466971e-06
1832,3.6436207437873236e-06,1.6520092032124012e-06
1833,6.72777133559066e-06,1.7560780491976402e-06
1834,3.985844699627705e-06,2.1096040114798598e-06
1835,4.484911244162504e-06,1.9943862668014845e-06
1836,3.472611638244416e-06,2.327395684176281e-06
1837,4.68266074449275e-06,2.299582860132432e-06
1838,4.6318646127474494e-06,2.0950064651970024e-06
1839,3.5265000803974544e-06,1.9681002783045187e-06
1840,4.054306941725372e-06,2.470165270551661e-06
1841,3.982024338711199e-06,2.048796972076161e-06
1842,3.382978036370332e-06,2.0795622361902133e-06
1843,3.3887948802657775e-06,2.034340226941822e-06
1844,3.5006043503926776e-06,2.0280233599123676e-06
1845,3.841986853103663e-06,2.1628963935427237e-06
1846,4.366872587979742e-06,1.9378399613856345e-06
1847,3.4074387258442584e-06,1.8461004884784415e-06
1848,4.2366138472971215e-06,1.8343105594453846e-06
1849,4.424331052632624e-06,1.5912509425675125e-06
1850,3.560828531590232e-06,1.5886250821495196e-06
1851,4.572652017031942e-06,1.6117148007310789e-06
1852,4.258547846802685e-06,1.7005544350467972e-06
1853,4.6945356189098675e-06,1.8321886408045884e-06
1854,4.657913279970671e-06,1.9878612746992985e-06
1855,4.0794425331114326e-06,1.7863150816310736e-06
1856,4.2546141116872604e-06,2.00201913003184e-06
1857,4.6891776719348854e-06,1.7588077554364645e-06
1858,3.8738339753763285e-06,1.5747849104741363e-06
1859,4.827889483749459e-06,1.5378363329432432e-06
1860,4.979060690857295e-06,1.5187096025215396e-06
1861,4.061859499415732e-06,1.6482292934938414e-06
1862,4.4687403146781435e-06,1.696503851178477e-06
1863,4.13854286307469e-06,1.687182951570776e-06
1864,4.623076790721825e-06,1.5913701787440004e-06
1865,4.041296563173091e-06,1.912390892755411e-06
1866,4.033106449696788e-06,1.624141575007343e-06
1867,3.77936947870694e-06,1.4179915055478887e-06
1868,4.232484059230046e-06,1.3199343413816678e-06
1869,3.72856680996847e-06,1.3756872974113321e-06
1870,4.470837893677526e-06,1.5631017333816999e-06
1871,3.6621818253479432e-06,1.4476664702556263e-06
1872,3.91928051612922e-06,1.5511424820147113e-06
1873,4.588870922361821e-06,1.3426608340694202e-06
1874,4.160717878676223e-06,1.0521286810671882e-06
1875,3.6360304989102588e-06,1.0945281445629007e-06
1876,4.221932044856658e-06,9.746175670954926e-07
