year,soixante - dix mètres
1800,1.7223841908275972e-08
1801,7.844948690660658e-09
1802,2.4635042894516346e-09
1803,4.28571134136746e-09
1804,2.7184054118833956e-08
1805,1.2488940548394112e-08
1806,2.843938418095604e-08
1807,1.868969157214906e-08
1808,9.960592350921615e-09
1809,2.718055114314666e-08
1810,7.692871228925924e-09
1811,1.1037213809572677e-08
1812,1.7525501050386083e-08
1813,5.664717761533211e-08
1814,1.719689457502227e-08
1815,4.7302680883376524e-08
1816,4.306339462800679e-08
1817,2.559185396933117e-08
1818,6.516614359242112e-09
1819,2.487339934020838e-08
1820,1.5538471842546642e-08
1821,3.2400965466194975e-08
1822,1.4254190716656012e-08
1823,2.3750917677034522e-08
1824,2.2968846380422292e-08
1825,2.8832113585508523e-08
1826,1.0571650221891105e-08
1827,1.911524449837998e-08
1828,3.407856752346561e-08
1829,5.993916118995912e-08
1830,2.282784095086754e-08
1831,3.2517515791141705e-08
1832,2.816991795384638e-08
1833,4.309084999931656e-08
1834,2.3526109060867384e-08
1835,3.734822584533504e-08
1836,1.468697963247223e-08
1837,4.3268631344517416e-08
1838,3.234654144534943e-08
1839,3.286308825067863e-08
1840,1.8788055555774008e-08
1841,2.5973223571895687e-08
1842,2.420618727683177e-08
1843,4.066132319735516e-08
1844,1.795192083875463e-08
1845,3.233214584952293e-08
1846,3.0751703405940134e-08
1847,2.709675861467531e-08
1848,4.316418156236068e-08
1849,7.339369112457916e-09
1850,5.9440530719712115e-08
1851,3.317527230706219e-08
1852,6.420178905175433e-08
1853,3.333891385182142e-08
1854,1.6481234155207858e-08
1855,3.432494821709042e-08
1856,2.041610436265273e-08
1857,3.744788301673907e-08
1858,4.0207407181469534e-08
1859,4.1249528237585764e-08
1860,5.519780188478762e-08
1861,5.1122054145480433e-08
1862,7.525649436956883e-08
1863,7.401527568617894e-08
1864,4.619595017629763e-08
1865,3.7149160136973336e-08
1866,3.25697691039295e-08
1867,3.193999187356411e-08
1868,4.977118617244258e-08
1869,1.10360633742701e-07
1870,5.843457984155975e-08
1871,4.31602238393225e-08
1872,4.7097930000461474e-08
1873,5.7731735836341613e-08
1874,5.506337785732285e-08
1875,5.784012713228037e-08
1876,4.5821735739082214e-08
1877,3.403780013400137e-08
1878,5.649811996022436e-08
1879,6.048476564046723e-08
1880,6.430954574421222e-08
1881,5.609606440470927e-08
1882,6.741422575728961e-08
1883,6.896943682832557e-08
1884,3.055433950294173e-08
1885,5.53962556937293e-08
1886,3.555731353799274e-08
1887,5.834125360593134e-08
1888,5.870776365046737e-08
1889,6.637499277983849e-08
1890,3.5421976463112514e-08
1891,2.6000666508707582e-08
1892,4.0811413359875814e-08
1893,3.60025929069252e-08
1894,3.131464509920079e-08
1895,3.2545592887345265e-08
1896,4.488004279323832e-08
1897,4.2516152376492755e-08
1898,3.683129534692853e-08
1899,3.050205088506175e-08
1900,2.2944018240877995e-08
1901,3.207019971807057e-08
1902,2.4872901960293348e-08
1903,2.6228365257452424e-08
1904,1.661863457957935e-08
1905,2.7349900344475486e-08
1906,2.6108022410653575e-08
1907,3.637561363234454e-08
1908,3.200669951297641e-08
1909,3.033032669463864e-08
1910,4.128850950024798e-08
1911,1.585388709202107e-08
1912,4.483223037254902e-08
1913,3.2181050713120385e-08
1914,3.2501013436103676e-08
1915,4.286071941805858e-08
1916,6.167613975094355e-08
1917,3.618307076180827e-08
1918,6.318848111419584e-09
1919,4.358026828299444e-08
1920,2.669880494465815e-08
1921,1.5042527223840807e-08
1922,3.0946768703188354e-08
1923,1.8770263565670575e-08
1924,2.7073207897743146e-08
1925,2.558889100612305e-08
1926,1.2345703126470653e-08
1927,1.9748288337950726e-08
1928,2.7833631621732025e-08
1929,3.085656885559729e-08
1930,2.092642858997351e-08
1931,1.38914009184532e-08
1932,2.1831876750866286e-08
1933,1.6494370314035223e-08
1934,2.522093411894133e-08
1935,2.918022534714737e-08
1936,2.8186816436459594e-08
1937,2.510566332603048e-08
1938,2.151616662615652e-08
1939,1.3553740352278965e-08
1940,1.6887689469058387e-08
1941,2.296674539437049e-08
1942,2.3550768446511938e-08
1943,2.8902354287652088e-08
1944,3.1945054601578704e-08
1945,3.1238506448261205e-08
1946,2.0016565738245617e-08
1947,2.6335655101128452e-08
1948,3.128337056068631e-08
1949,3.0285008278951864e-08
1950,3.4112016322751515e-08
1951,2.359811901442299e-08
1952,3.7376903350150315e-08
1953,1.1908261043913626e-08
1954,3.998487452250288e-08
1955,3.324104369539782e-08
1956,3.183474106549511e-08
1957,4.693812627465377e-08
1958,2.744675420274234e-08
1959,1.629138934866603e-08
1960,3.5205481863087584e-08
1961,4.064108316548243e-08
1962,2.727760595178097e-08
1963,4.564597388956315e-08
1964,3.892561772911307e-08
1965,4.465059078029299e-08
1966,4.582931212304686e-08
1967,3.476407434144235e-08
1968,3.063379216960982e-08
1969,6.490562975969283e-08
1970,2.7312538342094683e-08
1971,3.003156179293143e-08
1972,3.787512747877031e-08
1973,2.0107828291315855e-08
1974,2.4255232156100703e-08
1975,2.5893823640821267e-08
1976,3.6605934727873546e-08
1977,2.98754404548518e-08
1978,3.337169579564758e-08
1979,4.058110580906771e-08
1980,3.005600390793006e-08
1981,2.7851304373882613e-08
1982,1.9774272885797473e-08
1983,3.4709657370513014e-08
1984,3.056703323789378e-08
1985,3.039870222210084e-08
1986,2.17256934664789e-08
1987,4.498165495636641e-08
1988,4.8735021351831165e-08
1989,3.857796215811504e-08
1990,4.9550963998612474e-08
1991,2.764867729210252e-08
1992,4.224525140816837e-08
1993,3.882285687373255e-08
1994,4.618696153313451e-08
1995,2.964429057783491e-08
1996,4.141807607993542e-08
1997,4.710816187136757e-08
1998,3.693817518524156e-08
1999,3.8884113706671997e-08
2000,2.7940644797830316e-08
2001,2.532057408188848e-08
2002,4.4392119313840794e-08
2003,3.494207745369238e-08
2004,3.405624071639579e-08
2005,3.139158621934257e-08
2006,3.724557445794474e-08
2007,4.31939385370228e-08
2008,5.392652180358226e-08
2009,6.206679215026156e-08
2010,7.299376525438106e-08
2011,9.945530665689262e-08
2012,1.0423791207969657e-07
2013,1.0380255455189058e-07
2014,1.1017713541505714e-07
2015,1.0124350291462747e-07
2016,1.0384970883237088e-07
2017,8.952753560720339e-08
2018,1.1402675026417342e-07
2019,9.347254081859546e-08
