year,des_DET eaux_NOUN,des_DET maux_NOUN
1800,1.2161627836348998e-05,4.499299180338312e-06
1801,1.0810568916497232e-05,6.898285988654607e-06
1802,1.0750584408469877e-05,5.628168167959302e-06
1803,1.2193521158110343e-05,4.93240781906934e-06
1804,1.1934096463050992e-05,5.554248915018434e-06
1805,1.0493061409988513e-05,5.896128598692485e-06
1806,8.725694257805117e-06,4.33691216983334e-06
1807,1.0451171831959982e-05,4.748720982661325e-06
1808,9.442730757314166e-06,4.538946129173382e-06
1809,1.143069447095968e-05,4.904355250801018e-06
1810,9.154575806746834e-06,5.1506188682992615e-06
1811,1.0775416043884434e-05,4.733360952968724e-06
1812,1.0788856940280311e-05,3.7901028946407678e-06
1813,9.303023773554742e-06,5.693968645914538e-06
1814,7.325464238761015e-06,5.997566461246606e-06
1815,9.127404766218206e-06,5.564372393962458e-06
1816,8.081484850208653e-06,5.8890316481097216e-06
1817,7.968077664344264e-06,5.702827124309806e-06
1818,8.528410489816451e-06,5.74362304917031e-06
1819,8.172153641794466e-06,5.4663894530904145e-06
1820,7.181594508409717e-06,6.127850951997971e-06
1821,6.7215905588113856e-06,5.977048019190079e-06
1822,8.149823329972605e-06,5.2985381699954814e-06
1823,6.7113327801848754e-06,5.207187868450092e-06
1824,7.527632703840936e-06,5.257300813354959e-06
1825,7.487268231187727e-06,4.830666142652262e-06
1826,8.103345280119356e-06,5.280386488948352e-06
1827,7.783987014065019e-06,4.215058822865103e-06
1828,7.69739506267797e-06,4.03306108154311e-06
1829,8.64176151793572e-06,4.112552566937211e-06
1830,8.167867537878237e-06,4.062016316197514e-06
1831,8.966502967666656e-06,3.707588895451863e-06
1832,8.223515258976022e-06,3.624678740266063e-06
1833,9.679280147167901e-06,4.108713199002523e-06
1834,8.237723786663764e-06,4.516046217872827e-06
1835,8.491078808958719e-06,4.027344544965672e-06
1836,6.8820482610476574e-06,4.308672835406924e-06
1837,7.70795137583491e-06,3.896418732551865e-06
1838,7.458450674846517e-06,3.9236399018705015e-06
1839,6.9446324175714835e-06,3.5027290685718526e-06
1840,7.442981001304361e-06,4.0594027872487e-06
1841,7.3110786047436704e-06,3.531943832513207e-06
1842,6.6042869377724855e-06,3.6915583336849522e-06
1843,7.415536231292208e-06,3.3669393602053788e-06
1844,7.332169111862186e-06,3.5280471522014523e-06
1845,7.733079932847886e-06,3.8436609912650965e-06
1846,7.986125666548105e-06,3.5109443601299972e-06
1847,6.925438384541849e-06,3.0892385431968705e-06
1848,6.943831074579521e-06,3.1464862360053303e-06
1849,7.152668619170299e-06,3.097869608836845e-06
1850,6.721785084096155e-06,2.920626130276105e-06
1851,7.5155312018182485e-06,2.9093418518755243e-06
1852,8.450037128682197e-06,3.2585279043928495e-06
1853,7.715138671926525e-06,3.3090474289565464e-06
1854,8.09380572519558e-06,3.3200295135316082e-06
1855,8.42688534419267e-06,3.3900713702905705e-06
1856,7.945431899969435e-06,3.3165073496377317e-06
1857,8.011532955265466e-06,2.9328107586934493e-06
1858,7.1614053993585e-06,2.943056749415973e-06
1859,8.112850899522073e-06,2.8312483806303135e-06
1860,7.203114428477875e-06,2.8941534324644635e-06
1861,7.572423086799063e-06,2.785248160108722e-06
1862,7.998191151159517e-06,3.186083894490821e-06
1863,7.627784853525554e-06,3.0612031558518993e-06
1864,7.602041137033666e-06,2.9540317925125237e-06
1865,7.054618528457013e-06,2.804808524103919e-06
1866,7.208892000676315e-06,3.0157069090819277e-06
1867,7.036091247414333e-06,2.3303201004409857e-06
1868,7.288290028384381e-06,2.5746623464328877e-06
1869,6.767580892130809e-06,2.4901063895299558e-06
1870,7.1973782382883655e-06,2.740301937365075e-06
1871,6.624428294799145e-06,2.167782305662058e-06
1872,6.733107710488184e-06,2.3088742118204664e-06
1873,8.112831608286797e-06,2.2525334451017898e-06
1874,7.736521247636574e-06,1.9536972217792936e-06
1875,7.623934770606411e-06,2.0763422661218556e-06
1876,7.904559844007508e-06,1.8035261746263131e-06
1877,7.546712389228105e-06,2.11211473555295e-06
1878,7.1859116275163615e-06,2.1148888968980373e-06
1879,7.152798069398614e-06,2.2146303777503817e-06
1880,7.279762776590815e-06,1.9067421348495373e-06
1881,7.238857200775328e-06,1.8811825874820443e-06
1882,7.0413976160921266e-06,1.8062715270161789e-06
1883,7.053014144275949e-06,1.6872635022480154e-06
1884,6.847280161537128e-06,1.8986480689875407e-06
1885,7.208154563898006e-06,1.5224591756179962e-06
1886,6.695468691475526e-06,1.540441875391707e-06
1887,7.375726312375264e-06,1.5173220635489315e-06
1888,6.678569661744405e-06,1.734792185459355e-06
1889,6.352222271743813e-06,1.6126461730436858e-06
1890,6.851300383914349e-06,1.491778344409056e-06
1891,6.857385699277074e-06,1.7465362383006777e-06
1892,7.3040705999005695e-06,1.530770770585832e-06
