year,les_DET archers_NOUN,les_DET marchés_NOUN
1800,4.1817386620124353e-07,4.445848730938451e-06
1801,4.4051877035045095e-07,4.952859811169219e-06
1802,1.031644302429413e-06,4.985908049093268e-06
1803,3.120542648726854e-07,6.071405948659958e-06
1804,4.993138755793325e-07,3.912940087502648e-06
1805,6.254330990884682e-07,3.4114531644036106e-06
1806,6.022688543438903e-07,3.697181497841484e-06
1807,3.47328519723078e-07,3.7465929807467546e-06
1808,7.206115073543629e-07,4.15824561628142e-06
1809,9.194254459998774e-07,4.660380085397264e-06
1810,1.2028251639151222e-06,2.9134578625189533e-06
1811,9.727457914721072e-07,3.928589393353832e-06
1812,6.241267023199271e-07,3.939466523661395e-06
1813,5.636453570545541e-07,3.8017304007098573e-06
1814,9.660299085112456e-07,4.97174988822735e-06
1815,2.966945880089611e-07,4.463905156626424e-06
1816,3.383701745462986e-07,3.4833586539662065e-06
1817,7.286167704734225e-07,3.7271548762873863e-06
1818,9.286597433266763e-07,3.7611314809282703e-06
1819,1.0920358202159974e-06,3.946855287040307e-06
1820,1.743186076375025e-06,4.120042049748918e-06
1821,7.751130084443503e-07,3.7098918994615815e-06
1822,1.0035641651029437e-06,3.399686292482329e-06
1823,7.787557283478463e-07,3.813728895352142e-06
1824,2.2029629747066792e-06,4.306556917299531e-06
1825,2.52011779400263e-06,4.648393570505505e-06
1826,2.7207863042555402e-06,4.9668225017285295e-06
1827,1.146628809234329e-06,5.667701088896138e-06
1828,1.666607166272982e-06,4.380691308369933e-06
1829,1.250826389131987e-06,4.783832025623269e-06
1830,8.860873847993389e-07,4.7999006653753895e-06
1831,1.373585321928772e-06,4.469998728495739e-06
1832,1.0106887151639654e-06,4.348532314679687e-06
1833,1.0703272765866245e-06,5.662077796841913e-06
1834,1.4468522389066152e-06,5.8639525377657264e-06
1835,2.520777172776434e-06,4.739030885048123e-06
1836,2.6116835112333092e-06,4.439727547378425e-06
1837,2.705923762835738e-06,5.0618656928236305e-06
1838,2.984390061300246e-06,4.356023111995455e-06
1839,2.3302586114049006e-06,5.617650373324068e-06
1840,1.9070848451541167e-06,6.241020997777014e-06
1841,1.1274483036061156e-06,5.8343523505755e-06
1842,1.7984859135289355e-06,5.932118739337966e-06
1843,1.0998668629191855e-06,5.775777822236705e-06
1844,1.6537035523178645e-06,6.877716202779993e-06
1845,1.432444475923944e-06,6.940687455880834e-06
1846,1.2669140796450762e-06,6.913580790524065e-06
1847,1.3919910699655702e-06,8.65828164364757e-06
1848,9.565768550601206e-07,8.088665936156758e-06
1849,9.200597834713165e-07,6.1152971682076895e-06
1850,1.237634016604261e-06,5.76996794166007e-06
1851,1.0893101951570117e-06,6.786744251030541e-06
1852,1.4368774166051423e-06,6.705861949285463e-06
1853,1.25052255883773e-06,5.942072107245622e-06
1854,1.2329311260828035e-06,6.104386045535648e-06
1855,1.1733638167754634e-06,5.688505979151159e-06
