year,aux_ADP oies_NOUN,aux_ADP mois_NOUN
1800,1.2576657582030748e-07,1.0501508889149136e-06
1801,6.429192911383552e-08,5.905333040345795e-07
1802,7.608656460433849e-08,6.780655894544907e-07
1803,1.09218993626925e-07,9.439641601716176e-07
1804,5.9324420931261557e-08,8.429011444377466e-07
1805,1.2224374756897305e-07,6.879764269385191e-07
1806,5.4751713385314815e-08,6.454938965561041e-07
1807,3.131650672116848e-08,5.238397591256216e-07
1808,1.3369836260324064e-07,8.792366870125079e-07
1809,8.132509776714869e-08,8.968350968530103e-07
1810,3.042164786748458e-08,6.131132117559446e-07
1811,4.011322829455821e-08,1.1081279680524858e-06
1812,3.7340914360584065e-08,7.014757770207325e-07
1813,5.751483289628823e-09,6.384146686855274e-07
1814,5.349351184236184e-08,8.055493481151643e-07
1815,2.1038344355517324e-07,8.226531722499431e-07
1816,1.274682119856152e-07,1.2051539748370033e-06
1817,9.496928132790572e-08,9.434652774586993e-07
1818,7.152706604784953e-08,1.1909256443232152e-06
1819,4.554461963124368e-08,7.991010537722332e-07
1820,2.3732961373923445e-08,1.0288239096212237e-06
1821,5.029359129160582e-08,7.81029893204277e-07
1822,5.6143449000956025e-08,8.872670065329658e-07
1823,1.1068609673259289e-07,7.273657658402044e-07
1824,3.115811697540494e-08,5.355827852326911e-07
1825,6.163809995740621e-08,6.348724568283615e-07
1826,2.554315425840059e-08,6.394596354653004e-07
1827,5.7147094167930845e-08,7.908420442959141e-07
1828,6.970948840390179e-08,7.42039198087241e-07
1829,9.85915242779356e-08,7.587260739683188e-07
1830,4.0703659109908585e-08,6.022054002130517e-07
1831,5.456921980950824e-08,8.34129551208207e-07
1832,3.51779220197912e-08,7.008524072205091e-07
1833,6.486831871654886e-08,9.452241087615221e-07
1834,4.947301501800894e-08,7.981023841807655e-07
1835,4.689114518896531e-08,9.128647349143648e-07
1836,4.0324502126320994e-08,6.418316225165199e-07
1837,6.818733133684418e-08,8.036364036456689e-07
1838,3.9135405138779333e-08,7.151679355388296e-07
1839,5.5931800524433584e-08,6.558003917689348e-07
1840,4.7772664935052944e-08,6.649955004434105e-07
1841,6.099521199232072e-08,6.266455514492009e-07
1842,3.7566284305512454e-08,7.580339485002696e-07
1843,8.978505050549757e-08,5.989607956280452e-07
1844,6.641159000508878e-08,7.294298036697455e-07
1845,4.2409731282333496e-08,6.489805244314084e-07
1846,2.4588905134237393e-08,7.037110378860234e-07
1847,7.496580600729885e-08,7.146021303583439e-07
1848,5.309846429213394e-08,7.474011027852612e-07
1849,4.860060620615059e-08,7.717441050658636e-07
1850,4.955967192188382e-08,6.531014093980048e-07
