year,jeunes_ADJ amants_NOUN,jeunes_ADJ mamans_NOUN
1800,1.2576657937302116e-08,0.0
1801,1.904946067554647e-08,0.0
1802,6.713520406265161e-09,0.0
1803,3.900678446910888e-09,0.0
1804,0.0,0.0
1805,5.685755422035754e-09,5.685755422035754e-09
1806,5.76333825108577e-09,5.76333825108577e-09
1807,2.8469551160981155e-09,0.0
1808,6.798221985349073e-09,0.0
1809,2.259030518203531e-09,0.0
1810,1.8721014072298203e-08,0.0
1811,3.5099073869560016e-08,0.0
1812,8.00162425207418e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,1.0788894222457657e-08,0.0
1816,6.952811659743929e-09,0.0
1817,1.8682481339737933e-08,0.0
1818,2.2650237241350624e-08,1.1921177378582115e-09
1819,1.035105001712111e-09,1.035105001712111e-09
1820,8.306536791735653e-09,0.0
1821,7.88919063410276e-09,9.86148829262845e-10
1822,3.0076847679083585e-08,8.02049271442229e-09
1823,1.482403055863557e-08,9.882686891060644e-10
1824,1.7684336661716316e-08,8.421112696055388e-10
1825,3.78634048558979e-08,0.0
1826,9.688783109140786e-09,0.0
1827,1.474763688946723e-08,1.8434546111834038e-09
1828,2.7516904310687096e-09,0.0
1829,1.7146351893870815e-08,0.0
1830,2.0873671680021744e-09,0.0
1831,7.795603274018958e-09,1.5591206103948707e-09
1832,1.8941957335982806e-08,1.3529969367098715e-09
1833,8.108539617524002e-09,1.1583628500844156e-09
1834,1.8669062740173104e-08,9.334530925997342e-10
1835,5.294161553592858e-09,0.0
1836,1.344150035720304e-08,2.688300027031687e-09
1837,1.0436836284100082e-08,0.0
1838,1.1361890983607736e-08,0.0
1839,8.38977065598101e-09,0.0
1840,1.3376346252869098e-08,0.0
1841,7.704658244733764e-09,6.420548537278137e-10
1842,8.049918065466954e-09,0.0
1843,1.0041748765843295e-08,5.906911071384968e-10
1844,4.390849017710252e-09,0.0
1845,3.0691253982695343e-08,5.580227946389016e-10
1846,1.4050803409659807e-08,1.7563503984519002e-09
1847,7.550513103637968e-09,0.0
1848,1.6090443422100975e-09,0.0
1849,8.379414495607307e-09,0.0
1850,1.425689166723032e-08,0.0
1851,8.384270167027807e-09,0.0
1852,1.0416872697760482e-08,1.9531636308300904e-09
1853,1.4332636411040767e-08,0.0
1854,6.754363734984281e-09,5.195664454227256e-10
1855,7.429711956774554e-09,1.5920811335945473e-09
1856,7.248064815001953e-09,0.0
1857,1.0739319655783675e-08,0.0
1858,1.9085335978274998e-08,2.936205500958522e-09
1859,1.4767303158080836e-08,0.0
1860,1.7393299245327398e-08,0.0
1861,1.4147890858851042e-08,1.4147891747029462e-09
1862,1.355395884417021e-08,1.8071945051545413e-09
1863,1.1487627737949424e-08,9.989241656072068e-10
1864,1.5343129433631475e-08,0.0
1865,1.2237795221636816e-08,4.706844358715045e-10
1866,2.3841502994059738e-08,0.0
1867,5.82337378318698e-09,9.7056229719783e-10
1868,1.8277534152844055e-08,2.9639244392143382e-09
1869,6.8369265804335555e-09,9.767038289254515e-10
1870,1.834895613228582e-08,0.0
1871,1.4869648623516696e-08,3.18635318130589e-09
1872,1.3908880269752899e-08,0.0
1873,1.0176207432266438e-08,0.0
1874,1.4936523129449597e-08,0.0
1875,2.5174719198162165e-08,2.2886108563824337e-09
1876,1.813804439976252e-09,6.04601479992084e-10
1877,1.2369632429454214e-08,2.4739263970730008e-09
1878,5.435179861734696e-09,6.039088673581716e-10
1879,1.8938909107646396e-08,0.0
1880,3.0163877839939346e-08,6.417846254436199e-10
1881,3.4862537301449947e-09,2.7890030285249168e-09
1882,9.317538740560849e-09,6.655385131892899e-10
1883,6.951272890631799e-09,6.951272890631799e-09
1884,7.2618666635548834e-09,0.0
1885,1.2246707647989297e-08,1.2891271383708158e-09
1886,1.7424351739236954e-08,6.453463874400711e-10
1887,8.4876022321545e-09,3.917354718385724e-09
1888,8.876860135842435e-09,6.974675947901687e-09
1889,6.265136853755848e-09,6.265136742733546e-10
1890,5.243509182406569e-09,2.6217545912032847e-09
1891,2.5496880162734215e-09,5.099376032546843e-09
1892,6.8953633913793055e-09,4.387958441043338e-09
1893,1.4780200174868696e-08,3.079208221734575e-09
1894,8.822155450616265e-09,8.82215478448245e-09
1895,9.629783193076946e-09,6.6204757231957956e-09
1896,5.307326134129653e-09,5.307326134129653e-09
1897,2.9133566670225264e-09,2.9133566670225264e-09
1898,5.6583546736987955e-09,5.092519295146758e-09
1899,2.7637891975018647e-09,1.2160672469008205e-08
1900,8.30568502863116e-09,7.786579381274805e-09
1901,2.235495566438317e-09,5.58873880507349e-09
1902,4.910283735171106e-09,1.0802624572647801e-08
1903,4.320176216765503e-09,5.940242076007962e-09
1904,9.674325340824907e-09,6.449550227216605e-09
1905,3.096455536422127e-09,1.4450125540577119e-08
1906,5.144184356264958e-09,2.2634411123156895e-08
1907,1.0799970695529737e-08,1.5942815068115124e-08
1908,2.4556945366072114e-09,1.0313916831705683e-08
1909,7.701377313651392e-09,6.0510818578052294e-09
1910,1.5498036631811374e-08,8.01622590529405e-09
1911,6.384448969498635e-09,2.0217422180834888e-08
1912,8.856016364688912e-09,9.897900277167082e-09
1913,1.0605979205990934e-08,1.0075680734189518e-08
1914,5.357394972094198e-09,6.6967438816512015e-09
