year,dus_VERB être_VERB,dus_VERB mettre_VERB
1800,4.087413785214267e-08,0.0
1801,4.524246932646747e-08,0.0
1802,2.6854081625060644e-08,0.0
1803,4.095712213825209e-08,0.0
1804,5.438072037122765e-08,0.0
1805,2.55858996212055e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,4.985362878073829e-08,0.0
1809,2.0331274441787173e-08,0.0
1810,4.680253340438867e-08,0.0
1811,5.264861258069686e-08,0.0
1812,8.00162425207418e-09,0.0
1813,5.176335093892703e-08,0.0
1814,3.1466772298927026e-08,9.440030979135372e-09
1815,5.1247248222807684e-08,0.0
1816,3.244645441213834e-08,0.0
1817,3.269434145636296e-08,0.0
1818,2.2650237241350624e-08,0.0
1819,2.173720581311045e-08,3.1053151161586356e-09
1820,3.20394981656591e-08,1.1866481131050932e-09
1821,2.2681422962023134e-08,0.0
1822,2.0051231786055723e-08,0.0
1823,4.15072847204101e-08,0.0
1824,1.7684335773537896e-08,3.621078548121659e-08
1825,1.2327619813845558e-08,0.0
1826,4.932471142637951e-08,0.0
1827,2.1199728195142598e-08,0.0
1828,4.677873732816806e-08,0.0
1829,3.1720752247110795e-08,1.0287811491593857e-08
1830,5.4271545479878114e-08,3.1310507520032616e-09
1831,1.091384405071949e-08,0.0
1832,4.329590197471589e-08,1.7588959622116818e-08
1833,2.0850531967653296e-08,0.0
1834,2.333632664885954e-08,1.8669061851994684e-09
1835,4.386591001548368e-08,3.025235173481633e-09
1836,1.68018754465038e-08,9.409050427677812e-09
1837,1.948209416013924e-08,6.957890930081589e-10
1838,3.471689069556305e-08,7.574594285131298e-09
1839,1.957613093850341e-08,1.8177836125232716e-08
1840,2.5478755105723394e-08,3.821813088222825e-09
1841,2.5682194149112547e-08,1.926164561183441e-09
1842,1.609983613093391e-08,2.683306021822318e-09
1843,2.9534556134080958e-08,1.1813822142769936e-09
1844,1.975882035765153e-08,1.6465684371524958e-09
1845,1.2276501593078137e-08,2.7901139176833567e-09
1846,1.0538101946622191e-08,1.7563503984519002e-09
1847,2.534815024546333e-08,4.314578916364553e-09
1848,1.367687652020777e-08,4.02261068899179e-09
1849,3.77073661184113e-08,3.100383594301093e-08
1850,1.4935791270431764e-08,4.073397619208663e-09
1851,4.514607354622058e-09,0.0
1852,1.1718981340891332e-08,5.859490670445666e-09
1853,1.0152284346531815e-08,5.971931837933653e-10
1854,1.3508727469968562e-08,3.63696517347023e-09
1855,7.429711956774554e-09,3.714855978387277e-09
1856,1.4496129630003907e-08,1.2425253714809514e-08
1857,1.2691923956253959e-08,7.322263684272912e-09
1858,1.6149130033227266e-08,1.5170396494568195e-08
1859,1.5276519604867644e-08,8.656694916453489e-09
1860,1.6020143434047895e-08,3.204028820036342e-09
1861,1.131831339762357e-08,6.13075279431996e-09
1862,1.9879140111811466e-08,1.445755604123633e-08
1863,1.2486552236623538e-08,2.9967726078439227e-09
1864,7.671564716815737e-09,5.753673537611803e-09
1865,2.4946274379544775e-08,7.530950973944073e-09
1866,1.702964524952222e-08,1.3137154475373336e-08
1867,1.9896527092555516e-08,5.82337378318698e-09
1868,1.5807597009143137e-08,4.939874287401835e-09
1869,8.30198221279943e-09,1.660396442559886e-08
1870,1.3761717099214366e-08,6.880858549607183e-09
1871,2.549082545044712e-08,8.496941816815706e-09
1872,6.047339518033823e-09,4.8378714367913744e-09
1873,2.2746817762708815e-08,1.1972009161809183e-08
1874,7.766991494406739e-09,6.572069999322139e-09
1875,1.94531928343622e-08,1.716458086775674e-09
1876,7.859819461941697e-09,5.441413541973361e-09
1877,1.2369632429454214e-08,9.27722432209066e-09
1878,1.69094480639842e-08,1.3889904337816006e-08
1879,1.9549840857280287e-08,1.0385853066452455e-08
1880,2.1820676820993867e-08,3.8507077526617195e-09
1881,1.045876096839038e-08,1.3945015142624584e-09
1882,1.8635077481121698e-08,3.9932310791357395e-09
1883,9.479008689083912e-09,1.2638677882037541e-09
1884,1.1222884843675729e-08,6.601696966868076e-10
1885,1.0313017106966527e-08,9.023890079618013e-09
1886,1.1616235084943582e-08,2.5813855497602844e-09
1887,9.140494583448344e-09,2.6115698492645834e-09
1888,1.3949351895803375e-08,7.60873763994141e-09
1889,6.265136853755848e-09,5.6386229019267375e-09
1890,6.554386366985909e-09,4.5880703680722945e-09
1891,7.649063604731055e-09,7.649063604731055e-09
1892,3.761107425503951e-09,5.014809900671935e-09
1893,3.079208221734575e-09,1.0469308087124318e-08
1894,4.411077725308132e-09,1.071261657159539e-08
1895,1.5648398132839247e-08,1.2037228991346183e-08
1896,3.2433661090180976e-08,1.1794058174530164e-08
1897,1.6897470089816125e-08,9.905413378419325e-09
1898,1.584339415217073e-08,1.0750873968845553e-08
1899,1.2160672469008205e-08,2.7637891975018647e-09
1900,8.30568502863116e-09,5.710158568206225e-09
1901,5.029864968975062e-09,8.941982265753268e-09
1902,2.455141867585553e-09,3.928227076954727e-09
1903,1.296052865029651e-08,7.560307935250421e-09
1904,5.912087708281888e-09,1.0749250378694342e-08
1905,1.5998352864698973e-08,1.0321517862621477e-08
1906,1.4403716441790948e-08,1.4403716441790948e-08
