year,quels_DET marchés_NOUN
1800,0.0
1801,7.143547975374531e-09
1802,0.0
1803,0.0
1804,7.4155526164076946e-09
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,1.556873407970727e-09
1818,2.2650237241350624e-08
1819,3.1053151161586356e-09
1820,0.0
1821,1.97229765852569e-09
1822,4.010246357211145e-09
1823,0.0
1824,5.894778887238772e-09
1825,1.7610886082763955e-09
1826,2.4662355713189754e-08
1827,5.530363722527909e-09
1828,0.0
1829,0.0
1830,2.0873671680021744e-09
1831,1.5591206103948707e-09
1832,2.3000947813045514e-08
1833,6.950177322551099e-09
1834,2.8003592777992026e-09
1835,1.4369867074037757e-08
1836,4.704525213838906e-09
1837,4.174734336004349e-09
1838,1.8936485712828244e-09
1839,8.389769989847196e-09
1840,1.6561190419039917e-08
1841,9.630823250006415e-09
1842,3.3541325272778977e-09
1843,2.953455480181333e-09
1844,5.488561272137815e-10
1845,1.1718478631905782e-08
1846,2.3418005312692003e-09
1847,2.6966118227278457e-09
1848,3.2180886289090438e-09
1849,1.005529792763582e-08
1850,1.3577992064028876e-09
1851,0.0
1852,1.3021090872200602e-09
1853,5.971931837933653e-10
1854,2.597832227113628e-09
1855,3.714855978387277e-09
1856,5.694908100650764e-09
1857,0.0
1858,8.31924923394567e-09
1859,8.14747758148826e-09
1860,1.464698884401372e-08
1861,1.226150558863992e-08
1862,2.2589932147099034e-09
1863,2.497310469529168e-09
1864,1.0068928357753748e-08
1865,5.6482134525026595e-09
1866,2.919367858567057e-09
1867,3.88224918879132e-09
1868,8.891772984576107e-09
1869,3.4184632902167778e-09
1870,9.747882501187632e-09
1871,7.434824311758348e-09
1872,0.0
1873,0.0
1874,3.584765539965673e-09
1875,3.4329163400848017e-09
1876,1.209202959984168e-09
1877,1.7317484779511005e-08
1878,1.0266450578555464e-08
1879,1.3440516033469407e-08
1880,1.0268553785053314e-08
1881,6.972507571312292e-10
1882,6.655385131892899e-10
1883,2.5277355764075082e-09
1884,4.621187876807653e-09
1885,1.1602144189826191e-08
1886,4.517424767591649e-09
1887,7.83470954779375e-09
1888,8.876860579931645e-09
1889,6.265136742733546e-10
1890,1.3108772956016423e-09
1891,5.736798147637501e-09
1892,6.268512375839919e-10
1893,6.774258265451749e-09
1894,5.671385139294216e-09
1895,0.0
1896,1.0024948871034667e-08
1897,1.4566783779201842e-08
1898,2.8291774478717002e-09
1899,4.9748205555033564e-09
1900,8.824790675987515e-09
1901,7.265360535413379e-09
1902,6.38336894454028e-09
1903,9.720396487722383e-09
1904,6.987012746151322e-09
1905,5.160759042333041e-10
1906,1.3374879426208963e-08
1907,1.028568674676933e-09
1908,6.875944702500192e-09
1909,6.051082024338683e-09
1910,6.947395991829808e-09
1911,7.4485240197930125e-09
1912,7.81413189709923e-09
1913,6.893886794756554e-09
1914,3.348371857558874e-09
1915,9.424609426211816e-09
1916,1.2086208034389756e-08
1917,3.289927441585405e-09
1918,6.89182577673364e-09
1919,1.6574126959767455e-08
1920,1.3630017114962811e-08
1921,5.300923255902035e-09
1922,2.951174193910333e-09
1923,4.246379248229459e-09
1924,1.0313299547703991e-08
1925,3.299453377181294e-09
1926,7.802297141701331e-09
1927,4.4596899506643695e-09
1928,4.570416489713125e-09
1929,8.912325100141061e-09
1930,2.100720708497761e-09
