year,jeunes_ADJ arbres_NOUN
1800,1.1004575526385452e-06
1801,1.2691702977463137e-06
1802,1.1771039680752438e-06
1803,2.237039097963134e-06
1804,1.109861045733851e-06
1805,1.3759528201262583e-06
1806,6.454938556998968e-07
1807,5.89319711252756e-07
1808,8.815027854325308e-07
1809,1.4299663462224999e-06
1810,8.915882858673285e-07
1811,5.089365799904044e-07
1812,5.574465262725425e-07
1813,5.233849833530257e-07
1814,2.926409763404081e-07
1815,6.527280902446364e-07
1816,1.1101323025286547e-06
1817,4.6083454208201147e-07
1818,5.376451213123801e-07
1819,4.678674656588555e-07
1820,5.387382202570734e-07
1821,4.161548190495523e-07
1822,3.5791447317023994e-07
1823,4.3286169670864183e-07
1824,4.7579285933352367e-07
1825,6.243059260668815e-07
1826,3.9635929738324194e-07
1827,7.041996354928415e-07
1828,4.246775517913193e-07
1829,4.955295480613131e-07
1830,6.79438016959466e-07
1831,6.984860192460474e-07
1832,5.993776426294062e-07
1833,6.046653879820951e-07
1834,5.432697207652382e-07
1835,4.273144611488533e-07
1836,4.986796398043225e-07
1837,3.694640042795072e-07
1838,2.9667160106328083e-07
1839,4.3626803858387575e-07
1840,3.1529958732789964e-07
1841,2.7158921511727385e-07
1842,3.910918451310863e-07
1843,2.9416418101391173e-07
1844,4.2042378822770843e-07
1845,3.688530796353007e-07
1846,4.7011644710437395e-07
1847,2.901554410073004e-07
1848,3.781254065415851e-07
1849,5.077925493424118e-07
1850,5.06459116422775e-07
1851,3.3021126455423655e-07
1852,4.5573818852062686e-07
1853,3.7563449950539507e-07
1854,3.553834346803342e-07
1855,3.9695891018709517e-07
1856,4.1728145561137353e-07
1857,5.286674422677606e-07
1858,3.073228640460002e-07
1859,4.0431856973555114e-07
1860,3.5839349266097997e-07
1861,4.055728766161337e-07
1862,3.885468231601408e-07
1863,4.030659113141155e-07
1864,3.8741401908737316e-07
1865,4.137316125252255e-07
1866,3.644344133135746e-07
1867,3.741517673461203e-07
1868,4.603962509008852e-07
1869,3.687056846501946e-07
1870,4.13424913858762e-07
1871,5.278724870549922e-07
1872,3.6525929658637324e-07
1873,3.825056751338707e-07
1874,3.34578118099671e-07
1875,4.920513561046391e-07
1876,4.82471989471378e-07
1877,3.6243022805138025e-07
1878,3.8589777773267997e-07
1879,2.480386172010185e-07
1880,3.587576031804929e-07
1881,3.8000166568963323e-07
1882,3.613874071106693e-07
1883,3.9748641711412347e-07
1884,3.4064757414853375e-07
1885,2.8360796022752766e-07
1886,2.800803429181542e-07
1887,3.55826387021807e-07
1888,3.195669933120371e-07
