year,tels_ADJ effets_NOUN,tels_ADJ méfaits_NOUN
1800,2.483890000348765e-07,3.144164484325529e-09
1801,1.8335106233280385e-07,0.0
1802,1.5217312920867698e-07,0.0
1803,1.9893460034836608e-07,0.0
1804,1.6314216111368296e-07,0.0
1805,1.9331568523739406e-07,0.0
1806,2.1612518708025164e-07,0.0
1807,5.124519120158766e-08,0.0
1808,1.835519896076221e-07,0.0
1809,1.9201759471343394e-07,0.0
1810,8.190443878675069e-08,0.0
1811,1.178326058948187e-07,2.5070767684098882e-09
1812,1.4669645054254943e-07,5.3344164641089264e-09
1813,2.444380413635372e-07,0.0
1814,1.4474714760126517e-07,0.0
1815,9.710004889029733e-08,0.0
1816,1.0197457100957763e-07,0.0
1817,1.6969920579867903e-07,0.0
1818,1.2517236314124602e-07,0.0
1819,1.376689624521532e-07,0.0
1820,1.9461029410194897e-07,0.0
1821,1.64686852599516e-07,0.0
1822,1.8346877084240987e-07,3.0076847679083585e-09
1823,1.7294702558956487e-07,0.0
1824,1.8947503122035414e-07,1.51580028528997e-08
1825,1.5321471380502771e-07,2.641632912414593e-09
1826,1.2507338453815464e-07,0.0
1827,1.3365045958835253e-07,1.8434546111834038e-09
1828,1.4950850868444832e-07,9.172301140836225e-09
1829,8.658907546532646e-08,8.57317605795771e-10
1830,2.066493465235908e-07,5.218417697960831e-09
1831,1.8397622625343502e-07,0.0
1832,1.1094574858816486e-07,0.0
1833,1.7491278470060934e-07,5.791814139399776e-09
1834,1.586870297387577e-07,1.4935249481595747e-08
1835,9.453859917130103e-08,2.4201881387853064e-08
1836,1.276942498407152e-07,6.048674894287842e-09
1837,1.2385045522478322e-07,1.3915781860163179e-09
1838,1.6979716122023092e-07,6.943378316748294e-09
1839,1.8177836125232716e-07,2.7965900706306e-09
1840,1.3440043744594732e-07,1.2739377552861697e-08
1841,1.6500810318120784e-07,4.494383976094696e-09
1842,1.5227762162339786e-07,9.391571076378114e-09
1843,1.4294724337560183e-07,7.678984559333912e-09
1844,1.1471092875581235e-07,1.6465684371524958e-09
1845,1.3838965173817996e-07,1.8414752389617206e-08
1846,1.2235908286584163e-07,8.781752214304106e-09
1847,9.923531507638472e-08,4.853901280910122e-09
1848,1.0458788324285706e-07,4.02261068899179e-09
1849,1.4831564953965426e-07,1.8434713311421547e-08
1850,1.9077079116414097e-07,4.073397619208663e-09
1851,1.4188765362632694e-07,1.6123596680017727e-08
1852,1.3086196304357145e-07,1.0416872697760482e-08
1853,1.4034040418664517e-07,1.3138249599364826e-08
1854,1.6366342947549128e-07,1.0391328686409906e-08
1855,9.870903028286193e-08,1.0083180512765466e-08
1856,1.2062851340033376e-07,1.501384794266869e-08
1857,1.147154620184665e-07,3.4170564155999728e-09
1858,1.6785308787348185e-07,7.34051397444091e-09
1859,1.31887290422128e-07,1.018434669930457e-08
1860,1.9956522123720788e-07,5.034902272882391e-09
1861,1.5185403867690184e-07,1.9335450573976232e-08
1862,1.2198563581478084e-07,2.5752521892741242e-08
1863,1.9029505438084016e-07,1.2486552236623538e-08
1864,1.6829494597914163e-07,1.2466292886870178e-08
1865,1.2096589330212737e-07,8.943004559114343e-09
1866,7.784980482483661e-08,1.4596838404656864e-08
1867,1.2229085655235394e-07,8.249779526181555e-09
1868,9.879747864260935e-08,1.975949714960734e-08
1869,1.450405164860058e-07,1.953407746668745e-08
1870,1.353235461465374e-07,5.734048791339319e-09
1871,1.7418730635654356e-07,1.5931766128574054e-08
1872,9.010535251263718e-08,4.8378714367913744e-09
1873,1.38875307698072e-07,6.584604861359367e-09
1874,1.1650487863335002e-07,5.377148060148329e-09
1875,1.1156978274584617e-07,1.830888685105947e-08
1876,9.25040239962982e-08,3.02300739996042e-09
1877,1.1751150452710135e-07,2.1028373708986692e-08
1878,1.2319740960720083e-07,7.2469061862534545e-09
1879,1.4601288000903878e-07,1.2829582729523281e-08
1880,1.3413298916020722e-07,1.9253539207397807e-08
1881,1.0110135661989261e-07,6.9725074602899895e-09
1882,1.1713477476860135e-07,9.983077475794744e-09
1883,1.5545573717190564e-07,7.58320695126713e-09
1884,1.1024833668216161e-07,5.941527270181268e-09
1885,7.992588280103519e-08,5.80107206715752e-09
1886,1.2390650283577997e-07,9.680196200179125e-09
1887,8.814048158001242e-08,1.9586773092328258e-08
1888,1.1222888218753724e-07,1.2047167707862627e-08
1889,8.144677821064761e-08,1.6915869593958632e-08
1890,6.619930559281784e-08,1.1142456735058204e-08
1891,7.585321526448752e-08,1.7210394887001712e-08
1892,8.838602383320904e-08,1.0656471260972467e-08
1893,7.75960486976146e-08,2.46336657738766e-08
1894,1.0019447671538728e-07,2.3945849747519787e-08
1895,1.0953878160080421e-07,7.824199066419624e-09
1896,8.491721814607445e-08,6.486732040400511e-09
1897,1.1420358703162492e-07,2.2141511735185304e-08
1898,8.657283245838698e-08,2.26334195829736e-09
1899,8.844125432005967e-08,9.949641111006713e-09
1900,8.305684673359792e-08,8.824790675987515e-09
1901,5.86817598957623e-08,8.941982265753268e-09
1902,7.512734612191707e-08,1.7677022512430085e-08
1903,7.34429974613704e-08,9.720396931811592e-09
1904,9.029370318103247e-08,8.599400302955473e-09
1905,8.979720433899274e-08,7.2250627702885595e-09
1906,1.0545578277287859e-07,4.629765903985117e-09
1907,1.0234258240870986e-07,8.742834012309686e-09
1908,1.2278472638627136e-07,1.276961114626829e-08
1909,9.186642557779123e-08,1.0451868703853506e-08
1910,1.1596807070191062e-07,5.34415089958884e-09
1911,1.0215118351197816e-07,1.1704822888702893e-08
1912,1.1096066998561582e-07,1.3023552902780011e-08
1913,1.1189307969061701e-07,9.015082902408267e-09
1914,8.705767129413289e-08,2.678697486047099e-09
1915,4.830112487752558e-08,1.5314990164938536e-08
1916,9.229468389548856e-08,8.789969641043172e-09
1917,1.2721052655706444e-07,1.4256351654751143e-08
1918,8.385054428572403e-08,1.033773866510046e-08
1919,9.57616208552281e-08,9.207848705727883e-09
1920,8.85951081386338e-08,1.665890891899835e-08
1921,6.815472630705699e-08,6.058197943303867e-09
1922,8.92730227519678e-08,1.0329110011753073e-08
1923,1.0615948298209332e-07,1.1677542488541803e-08
1924,9.410885581928596e-08,9.02413699321869e-09
1925,8.35861513337477e-08,1.0998178368026856e-08
1926,9.13983342343272e-08,8.916910765321973e-09
1927,1.1260716803462856e-07,1.1149224654616319e-08
